group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
allocation,crate 'object-pool',,,,106080.0,ns,867
allocation,crate 'object-pool',,,,137424.0,ns,1734
allocation,crate 'object-pool',,,,214529.0,ns,2601
allocation,crate 'object-pool',,,,279188.0,ns,3468
allocation,crate 'object-pool',,,,355451.0,ns,4335
allocation,crate 'object-pool',,,,420491.0,ns,5202
allocation,crate 'object-pool',,,,488940.0,ns,6069
allocation,crate 'object-pool',,,,559482.0,ns,6936
allocation,crate 'object-pool',,,,617536.0,ns,7803
allocation,crate 'object-pool',,,,709143.0,ns,8670
allocation,crate 'object-pool',,,,754013.0,ns,9537
allocation,crate 'object-pool',,,,839182.0,ns,10404
allocation,crate 'object-pool',,,,907030.0,ns,11271
allocation,crate 'object-pool',,,,1017194.0,ns,12138
allocation,crate 'object-pool',,,,1094714.0,ns,13005
allocation,crate 'object-pool',,,,1110725.0,ns,13872
allocation,crate 'object-pool',,,,1184344.0,ns,14739
allocation,crate 'object-pool',,,,1331254.0,ns,15606
allocation,crate 'object-pool',,,,2119703.0,ns,16473
allocation,crate 'object-pool',,,,2249572.0,ns,17340
allocation,crate 'object-pool',,,,2339795.0,ns,18207
allocation,crate 'object-pool',,,,2443549.0,ns,19074
allocation,crate 'object-pool',,,,2470291.0,ns,19941
allocation,crate 'object-pool',,,,2527313.0,ns,20808
allocation,crate 'object-pool',,,,2529101.0,ns,21675
allocation,crate 'object-pool',,,,2549327.0,ns,22542
allocation,crate 'object-pool',,,,2622090.0,ns,23409
allocation,crate 'object-pool',,,,2663064.0,ns,24276
allocation,crate 'object-pool',,,,2687955.0,ns,25143
allocation,crate 'object-pool',,,,2759146.0,ns,26010
allocation,crate 'object-pool',,,,2811150.0,ns,26877
allocation,crate 'object-pool',,,,2839863.0,ns,27744
allocation,crate 'object-pool',,,,16616368.0,ns,28611
allocation,crate 'object-pool',,,,17763570.0,ns,29478
allocation,crate 'object-pool',,,,18727400.0,ns,30345
allocation,crate 'object-pool',,,,19877836.0,ns,31212
allocation,crate 'object-pool',,,,20821398.0,ns,32079
allocation,crate 'object-pool',,,,22223033.0,ns,32946
allocation,crate 'object-pool',,,,23020554.0,ns,33813
allocation,crate 'object-pool',,,,24051787.0,ns,34680
allocation,crate 'object-pool',,,,25059660.0,ns,35547
allocation,crate 'object-pool',,,,26177606.0,ns,36414
allocation,crate 'object-pool',,,,27149777.0,ns,37281
allocation,crate 'object-pool',,,,28175163.0,ns,38148
allocation,crate 'object-pool',,,,29241917.0,ns,39015
allocation,crate 'object-pool',,,,30277081.0,ns,39882
allocation,crate 'object-pool',,,,31377915.0,ns,40749
allocation,crate 'object-pool',,,,32359457.0,ns,41616
allocation,crate 'object-pool',,,,33588713.0,ns,42483
allocation,crate 'object-pool',,,,34568409.0,ns,43350
allocation,crate 'object-pool',,,,35727234.0,ns,44217
allocation,crate 'object-pool',,,,36517276.0,ns,45084
allocation,crate 'object-pool',,,,37559628.0,ns,45951
allocation,crate 'object-pool',,,,38739379.0,ns,46818
allocation,crate 'object-pool',,,,39651448.0,ns,47685
allocation,crate 'object-pool',,,,40677515.0,ns,48552
allocation,crate 'object-pool',,,,41687819.0,ns,49419
allocation,crate 'object-pool',,,,42774397.0,ns,50286
allocation,crate 'object-pool',,,,43801113.0,ns,51153
allocation,crate 'object-pool',,,,44861295.0,ns,52020
allocation,crate 'object-pool',,,,45866401.0,ns,52887
allocation,crate 'object-pool',,,,46892919.0,ns,53754
allocation,crate 'object-pool',,,,48223071.0,ns,54621
allocation,crate 'object-pool',,,,49047720.0,ns,55488
allocation,crate 'object-pool',,,,50035475.0,ns,56355
allocation,crate 'object-pool',,,,51071473.0,ns,57222
allocation,crate 'object-pool',,,,52119227.0,ns,58089
allocation,crate 'object-pool',,,,53328891.0,ns,58956
allocation,crate 'object-pool',,,,54220997.0,ns,59823
allocation,crate 'object-pool',,,,55220226.0,ns,60690
allocation,crate 'object-pool',,,,56345445.0,ns,61557
allocation,crate 'object-pool',,,,57423384.0,ns,62424
allocation,crate 'object-pool',,,,58521571.0,ns,63291
allocation,crate 'object-pool',,,,59463001.0,ns,64158
allocation,crate 'object-pool',,,,60476628.0,ns,65025
allocation,crate 'object-pool',,,,61999552.0,ns,65892
allocation,crate 'object-pool',,,,62769529.0,ns,66759
allocation,crate 'object-pool',,,,63820966.0,ns,67626
allocation,crate 'object-pool',,,,64787716.0,ns,68493
allocation,crate 'object-pool',,,,65921125.0,ns,69360
allocation,crate 'object-pool',,,,67207648.0,ns,70227
allocation,crate 'object-pool',,,,68175606.0,ns,71094
allocation,crate 'object-pool',,,,68991908.0,ns,71961
allocation,crate 'object-pool',,,,70046859.0,ns,72828
allocation,crate 'object-pool',,,,71112436.0,ns,73695
allocation,crate 'object-pool',,,,72137242.0,ns,74562
allocation,crate 'object-pool',,,,73035183.0,ns,75429
allocation,crate 'object-pool',,,,74447846.0,ns,76296
allocation,crate 'object-pool',,,,75312324.0,ns,77163
allocation,crate 'object-pool',,,,76241031.0,ns,78030
allocation,crate 'object-pool',,,,77176002.0,ns,78897
allocation,crate 'object-pool',,,,78385131.0,ns,79764
allocation,crate 'object-pool',,,,79265217.0,ns,80631
allocation,crate 'object-pool',,,,80747174.0,ns,81498
allocation,crate 'object-pool',,,,81673828.0,ns,82365
allocation,crate 'object-pool',,,,82145507.0,ns,83232
allocation,crate 'object-pool',,,,83372233.0,ns,84099
allocation,crate 'object-pool',,,,84324525.0,ns,84966
allocation,crate 'object-pool',,,,85666860.0,ns,85833
allocation,crate 'object-pool',,,,86790137.0,ns,86700
