group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
allocation,crate 'sharded-slab',,,,75758.0,ns,386
allocation,crate 'sharded-slab',,,,132145.0,ns,772
allocation,crate 'sharded-slab',,,,242836.0,ns,1158
allocation,crate 'sharded-slab',,,,247989.0,ns,1544
allocation,crate 'sharded-slab',,,,283507.0,ns,1930
allocation,crate 'sharded-slab',,,,613582.0,ns,2316
allocation,crate 'sharded-slab',,,,487904.0,ns,2702
allocation,crate 'sharded-slab',,,,520781.0,ns,3088
allocation,crate 'sharded-slab',,,,559395.0,ns,3474
allocation,crate 'sharded-slab',,,,599758.0,ns,3860
allocation,crate 'sharded-slab',,,,5892401.0,ns,4246
allocation,crate 'sharded-slab',,,,5854867.0,ns,4632
allocation,crate 'sharded-slab',,,,5897790.0,ns,5018
allocation,crate 'sharded-slab',,,,6042554.0,ns,5404
allocation,crate 'sharded-slab',,,,5946361.0,ns,5790
allocation,crate 'sharded-slab',,,,6043914.0,ns,6176
allocation,crate 'sharded-slab',,,,6032585.0,ns,6562
allocation,crate 'sharded-slab',,,,6119983.0,ns,6948
allocation,crate 'sharded-slab',,,,6131813.0,ns,7334
allocation,crate 'sharded-slab',,,,6215842.0,ns,7720
allocation,crate 'sharded-slab',,,,6197891.0,ns,8106
allocation,crate 'sharded-slab',,,,16525760.0,ns,8492
allocation,crate 'sharded-slab',,,,16776221.0,ns,8878
allocation,crate 'sharded-slab',,,,16826008.0,ns,9264
allocation,crate 'sharded-slab',,,,16888778.0,ns,9650
allocation,crate 'sharded-slab',,,,16933005.0,ns,10036
allocation,crate 'sharded-slab',,,,16946066.0,ns,10422
allocation,crate 'sharded-slab',,,,16998162.0,ns,10808
allocation,crate 'sharded-slab',,,,17046159.0,ns,11194
allocation,crate 'sharded-slab',,,,17131487.0,ns,11580
allocation,crate 'sharded-slab',,,,17177354.0,ns,11966
allocation,crate 'sharded-slab',,,,17191991.0,ns,12352
allocation,crate 'sharded-slab',,,,17252756.0,ns,12738
allocation,crate 'sharded-slab',,,,17276085.0,ns,13124
allocation,crate 'sharded-slab',,,,17352872.0,ns,13510
allocation,crate 'sharded-slab',,,,17411500.0,ns,13896
allocation,crate 'sharded-slab',,,,17435655.0,ns,14282
allocation,crate 'sharded-slab',,,,17494484.0,ns,14668
allocation,crate 'sharded-slab',,,,17534708.0,ns,15054
allocation,crate 'sharded-slab',,,,17651074.0,ns,15440
allocation,crate 'sharded-slab',,,,17675451.0,ns,15826
allocation,crate 'sharded-slab',,,,17681282.0,ns,16212
allocation,crate 'sharded-slab',,,,38301497.0,ns,16598
allocation,crate 'sharded-slab',,,,38428316.0,ns,16984
allocation,crate 'sharded-slab',,,,38631383.0,ns,17370
allocation,crate 'sharded-slab',,,,38600510.0,ns,17756
allocation,crate 'sharded-slab',,,,38684188.0,ns,18142
allocation,crate 'sharded-slab',,,,38660789.0,ns,18528
allocation,crate 'sharded-slab',,,,38602014.0,ns,18914
allocation,crate 'sharded-slab',,,,38738890.0,ns,19300
allocation,crate 'sharded-slab',,,,38772062.0,ns,19686
allocation,crate 'sharded-slab',,,,38821940.0,ns,20072
allocation,crate 'sharded-slab',,,,38891939.0,ns,20458
allocation,crate 'sharded-slab',,,,38943893.0,ns,20844
allocation,crate 'sharded-slab',,,,38958590.0,ns,21230
allocation,crate 'sharded-slab',,,,39019863.0,ns,21616
allocation,crate 'sharded-slab',,,,39126805.0,ns,22002
allocation,crate 'sharded-slab',,,,39132508.0,ns,22388
allocation,crate 'sharded-slab',,,,39493536.0,ns,22774
allocation,crate 'sharded-slab',,,,39276739.0,ns,23160
allocation,crate 'sharded-slab',,,,39267233.0,ns,23546
allocation,crate 'sharded-slab',,,,39309785.0,ns,23932
allocation,crate 'sharded-slab',,,,39431632.0,ns,24318
allocation,crate 'sharded-slab',,,,39452066.0,ns,24704
allocation,crate 'sharded-slab',,,,39518430.0,ns,25090
allocation,crate 'sharded-slab',,,,39558195.0,ns,25476
allocation,crate 'sharded-slab',,,,39612821.0,ns,25862
allocation,crate 'sharded-slab',,,,39607525.0,ns,26248
allocation,crate 'sharded-slab',,,,39775700.0,ns,26634
allocation,crate 'sharded-slab',,,,39759793.0,ns,27020
allocation,crate 'sharded-slab',,,,39815734.0,ns,27406
allocation,crate 'sharded-slab',,,,40021506.0,ns,27792
allocation,crate 'sharded-slab',,,,39990102.0,ns,28178
allocation,crate 'sharded-slab',,,,39982238.0,ns,28564
allocation,crate 'sharded-slab',,,,40034494.0,ns,28950
allocation,crate 'sharded-slab',,,,40070805.0,ns,29336
allocation,crate 'sharded-slab',,,,40116007.0,ns,29722
allocation,crate 'sharded-slab',,,,40202054.0,ns,30108
allocation,crate 'sharded-slab',,,,40211294.0,ns,30494
allocation,crate 'sharded-slab',,,,40282030.0,ns,30880
allocation,crate 'sharded-slab',,,,40275236.0,ns,31266
allocation,crate 'sharded-slab',,,,40410457.0,ns,31652
allocation,crate 'sharded-slab',,,,40433363.0,ns,32038
allocation,crate 'sharded-slab',,,,40446140.0,ns,32424
allocation,crate 'sharded-slab',,,,81515916.0,ns,32810
allocation,crate 'sharded-slab',,,,81376884.0,ns,33196
allocation,crate 'sharded-slab',,,,81413284.0,ns,33582
allocation,crate 'sharded-slab',,,,81764607.0,ns,33968
allocation,crate 'sharded-slab',,,,81490335.0,ns,34354
allocation,crate 'sharded-slab',,,,81563564.0,ns,34740
allocation,crate 'sharded-slab',,,,82103428.0,ns,35126
allocation,crate 'sharded-slab',,,,81816695.0,ns,35512
allocation,crate 'sharded-slab',,,,81722732.0,ns,35898
allocation,crate 'sharded-slab',,,,81772282.0,ns,36284
allocation,crate 'sharded-slab',,,,81839464.0,ns,36670
allocation,crate 'sharded-slab',,,,81863595.0,ns,37056
allocation,crate 'sharded-slab',,,,81970533.0,ns,37442
allocation,crate 'sharded-slab',,,,82725026.0,ns,37828
allocation,crate 'sharded-slab',,,,82362209.0,ns,38214
allocation,crate 'sharded-slab',,,,82157552.0,ns,38600
