group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
allocation,linear object poll,,,,4498.0,ns,40
allocation,linear object poll,,,,6778.0,ns,80
allocation,linear object poll,,,,15114.0,ns,120
allocation,linear object poll,,,,10875.0,ns,160
allocation,linear object poll,,,,15704.0,ns,200
allocation,linear object poll,,,,18839.0,ns,240
allocation,linear object poll,,,,21711.0,ns,280
allocation,linear object poll,,,,25574.0,ns,320
allocation,linear object poll,,,,32583.0,ns,360
allocation,linear object poll,,,,594723.0,ns,400
allocation,linear object poll,,,,78069.0,ns,440
allocation,linear object poll,,,,83336.0,ns,480
allocation,linear object poll,,,,147617.0,ns,520
allocation,linear object poll,,,,88513.0,ns,560
allocation,linear object poll,,,,95453.0,ns,600
allocation,linear object poll,,,,93257.0,ns,640
allocation,linear object poll,,,,151427.0,ns,680
allocation,linear object poll,,,,107478.0,ns,720
allocation,linear object poll,,,,106919.0,ns,760
allocation,linear object poll,,,,112618.0,ns,800
allocation,linear object poll,,,,166608.0,ns,840
allocation,linear object poll,,,,120023.0,ns,880
allocation,linear object poll,,,,128689.0,ns,920
allocation,linear object poll,,,,128576.0,ns,960
allocation,linear object poll,,,,184122.0,ns,1000
allocation,linear object poll,,,,154204.0,ns,1040
allocation,linear object poll,,,,148472.0,ns,1080
allocation,linear object poll,,,,318727.0,ns,1120
allocation,linear object poll,,,,1028061.0,ns,1160
allocation,linear object poll,,,,327502.0,ns,1200
allocation,linear object poll,,,,364485.0,ns,1240
allocation,linear object poll,,,,176150.0,ns,1280
allocation,linear object poll,,,,1046163.0,ns,1320
allocation,linear object poll,,,,442982.0,ns,1360
allocation,linear object poll,,,,631037.0,ns,1400
allocation,linear object poll,,,,367266.0,ns,1440
allocation,linear object poll,,,,369135.0,ns,1480
allocation,linear object poll,,,,441143.0,ns,1520
allocation,linear object poll,,,,702574.0,ns,1560
allocation,linear object poll,,,,390723.0,ns,1600
allocation,linear object poll,,,,699643.0,ns,1640
allocation,linear object poll,,,,261636.0,ns,1680
allocation,linear object poll,,,,260618.0,ns,1720
allocation,linear object poll,,,,243665.0,ns,1760
allocation,linear object poll,,,,490510.0,ns,1800
allocation,linear object poll,,,,526959.0,ns,1840
allocation,linear object poll,,,,355241.0,ns,1880
allocation,linear object poll,,,,405760.0,ns,1920
allocation,linear object poll,,,,388642.0,ns,1960
allocation,linear object poll,,,,364928.0,ns,2000
allocation,linear object poll,,,,342163.0,ns,2040
allocation,linear object poll,,,,374564.0,ns,2080
allocation,linear object poll,,,,438630.0,ns,2120
allocation,linear object poll,,,,323336.0,ns,2160
allocation,linear object poll,,,,484578.0,ns,2200
allocation,linear object poll,,,,368294.0,ns,2240
allocation,linear object poll,,,,491269.0,ns,2280
allocation,linear object poll,,,,725526.0,ns,2320
allocation,linear object poll,,,,836485.0,ns,2360
allocation,linear object poll,,,,627712.0,ns,2400
allocation,linear object poll,,,,692882.0,ns,2440
allocation,linear object poll,,,,634413.0,ns,2480
allocation,linear object poll,,,,384166.0,ns,2520
allocation,linear object poll,,,,608904.0,ns,2560
allocation,linear object poll,,,,520229.0,ns,2600
allocation,linear object poll,,,,440069.0,ns,2640
allocation,linear object poll,,,,488164.0,ns,2680
allocation,linear object poll,,,,418329.0,ns,2720
allocation,linear object poll,,,,1207909.0,ns,2760
allocation,linear object poll,,,,391078.0,ns,2800
allocation,linear object poll,,,,625496.0,ns,2840
allocation,linear object poll,,,,589472.0,ns,2880
allocation,linear object poll,,,,596139.0,ns,2920
allocation,linear object poll,,,,532307.0,ns,2960
allocation,linear object poll,,,,649155.0,ns,3000
allocation,linear object poll,,,,585308.0,ns,3040
allocation,linear object poll,,,,560236.0,ns,3080
allocation,linear object poll,,,,994469.0,ns,3120
allocation,linear object poll,,,,554087.0,ns,3160
allocation,linear object poll,,,,606457.0,ns,3200
allocation,linear object poll,,,,517551.0,ns,3240
allocation,linear object poll,,,,582354.0,ns,3280
allocation,linear object poll,,,,562586.0,ns,3320
allocation,linear object poll,,,,551578.0,ns,3360
allocation,linear object poll,,,,619393.0,ns,3400
allocation,linear object poll,,,,1028871.0,ns,3440
allocation,linear object poll,,,,1141968.0,ns,3480
allocation,linear object poll,,,,1122859.0,ns,3520
allocation,linear object poll,,,,1226791.0,ns,3560
allocation,linear object poll,,,,1007626.0,ns,3600
allocation,linear object poll,,,,1034702.0,ns,3640
allocation,linear object poll,,,,897509.0,ns,3680
allocation,linear object poll,,,,861374.0,ns,3720
allocation,linear object poll,,,,819798.0,ns,3760
allocation,linear object poll,,,,1050607.0,ns,3800
allocation,linear object poll,,,,1064361.0,ns,3840
allocation,linear object poll,,,,893979.0,ns,3880
allocation,linear object poll,,,,930857.0,ns,3920
allocation,linear object poll,,,,1061321.0,ns,3960
allocation,linear object poll,,,,1024508.0,ns,4000
