group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
allocation,linear object poll,,,,5461.0,ns,40
allocation,linear object poll,,,,8331.0,ns,80
allocation,linear object poll,,,,11190.0,ns,120
allocation,linear object poll,,,,14247.0,ns,160
allocation,linear object poll,,,,19865.0,ns,200
allocation,linear object poll,,,,23720.0,ns,240
allocation,linear object poll,,,,41587.0,ns,280
allocation,linear object poll,,,,34020.0,ns,320
allocation,linear object poll,,,,40719.0,ns,360
allocation,linear object poll,,,,651093.0,ns,400
allocation,linear object poll,,,,97519.0,ns,440
allocation,linear object poll,,,,96797.0,ns,480
allocation,linear object poll,,,,161645.0,ns,520
allocation,linear object poll,,,,111819.0,ns,560
allocation,linear object poll,,,,113931.0,ns,600
allocation,linear object poll,,,,604375.0,ns,640
allocation,linear object poll,,,,177514.0,ns,680
allocation,linear object poll,,,,136544.0,ns,720
allocation,linear object poll,,,,138600.0,ns,760
allocation,linear object poll,,,,140615.0,ns,800
allocation,linear object poll,,,,879648.0,ns,840
allocation,linear object poll,,,,244101.0,ns,880
allocation,linear object poll,,,,156083.0,ns,920
allocation,linear object poll,,,,366902.0,ns,960
allocation,linear object poll,,,,289107.0,ns,1000
allocation,linear object poll,,,,309903.0,ns,1040
allocation,linear object poll,,,,266436.0,ns,1080
allocation,linear object poll,,,,262937.0,ns,1120
allocation,linear object poll,,,,373295.0,ns,1160
allocation,linear object poll,,,,205804.0,ns,1200
allocation,linear object poll,,,,1191899.0,ns,1240
allocation,linear object poll,,,,1297879.0,ns,1280
allocation,linear object poll,,,,727978.0,ns,1320
allocation,linear object poll,,,,307557.0,ns,1360
allocation,linear object poll,,,,262352.0,ns,1400
allocation,linear object poll,,,,552021.0,ns,1440
allocation,linear object poll,,,,595097.0,ns,1480
allocation,linear object poll,,,,391241.0,ns,1520
allocation,linear object poll,,,,421367.0,ns,1560
allocation,linear object poll,,,,877809.0,ns,1600
allocation,linear object poll,,,,371115.0,ns,1640
allocation,linear object poll,,,,505797.0,ns,1680
allocation,linear object poll,,,,523074.0,ns,1720
allocation,linear object poll,,,,474638.0,ns,1760
allocation,linear object poll,,,,415144.0,ns,1800
allocation,linear object poll,,,,430487.0,ns,1840
allocation,linear object poll,,,,563001.0,ns,1880
allocation,linear object poll,,,,442983.0,ns,1920
allocation,linear object poll,,,,398004.0,ns,1960
allocation,linear object poll,,,,513084.0,ns,2000
allocation,linear object poll,,,,640566.0,ns,2040
allocation,linear object poll,,,,607894.0,ns,2080
allocation,linear object poll,,,,557743.0,ns,2120
allocation,linear object poll,,,,613641.0,ns,2160
allocation,linear object poll,,,,460289.0,ns,2200
allocation,linear object poll,,,,456251.0,ns,2240
allocation,linear object poll,,,,548209.0,ns,2280
allocation,linear object poll,,,,417957.0,ns,2320
allocation,linear object poll,,,,472067.0,ns,2360
allocation,linear object poll,,,,426962.0,ns,2400
allocation,linear object poll,,,,499069.0,ns,2440
allocation,linear object poll,,,,399933.0,ns,2480
allocation,linear object poll,,,,410232.0,ns,2520
allocation,linear object poll,,,,631067.0,ns,2560
allocation,linear object poll,,,,517721.0,ns,2600
allocation,linear object poll,,,,483676.0,ns,2640
allocation,linear object poll,,,,464532.0,ns,2680
allocation,linear object poll,,,,440321.0,ns,2720
allocation,linear object poll,,,,505856.0,ns,2760
allocation,linear object poll,,,,787475.0,ns,2800
allocation,linear object poll,,,,888617.0,ns,2840
allocation,linear object poll,,,,627787.0,ns,2880
allocation,linear object poll,,,,581085.0,ns,2920
allocation,linear object poll,,,,1234910.0,ns,2960
allocation,linear object poll,,,,1052461.0,ns,3000
allocation,linear object poll,,,,1023980.0,ns,3040
allocation,linear object poll,,,,1013897.0,ns,3080
allocation,linear object poll,,,,887947.0,ns,3120
allocation,linear object poll,,,,945178.0,ns,3160
allocation,linear object poll,,,,931477.0,ns,3200
allocation,linear object poll,,,,765554.0,ns,3240
allocation,linear object poll,,,,825584.0,ns,3280
allocation,linear object poll,,,,978096.0,ns,3320
allocation,linear object poll,,,,1052579.0,ns,3360
allocation,linear object poll,,,,896137.0,ns,3400
allocation,linear object poll,,,,923596.0,ns,3440
allocation,linear object poll,,,,993577.0,ns,3480
allocation,linear object poll,,,,997859.0,ns,3520
allocation,linear object poll,,,,954136.0,ns,3560
allocation,linear object poll,,,,992057.0,ns,3600
allocation,linear object poll,,,,1101442.0,ns,3640
allocation,linear object poll,,,,1235218.0,ns,3680
allocation,linear object poll,,,,1099483.0,ns,3720
allocation,linear object poll,,,,1110318.0,ns,3760
allocation,linear object poll,,,,1131201.0,ns,3800
allocation,linear object poll,,,,1086758.0,ns,3840
allocation,linear object poll,,,,1089803.0,ns,3880
allocation,linear object poll,,,,1114774.0,ns,3920
allocation,linear object poll,,,,1261398.0,ns,3960
allocation,linear object poll,,,,1259359.0,ns,4000
