group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
allocation,mutex object poll,,,,925550.0,ns,787
allocation,mutex object poll,,,,1072457.0,ns,1574
allocation,mutex object poll,,,,1131596.0,ns,2361
allocation,mutex object poll,,,,1165508.0,ns,3148
allocation,mutex object poll,,,,5051538.0,ns,3935
allocation,mutex object poll,,,,6591049.0,ns,4722
allocation,mutex object poll,,,,7197485.0,ns,5509
allocation,mutex object poll,,,,8715876.0,ns,6296
allocation,mutex object poll,,,,9198545.0,ns,7083
allocation,mutex object poll,,,,10193439.0,ns,7870
allocation,mutex object poll,,,,11352848.0,ns,8657
allocation,mutex object poll,,,,12285019.0,ns,9444
allocation,mutex object poll,,,,13325663.0,ns,10231
allocation,mutex object poll,,,,14354950.0,ns,11018
allocation,mutex object poll,,,,15379613.0,ns,11805
allocation,mutex object poll,,,,16395229.0,ns,12592
allocation,mutex object poll,,,,17445551.0,ns,13379
allocation,mutex object poll,,,,18495344.0,ns,14166
allocation,mutex object poll,,,,19543855.0,ns,14953
allocation,mutex object poll,,,,20573402.0,ns,15740
allocation,mutex object poll,,,,21755087.0,ns,16527
allocation,mutex object poll,,,,23083456.0,ns,17314
allocation,mutex object poll,,,,23949828.0,ns,18101
allocation,mutex object poll,,,,25040313.0,ns,18888
allocation,mutex object poll,,,,26180626.0,ns,19675
allocation,mutex object poll,,,,27075078.0,ns,20462
allocation,mutex object poll,,,,28060558.0,ns,21249
allocation,mutex object poll,,,,29118634.0,ns,22036
allocation,mutex object poll,,,,30194085.0,ns,22823
allocation,mutex object poll,,,,31151186.0,ns,23610
allocation,mutex object poll,,,,32229637.0,ns,24397
allocation,mutex object poll,,,,34094656.0,ns,25184
allocation,mutex object poll,,,,34442869.0,ns,25971
allocation,mutex object poll,,,,35467536.0,ns,26758
allocation,mutex object poll,,,,36484068.0,ns,27545
allocation,mutex object poll,,,,37542560.0,ns,28332
allocation,mutex object poll,,,,38607392.0,ns,29119
allocation,mutex object poll,,,,39684258.0,ns,29906
allocation,mutex object poll,,,,40718410.0,ns,30693
allocation,mutex object poll,,,,41843443.0,ns,31480
allocation,mutex object poll,,,,42783462.0,ns,32267
allocation,mutex object poll,,,,44272015.0,ns,33054
allocation,mutex object poll,,,,45324328.0,ns,33841
allocation,mutex object poll,,,,46785473.0,ns,34628
allocation,mutex object poll,,,,47844857.0,ns,35415
allocation,mutex object poll,,,,48165127.0,ns,36202
allocation,mutex object poll,,,,49557023.0,ns,36989
allocation,mutex object poll,,,,50518149.0,ns,37776
allocation,mutex object poll,,,,51505726.0,ns,38563
allocation,mutex object poll,,,,52743520.0,ns,39350
allocation,mutex object poll,,,,53888030.0,ns,40137
allocation,mutex object poll,,,,54856265.0,ns,40924
allocation,mutex object poll,,,,55891588.0,ns,41711
allocation,mutex object poll,,,,57458726.0,ns,42498
allocation,mutex object poll,,,,58211195.0,ns,43285
allocation,mutex object poll,,,,59137006.0,ns,44072
allocation,mutex object poll,,,,60134767.0,ns,44859
allocation,mutex object poll,,,,61268856.0,ns,45646
allocation,mutex object poll,,,,62308625.0,ns,46433
allocation,mutex object poll,,,,63633776.0,ns,47220
allocation,mutex object poll,,,,64538654.0,ns,48007
allocation,mutex object poll,,,,66217126.0,ns,48794
allocation,mutex object poll,,,,66882477.0,ns,49581
allocation,mutex object poll,,,,67648334.0,ns,50368
allocation,mutex object poll,,,,68862240.0,ns,51155
allocation,mutex object poll,,,,69934502.0,ns,51942
allocation,mutex object poll,,,,70937969.0,ns,52729
allocation,mutex object poll,,,,72055588.0,ns,53516
allocation,mutex object poll,,,,73407965.0,ns,54303
allocation,mutex object poll,,,,74577899.0,ns,55090
allocation,mutex object poll,,,,75410940.0,ns,55877
allocation,mutex object poll,,,,76426771.0,ns,56664
allocation,mutex object poll,,,,77212985.0,ns,57451
allocation,mutex object poll,,,,78482633.0,ns,58238
allocation,mutex object poll,,,,79658118.0,ns,59025
allocation,mutex object poll,,,,81469628.0,ns,59812
allocation,mutex object poll,,,,81650447.0,ns,60599
allocation,mutex object poll,,,,82767540.0,ns,61386
allocation,mutex object poll,,,,83670373.0,ns,62173
allocation,mutex object poll,,,,84581874.0,ns,62960
allocation,mutex object poll,,,,85730833.0,ns,63747
allocation,mutex object poll,,,,87704798.0,ns,64534
allocation,mutex object poll,,,,87856681.0,ns,65321
allocation,mutex object poll,,,,89413583.0,ns,66108
allocation,mutex object poll,,,,90591196.0,ns,66895
allocation,mutex object poll,,,,91496513.0,ns,67682
allocation,mutex object poll,,,,93026790.0,ns,68469
allocation,mutex object poll,,,,94030999.0,ns,69256
allocation,mutex object poll,,,,94630557.0,ns,70043
allocation,mutex object poll,,,,95802581.0,ns,70830
allocation,mutex object poll,,,,96820204.0,ns,71617
allocation,mutex object poll,,,,98346567.0,ns,72404
allocation,mutex object poll,,,,99189061.0,ns,73191
allocation,mutex object poll,,,,99801058.0,ns,73978
allocation,mutex object poll,,,,100725454.0,ns,74765
allocation,mutex object poll,,,,101839314.0,ns,75552
allocation,mutex object poll,,,,103095866.0,ns,76339
allocation,mutex object poll,,,,104250593.0,ns,77126
allocation,mutex object poll,,,,105371001.0,ns,77913
allocation,mutex object poll,,,,106130321.0,ns,78700
