group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
allocation,none object poll,,,,981897.0,ns,795
allocation,none object poll,,,,1042895.0,ns,1590
allocation,none object poll,,,,1084155.0,ns,2385
allocation,none object poll,,,,1095991.0,ns,3180
allocation,none object poll,,,,5012629.0,ns,3975
allocation,none object poll,,,,6271361.0,ns,4770
allocation,none object poll,,,,7412197.0,ns,5565
allocation,none object poll,,,,8276470.0,ns,6360
allocation,none object poll,,,,9054852.0,ns,7155
allocation,none object poll,,,,10069534.0,ns,7950
allocation,none object poll,,,,11186949.0,ns,8745
allocation,none object poll,,,,12121664.0,ns,9540
allocation,none object poll,,,,13149492.0,ns,10335
allocation,none object poll,,,,14167258.0,ns,11130
allocation,none object poll,,,,15197670.0,ns,11925
allocation,none object poll,,,,16239326.0,ns,12720
allocation,none object poll,,,,17239463.0,ns,13515
allocation,none object poll,,,,18331634.0,ns,14310
allocation,none object poll,,,,19302984.0,ns,15105
allocation,none object poll,,,,20354840.0,ns,15900
allocation,none object poll,,,,21537863.0,ns,16695
allocation,none object poll,,,,22565640.0,ns,17490
allocation,none object poll,,,,23684985.0,ns,18285
allocation,none object poll,,,,24787935.0,ns,19080
allocation,none object poll,,,,25843248.0,ns,19875
allocation,none object poll,,,,26797099.0,ns,20670
allocation,none object poll,,,,27887069.0,ns,21465
allocation,none object poll,,,,29460324.0,ns,22260
allocation,none object poll,,,,30558715.0,ns,23055
allocation,none object poll,,,,31421166.0,ns,23850
allocation,none object poll,,,,32181394.0,ns,24645
allocation,none object poll,,,,33159427.0,ns,25440
allocation,none object poll,,,,34270641.0,ns,26235
allocation,none object poll,,,,35393646.0,ns,27030
allocation,none object poll,,,,36535961.0,ns,27825
allocation,none object poll,,,,37385547.0,ns,28620
allocation,none object poll,,,,38481020.0,ns,29415
allocation,none object poll,,,,39637071.0,ns,30210
allocation,none object poll,,,,40663619.0,ns,31005
allocation,none object poll,,,,41750990.0,ns,31800
allocation,none object poll,,,,42925712.0,ns,32595
allocation,none object poll,,,,44849261.0,ns,33390
allocation,none object poll,,,,45148683.0,ns,34185
allocation,none object poll,,,,46249212.0,ns,34980
allocation,none object poll,,,,47204834.0,ns,35775
allocation,none object poll,,,,48433538.0,ns,36570
allocation,none object poll,,,,49350392.0,ns,37365
allocation,none object poll,,,,50649866.0,ns,38160
allocation,none object poll,,,,51852453.0,ns,38955
allocation,none object poll,,,,52275407.0,ns,39750
allocation,none object poll,,,,53723434.0,ns,40545
allocation,none object poll,,,,55288487.0,ns,41340
allocation,none object poll,,,,56090497.0,ns,42135
allocation,none object poll,,,,57001417.0,ns,42930
allocation,none object poll,,,,58075730.0,ns,43725
allocation,none object poll,,,,59042084.0,ns,44520
allocation,none object poll,,,,60304100.0,ns,45315
allocation,none object poll,,,,61120822.0,ns,46110
allocation,none object poll,,,,62192440.0,ns,46905
allocation,none object poll,,,,63380239.0,ns,47700
allocation,none object poll,,,,64777049.0,ns,48495
allocation,none object poll,,,,65470208.0,ns,49290
allocation,none object poll,,,,66750208.0,ns,50085
allocation,none object poll,,,,67998272.0,ns,50880
allocation,none object poll,,,,68774253.0,ns,51675
allocation,none object poll,,,,70185292.0,ns,52470
allocation,none object poll,,,,71064405.0,ns,53265
allocation,none object poll,,,,72387697.0,ns,54060
allocation,none object poll,,,,73051911.0,ns,54855
allocation,none object poll,,,,74363560.0,ns,55650
allocation,none object poll,,,,74944040.0,ns,56445
allocation,none object poll,,,,76200199.0,ns,57240
allocation,none object poll,,,,77221079.0,ns,58035
allocation,none object poll,,,,78341843.0,ns,58830
allocation,none object poll,,,,80658197.0,ns,59625
allocation,none object poll,,,,80497928.0,ns,60420
allocation,none object poll,,,,81465819.0,ns,61215
allocation,none object poll,,,,82592206.0,ns,62010
allocation,none object poll,,,,83531680.0,ns,62805
allocation,none object poll,,,,84744498.0,ns,63600
allocation,none object poll,,,,86403098.0,ns,64395
allocation,none object poll,,,,86917105.0,ns,65190
allocation,none object poll,,,,88444362.0,ns,65985
allocation,none object poll,,,,89595316.0,ns,66780
allocation,none object poll,,,,91218547.0,ns,67575
allocation,none object poll,,,,91796406.0,ns,68370
allocation,none object poll,,,,92770546.0,ns,69165
allocation,none object poll,,,,93895107.0,ns,69960
allocation,none object poll,,,,94840682.0,ns,70755
allocation,none object poll,,,,95591189.0,ns,71550
allocation,none object poll,,,,96869722.0,ns,72345
allocation,none object poll,,,,97828036.0,ns,73140
allocation,none object poll,,,,99074774.0,ns,73935
allocation,none object poll,,,,103288024.0,ns,74730
allocation,none object poll,,,,101408696.0,ns,75525
allocation,none object poll,,,,102361775.0,ns,76320
allocation,none object poll,,,,103317796.0,ns,77115
allocation,none object poll,,,,104459658.0,ns,77910
allocation,none object poll,,,,105374382.0,ns,78705
allocation,none object poll,,,,106414945.0,ns,79500
