group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
allocation,spin_lock object poll,,,,977025.0,ns,802
allocation,spin_lock object poll,,,,1066172.0,ns,1604
allocation,spin_lock object poll,,,,1113530.0,ns,2406
allocation,spin_lock object poll,,,,1141177.0,ns,3208
allocation,spin_lock object poll,,,,4910542.0,ns,4010
allocation,spin_lock object poll,,,,6132681.0,ns,4812
allocation,spin_lock object poll,,,,7073613.0,ns,5614
allocation,spin_lock object poll,,,,8300144.0,ns,6416
allocation,spin_lock object poll,,,,9138550.0,ns,7218
allocation,spin_lock object poll,,,,10135389.0,ns,8020
allocation,spin_lock object poll,,,,11217523.0,ns,8822
allocation,spin_lock object poll,,,,12186151.0,ns,9624
allocation,spin_lock object poll,,,,13173853.0,ns,10426
allocation,spin_lock object poll,,,,14189440.0,ns,11228
allocation,spin_lock object poll,,,,15179665.0,ns,12030
allocation,spin_lock object poll,,,,16177077.0,ns,12832
allocation,spin_lock object poll,,,,17402115.0,ns,13634
allocation,spin_lock object poll,,,,18339928.0,ns,14436
allocation,spin_lock object poll,,,,19334867.0,ns,15238
allocation,spin_lock object poll,,,,20219195.0,ns,16040
allocation,spin_lock object poll,,,,21392326.0,ns,16842
allocation,spin_lock object poll,,,,22421451.0,ns,17644
allocation,spin_lock object poll,,,,23438356.0,ns,18446
allocation,spin_lock object poll,,,,24419474.0,ns,19248
allocation,spin_lock object poll,,,,25406367.0,ns,20050
allocation,spin_lock object poll,,,,26481438.0,ns,20852
allocation,spin_lock object poll,,,,27431937.0,ns,21654
allocation,spin_lock object poll,,,,28442115.0,ns,22456
allocation,spin_lock object poll,,,,29433735.0,ns,23258
allocation,spin_lock object poll,,,,30481702.0,ns,24060
allocation,spin_lock object poll,,,,31519115.0,ns,24862
allocation,spin_lock object poll,,,,32505303.0,ns,25664
allocation,spin_lock object poll,,,,33519521.0,ns,26466
allocation,spin_lock object poll,,,,34455732.0,ns,27268
allocation,spin_lock object poll,,,,35513927.0,ns,28070
allocation,spin_lock object poll,,,,36700290.0,ns,28872
allocation,spin_lock object poll,,,,37734130.0,ns,29674
allocation,spin_lock object poll,,,,38656857.0,ns,30476
allocation,spin_lock object poll,,,,39497878.0,ns,31278
allocation,spin_lock object poll,,,,40527406.0,ns,32080
allocation,spin_lock object poll,,,,41878354.0,ns,32882
allocation,spin_lock object poll,,,,42887830.0,ns,33684
allocation,spin_lock object poll,,,,43899112.0,ns,34486
allocation,spin_lock object poll,,,,44986381.0,ns,35288
allocation,spin_lock object poll,,,,45917606.0,ns,36090
allocation,spin_lock object poll,,,,46957775.0,ns,36892
allocation,spin_lock object poll,,,,47920918.0,ns,37694
allocation,spin_lock object poll,,,,49127130.0,ns,38496
allocation,spin_lock object poll,,,,50253277.0,ns,39298
allocation,spin_lock object poll,,,,50902903.0,ns,40100
allocation,spin_lock object poll,,,,51942117.0,ns,40902
allocation,spin_lock object poll,,,,52944468.0,ns,41704
allocation,spin_lock object poll,,,,53992623.0,ns,42506
allocation,spin_lock object poll,,,,54943229.0,ns,43308
allocation,spin_lock object poll,,,,55979983.0,ns,44110
allocation,spin_lock object poll,,,,57093782.0,ns,44912
allocation,spin_lock object poll,,,,57962475.0,ns,45714
allocation,spin_lock object poll,,,,59308550.0,ns,46516
allocation,spin_lock object poll,,,,59993227.0,ns,47318
allocation,spin_lock object poll,,,,61016384.0,ns,48120
allocation,spin_lock object poll,,,,62050973.0,ns,48922
allocation,spin_lock object poll,,,,63019918.0,ns,49724
allocation,spin_lock object poll,,,,64036310.0,ns,50526
allocation,spin_lock object poll,,,,65108085.0,ns,51328
allocation,spin_lock object poll,,,,66016697.0,ns,52130
allocation,spin_lock object poll,,,,67280295.0,ns,52932
allocation,spin_lock object poll,,,,68069599.0,ns,53734
allocation,spin_lock object poll,,,,68881653.0,ns,54536
allocation,spin_lock object poll,,,,69874860.0,ns,55338
allocation,spin_lock object poll,,,,71098709.0,ns,56140
allocation,spin_lock object poll,,,,71856446.0,ns,56942
allocation,spin_lock object poll,,,,72954621.0,ns,57744
allocation,spin_lock object poll,,,,73961987.0,ns,58546
allocation,spin_lock object poll,,,,75178792.0,ns,59348
allocation,spin_lock object poll,,,,75704194.0,ns,60150
allocation,spin_lock object poll,,,,77051134.0,ns,60952
allocation,spin_lock object poll,,,,77863148.0,ns,61754
allocation,spin_lock object poll,,,,78865279.0,ns,62556
allocation,spin_lock object poll,,,,79799771.0,ns,63358
allocation,spin_lock object poll,,,,81222972.0,ns,64160
allocation,spin_lock object poll,,,,81873940.0,ns,64962
allocation,spin_lock object poll,,,,83463189.0,ns,65764
allocation,spin_lock object poll,,,,84443537.0,ns,66566
allocation,spin_lock object poll,,,,85421805.0,ns,67368
allocation,spin_lock object poll,,,,86299624.0,ns,68170
allocation,spin_lock object poll,,,,87270882.0,ns,68972
allocation,spin_lock object poll,,,,88408021.0,ns,69774
allocation,spin_lock object poll,,,,92604215.0,ns,70576
allocation,spin_lock object poll,,,,90348434.0,ns,71378
allocation,spin_lock object poll,,,,91316535.0,ns,72180
allocation,spin_lock object poll,,,,92439318.0,ns,72982
allocation,spin_lock object poll,,,,93347025.0,ns,73784
allocation,spin_lock object poll,,,,94154486.0,ns,74586
allocation,spin_lock object poll,,,,95195422.0,ns,75388
allocation,spin_lock object poll,,,,96178801.0,ns,76190
allocation,spin_lock object poll,,,,97522330.0,ns,76992
allocation,spin_lock object poll,,,,98138753.0,ns,77794
allocation,spin_lock object poll,,,,99397841.0,ns,78596
allocation,spin_lock object poll,,,,100338495.0,ns,79398
allocation,spin_lock object poll,,,,101199572.0,ns,80200
