group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,187140.0,ns,297
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,40573.0,ns,594
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,264889.0,ns,891
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,79422.0,ns,1188
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,90761.0,ns,1485
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,220639.0,ns,1782
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,109752.0,ns,2079
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,142421.0,ns,2376
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,167358.0,ns,2673
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,181151.0,ns,2970
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,237516.0,ns,3267
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,236130.0,ns,3564
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,235649.0,ns,3861
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,840196.0,ns,4158
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,290101.0,ns,4455
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,251178.0,ns,4752
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,277158.0,ns,5049
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,315019.0,ns,5346
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,323967.0,ns,5643
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,385517.0,ns,5940
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,359441.0,ns,6237
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,720136.0,ns,6534
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,374751.0,ns,6831
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,376465.0,ns,7128
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,401680.0,ns,7425
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,411954.0,ns,7722
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,464979.0,ns,8019
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,446807.0,ns,8316
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,1089808.0,ns,8613
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,5514603.0,ns,8910
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,5497044.0,ns,9207
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,4261442.0,ns,9504
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,4697081.0,ns,9801
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,6002304.0,ns,10098
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,6442582.0,ns,10395
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,6521193.0,ns,10692
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,6759809.0,ns,10989
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,7063042.0,ns,11286
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,7206906.0,ns,11583
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,7339950.0,ns,11880
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,1648901.0,ns,12177
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,1054062.0,ns,12474
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,673484.0,ns,12771
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,703559.0,ns,13068
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,1079597.0,ns,13365
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,2611448.0,ns,13662
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,8753509.0,ns,13959
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,8691009.0,ns,14256
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,9075460.0,ns,14553
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,3520806.0,ns,14850
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,7880208.0,ns,15147
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,9691738.0,ns,15444
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,9066406.0,ns,15741
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,9830250.0,ns,16038
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,10169387.0,ns,16335
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,10428758.0,ns,16632
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,10444137.0,ns,16929
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,10703491.0,ns,17226
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,5084120.0,ns,17523
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,11039620.0,ns,17820
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,11374092.0,ns,18117
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,11035401.0,ns,18414
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,11179190.0,ns,18711
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,11793613.0,ns,19008
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,12086234.0,ns,19305
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,12108728.0,ns,19602
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,12674925.0,ns,19899
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,12550715.0,ns,20196
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,12916721.0,ns,20493
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,12996690.0,ns,20790
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,13264203.0,ns,21087
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,13613092.0,ns,21384
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,13411841.0,ns,21681
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,13886141.0,ns,21978
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,14112014.0,ns,22275
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,14413358.0,ns,22572
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,14577208.0,ns,22869
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,14499984.0,ns,23166
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,14936957.0,ns,23463
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,15017475.0,ns,23760
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,15024858.0,ns,24057
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,15714838.0,ns,24354
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,15382704.0,ns,24651
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,15328950.0,ns,24948
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,14843482.0,ns,25245
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,16222819.0,ns,25542
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,16325132.0,ns,25839
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,16773317.0,ns,26136
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,16892442.0,ns,26433
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,17047171.0,ns,26730
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,16921066.0,ns,27027
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,17654683.0,ns,27324
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,17626042.0,ns,27621
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,17941415.0,ns,27918
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,18272769.0,ns,28215
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,17965192.0,ns,28512
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,18468221.0,ns,28809
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,18639887.0,ns,29106
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,18780056.0,ns,29403
forward msg from pull (nb_writter:1 nb_readder:1),mutex object poll,,,,18812088.0,ns,29700
