group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,197941.0,ns,6334
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,416537.0,ns,12668
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,566576.0,ns,19002
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,816625.0,ns,25336
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,1042945.0,ns,31670
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,1315009.0,ns,38004
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,1475092.0,ns,44338
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,1622868.0,ns,50672
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,1825174.0,ns,57006
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,2027476.0,ns,63340
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,2253499.0,ns,69674
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,2484643.0,ns,76008
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,2647018.0,ns,82342
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,2848533.0,ns,88676
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,3111541.0,ns,95010
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,3338075.0,ns,101344
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,2863611.0,ns,107678
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,4068698.0,ns,114012
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,4182549.0,ns,120346
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,4363085.0,ns,126680
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,4498309.0,ns,133014
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,5225117.0,ns,139348
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,4741170.0,ns,145682
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,4595795.0,ns,152016
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,5084118.0,ns,158350
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,5374872.0,ns,164684
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,5376513.0,ns,171018
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,5465726.0,ns,177352
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,5768553.0,ns,183686
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,6499567.0,ns,190020
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,6459015.0,ns,196354
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,6951279.0,ns,202688
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,6688424.0,ns,209022
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,6578836.0,ns,215356
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,7251409.0,ns,221690
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,6867280.0,ns,228024
forward msg from pull (nb_writter:1 nb_readder:1),spin_lock object poll,,,,7764335.0,ns,234358
