group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,127901.0,ns,164
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,181575.0,ns,328
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,231644.0,ns,492
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,340453.0,ns,656
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,373401.0,ns,820
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,414383.0,ns,984
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,486573.0,ns,1148
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,544278.0,ns,1312
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,587858.0,ns,1476
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,644020.0,ns,1640
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,698296.0,ns,1804
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,705921.0,ns,1968
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,1357693.0,ns,2132
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,1846418.0,ns,2296
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,1892381.0,ns,2460
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,1940872.0,ns,2624
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,2051204.0,ns,2788
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,2073902.0,ns,2952
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,2147276.0,ns,3116
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,2173663.0,ns,3280
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,2259747.0,ns,3444
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,2241493.0,ns,3608
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,2408386.0,ns,3772
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,2139152.0,ns,3936
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,3430196.0,ns,4100
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4094701.0,ns,4264
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4198598.0,ns,4428
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4184794.0,ns,4592
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4359883.0,ns,4756
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4290844.0,ns,4920
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4008675.0,ns,5084
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4485812.0,ns,5248
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4537205.0,ns,5412
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4558025.0,ns,5576
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4659009.0,ns,5740
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4710269.0,ns,5904
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4752917.0,ns,6068
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4860161.0,ns,6232
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,4882040.0,ns,6396
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,5121241.0,ns,6560
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,5004054.0,ns,6724
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,5246164.0,ns,6888
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,5185217.0,ns,7052
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,5233202.0,ns,7216
forward msg from pull (nb_writter:1 nb_readder:5),crate 'sharded-slab',,,,5206383.0,ns,7380
