group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,59756.0,ns,89
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,105750.0,ns,178
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,166239.0,ns,267
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,98876.0,ns,356
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,196765.0,ns,445
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,351710.0,ns,534
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,285170.0,ns,623
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,198022.0,ns,712
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,273254.0,ns,801
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,239530.0,ns,890
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,279878.0,ns,979
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,657693.0,ns,1068
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,304861.0,ns,1157
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,545911.0,ns,1246
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,343962.0,ns,1335
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,397847.0,ns,1424
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,395398.0,ns,1513
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,403223.0,ns,1602
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,436387.0,ns,1691
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,460281.0,ns,1780
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,484661.0,ns,1869
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,529075.0,ns,1958
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,1271009.0,ns,2047
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,1895056.0,ns,2136
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2081114.0,ns,2225
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2160730.0,ns,2314
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2198451.0,ns,2403
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2215606.0,ns,2492
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2231067.0,ns,2581
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2273886.0,ns,2670
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2150275.0,ns,2759
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2311337.0,ns,2848
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2238299.0,ns,2937
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2283677.0,ns,3026
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2374394.0,ns,3115
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2309471.0,ns,3204
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2404635.0,ns,3293
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2370013.0,ns,3382
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2409044.0,ns,3471
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2421633.0,ns,3560
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2231077.0,ns,3649
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2386668.0,ns,3738
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2429279.0,ns,3827
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2529146.0,ns,3916
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,2588624.0,ns,4005
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6651365.0,ns,4094
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6309360.0,ns,4183
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6280515.0,ns,4272
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6264528.0,ns,4361
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6315033.0,ns,4450
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6395444.0,ns,4539
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6471955.0,ns,4628
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6544422.0,ns,4717
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6934430.0,ns,4806
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6794415.0,ns,4895
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6772183.0,ns,4984
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6643239.0,ns,5073
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6913877.0,ns,5162
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6376470.0,ns,5251
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6994631.0,ns,5340
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7336827.0,ns,5429
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7376432.0,ns,5518
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6638528.0,ns,5607
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7007138.0,ns,5696
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7209164.0,ns,5785
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7222868.0,ns,5874
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6781753.0,ns,5963
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7485493.0,ns,6052
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7437972.0,ns,6141
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7115112.0,ns,6230
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7577838.0,ns,6319
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7538335.0,ns,6408
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7554403.0,ns,6497
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7542885.0,ns,6586
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7626272.0,ns,6675
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6836340.0,ns,6764
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7451837.0,ns,6853
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7293913.0,ns,6942
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6863978.0,ns,7031
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6972460.0,ns,7120
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6947038.0,ns,7209
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7578023.0,ns,7298
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7454521.0,ns,7387
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7636509.0,ns,7476
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6807438.0,ns,7565
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7547426.0,ns,7654
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,6841113.0,ns,7743
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7668516.0,ns,7832
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7776517.0,ns,7921
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7715860.0,ns,8010
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,7848219.0,ns,8099
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,14260313.0,ns,8188
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,15084883.0,ns,8277
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,14825494.0,ns,8366
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,14948024.0,ns,8455
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,15467411.0,ns,8544
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,14585962.0,ns,8633
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,15511947.0,ns,8722
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,15305875.0,ns,8811
forward msg from pull (nb_writter:5 nb_readder:1),crate 'sharded-slab',,,,16349097.0,ns,8900
