group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,133887.0,ns,522
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,302762.0,ns,1044
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,483677.0,ns,1566
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,625172.0,ns,2088
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,810208.0,ns,2610
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,1028368.0,ns,3132
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,1164043.0,ns,3654
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,1401113.0,ns,4176
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,1601761.0,ns,4698
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,1680578.0,ns,5220
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,1998406.0,ns,5742
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,2180945.0,ns,6264
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,2407037.0,ns,6786
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,2610703.0,ns,7308
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,2712897.0,ns,7830
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,3088333.0,ns,8352
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,3254035.0,ns,8874
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,3439065.0,ns,9396
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,3425074.0,ns,9918
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,3629114.0,ns,10440
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,4040292.0,ns,10962
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,4238408.0,ns,11484
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,4367306.0,ns,12006
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,4776686.0,ns,12528
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,4872033.0,ns,13050
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,5035772.0,ns,13572
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,5091745.0,ns,14094
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,5506031.0,ns,14616
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,5292349.0,ns,15138
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,5677662.0,ns,15660
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,6011521.0,ns,16182
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,6291250.0,ns,16704
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,6125294.0,ns,17226
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,6616951.0,ns,17748
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,6753566.0,ns,18270
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,6605621.0,ns,18792
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,7270604.0,ns,19314
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,6924559.0,ns,19836
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,7649610.0,ns,20358
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,8086807.0,ns,20880
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,7658072.0,ns,21402
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,8207636.0,ns,21924
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,8476085.0,ns,22446
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,8329556.0,ns,22968
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,8524186.0,ns,23490
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,8800164.0,ns,24012
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,9446339.0,ns,24534
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,9664063.0,ns,25056
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,9090171.0,ns,25578
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,9607632.0,ns,26100
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,10189394.0,ns,26622
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,10233799.0,ns,27144
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,10321065.0,ns,27666
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,10761213.0,ns,28188
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,11055359.0,ns,28710
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,11031573.0,ns,29232
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,11271194.0,ns,29754
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,11171179.0,ns,30276
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,11421766.0,ns,30798
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,11218154.0,ns,31320
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,11745565.0,ns,31842
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,12174501.0,ns,32364
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,12786937.0,ns,32886
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,12711991.0,ns,33408
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,12943227.0,ns,33930
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,12676597.0,ns,34452
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,13550339.0,ns,34974
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,13474808.0,ns,35496
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,13204752.0,ns,36018
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,14318027.0,ns,36540
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,14378742.0,ns,37062
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,14120677.0,ns,37584
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,13640217.0,ns,38106
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,15021467.0,ns,38628
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,14773504.0,ns,39150
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,14473017.0,ns,39672
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,15331123.0,ns,40194
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,15514032.0,ns,40716
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,15842116.0,ns,41238
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,15125103.0,ns,41760
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,15873340.0,ns,42282
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,16114980.0,ns,42804
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,16521070.0,ns,43326
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,16320491.0,ns,43848
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,16928880.0,ns,44370
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,17492710.0,ns,44892
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,17406493.0,ns,45414
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,17526085.0,ns,45936
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,16863553.0,ns,46458
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,18190492.0,ns,46980
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,18222511.0,ns,47502
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,17318809.0,ns,48024
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,17927415.0,ns,48546
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,19130178.0,ns,49068
forward msg from pull (nb_writter:5 nb_readder:1),linear object poll,,,,18893087.0,ns,49590
