group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,128580.0,ns,172
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,151631.0,ns,344
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,221706.0,ns,516
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,443625.0,ns,688
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,283998.0,ns,860
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,372250.0,ns,1032
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,367481.0,ns,1204
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,430229.0,ns,1376
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,425993.0,ns,1548
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,519834.0,ns,1720
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,487615.0,ns,1892
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,643781.0,ns,2064
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,567368.0,ns,2236
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,758597.0,ns,2408
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,714623.0,ns,2580
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,764838.0,ns,2752
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,778934.0,ns,2924
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,839939.0,ns,3096
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,784912.0,ns,3268
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,1235584.0,ns,3440
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,2962666.0,ns,3612
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,2981365.0,ns,3784
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,3033763.0,ns,3956
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,3432981.0,ns,4128
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,3582436.0,ns,4300
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,3797589.0,ns,4472
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,3993494.0,ns,4644
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,4279673.0,ns,4816
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,4427571.0,ns,4988
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,4681234.0,ns,5160
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,4822276.0,ns,5332
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,5138774.0,ns,5504
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,5402432.0,ns,5676
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,5333934.0,ns,5848
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,5566212.0,ns,6020
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,5756355.0,ns,6192
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,5962075.0,ns,6364
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,6509342.0,ns,6536
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,6444961.0,ns,6708
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,6799643.0,ns,6880
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,7220628.0,ns,7052
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,7703111.0,ns,7224
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,7838173.0,ns,7396
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,8032973.0,ns,7568
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,8085205.0,ns,7740
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,8318148.0,ns,7912
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,8256716.0,ns,8084
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,8514384.0,ns,8256
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,9516875.0,ns,8428
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,8694668.0,ns,8600
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,8914357.0,ns,8772
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,10267603.0,ns,8944
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,9420344.0,ns,9116
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,10270694.0,ns,9288
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,10330658.0,ns,9460
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,10700254.0,ns,9632
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,10881300.0,ns,9804
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,11327752.0,ns,9976
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,11018057.0,ns,10148
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,12454929.0,ns,10320
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,12678910.0,ns,10492
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,12894315.0,ns,10664
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,12056976.0,ns,10836
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,13087174.0,ns,11008
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,12080770.0,ns,11180
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,12338095.0,ns,11352
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,13604968.0,ns,11524
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,12881655.0,ns,11696
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,13665132.0,ns,11868
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,13311800.0,ns,12040
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,13466394.0,ns,12212
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,13741156.0,ns,12384
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,14256651.0,ns,12556
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,15084314.0,ns,12728
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,14257479.0,ns,12900
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,14556777.0,ns,13072
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,15101666.0,ns,13244
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,15936948.0,ns,13416
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,15321486.0,ns,13588
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,15467754.0,ns,13760
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,16196522.0,ns,13932
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,16544600.0,ns,14104
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,16218452.0,ns,14276
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,17331876.0,ns,14448
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,17161126.0,ns,14620
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,16837419.0,ns,14792
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,16884193.0,ns,14964
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,17091137.0,ns,15136
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,17636861.0,ns,15308
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,20019016.0,ns,15480
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,18604169.0,ns,15652
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,18399995.0,ns,15824
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,20294952.0,ns,15996
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,18969282.0,ns,16168
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,19583536.0,ns,16340
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,18741369.0,ns,16512
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,19171985.0,ns,16684
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,19937017.0,ns,16856
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,19410035.0,ns,17028
forward msg from pull (nb_writter:5 nb_readder:1),none object poll,,,,20102105.0,ns,17200
