group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,219479.0,ns,508
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,490005.0,ns,1016
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,632677.0,ns,1524
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,867303.0,ns,2032
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,1041075.0,ns,2540
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,1263247.0,ns,3048
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,1727842.0,ns,3556
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,1734684.0,ns,4064
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,1898556.0,ns,4572
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,2185498.0,ns,5080
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,2264008.0,ns,5588
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,2571165.0,ns,6096
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,2764428.0,ns,6604
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,2982856.0,ns,7112
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,3231511.0,ns,7620
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,3362932.0,ns,8128
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,3642324.0,ns,8636
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,3764479.0,ns,9144
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,3897537.0,ns,9652
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,4087059.0,ns,10160
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,4392116.0,ns,10668
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,4511032.0,ns,11176
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,4897278.0,ns,11684
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,5023156.0,ns,12192
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,4916572.0,ns,12700
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,5339146.0,ns,13208
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,5696053.0,ns,13716
forward msg from pull (nb_writter:5 nb_readder:5),mutex object poll,,,,6224955.0,ns,14224
