group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,196877.0,ns,151
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,349060.0,ns,302
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,498162.0,ns,453
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,671631.0,ns,604
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,700406.0,ns,755
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,809502.0,ns,906
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,811071.0,ns,1057
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,741783.0,ns,1208
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,801256.0,ns,1359
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,751939.0,ns,1510
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,837090.0,ns,1661
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,871065.0,ns,1812
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,832484.0,ns,1963
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,913742.0,ns,2114
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,932879.0,ns,2265
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1099732.0,ns,2416
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1023104.0,ns,2567
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1148609.0,ns,2718
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1226106.0,ns,2869
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1216765.0,ns,3020
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1336582.0,ns,3171
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1415858.0,ns,3322
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1405082.0,ns,3473
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1580458.0,ns,3624
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1676770.0,ns,3775
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1596104.0,ns,3926
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1686666.0,ns,4077
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1640385.0,ns,4228
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1720995.0,ns,4379
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1722542.0,ns,4530
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2026233.0,ns,4681
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1882577.0,ns,4832
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1949950.0,ns,4983
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,1997385.0,ns,5134
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2040418.0,ns,5285
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2342615.0,ns,5436
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2180654.0,ns,5587
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2301932.0,ns,5738
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2358583.0,ns,5889
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2457927.0,ns,6040
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2497156.0,ns,6191
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2706347.0,ns,6342
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2908103.0,ns,6493
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2891612.0,ns,6644
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,2702775.0,ns,6795
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3027441.0,ns,6946
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3033928.0,ns,7097
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3838883.0,ns,7248
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,6158879.0,ns,7399
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,5712149.0,ns,7550
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,6136142.0,ns,7701
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,8110467.0,ns,7852
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,7725232.0,ns,8003
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,8048728.0,ns,8154
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,5441390.0,ns,8305
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3575505.0,ns,8456
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3548208.0,ns,8607
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3633442.0,ns,8758
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3548874.0,ns,8909
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3790204.0,ns,9060
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,4090906.0,ns,9211
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3913715.0,ns,9362
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3978483.0,ns,9513
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,3757009.0,ns,9664
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,4001051.0,ns,9815
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,4164425.0,ns,9966
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,4145413.0,ns,10117
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,7653401.0,ns,10268
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,10880141.0,ns,10419
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,11324797.0,ns,10570
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,11034311.0,ns,10721
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,11746830.0,ns,10872
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,12412455.0,ns,11023
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,12048163.0,ns,11174
forward msg from pull (nb_writter:5 nb_readder:5),none object poll,,,,10560416.0,ns,11325
