group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,167207.0,ns,304
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,1736958.0,ns,608
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,529169.0,ns,912
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,1948825.0,ns,1216
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2157557.0,ns,1520
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2213519.0,ns,1824
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2345618.0,ns,2128
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,965315.0,ns,2432
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2402788.0,ns,2736
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,1572488.0,ns,3040
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2404953.0,ns,3344
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,1402556.0,ns,3648
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2569468.0,ns,3952
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,3011567.0,ns,4256
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2687531.0,ns,4560
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2315281.0,ns,4864
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,3065009.0,ns,5168
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2481649.0,ns,5472
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,3311319.0,ns,5776
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,3016241.0,ns,6080
forward msg from pull (nb_writter:5 nb_readder:5),spin_lock object poll,,,,2590496.0,ns,6384
