group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,crate 'object-pool',,,,12704.0,ns,739
free,crate 'object-pool',,,,23492.0,ns,1478
free,crate 'object-pool',,,,34726.0,ns,2217
free,crate 'object-pool',,,,45640.0,ns,2956
free,crate 'object-pool',,,,57185.0,ns,3695
free,crate 'object-pool',,,,68507.0,ns,4434
free,crate 'object-pool',,,,79635.0,ns,5173
free,crate 'object-pool',,,,90437.0,ns,5912
free,crate 'object-pool',,,,101802.0,ns,6651
free,crate 'object-pool',,,,113400.0,ns,7390
free,crate 'object-pool',,,,124857.0,ns,8129
free,crate 'object-pool',,,,136257.0,ns,8868
free,crate 'object-pool',,,,147370.0,ns,9607
free,crate 'object-pool',,,,162517.0,ns,10346
free,crate 'object-pool',,,,169708.0,ns,11085
free,crate 'object-pool',,,,181482.0,ns,11824
free,crate 'object-pool',,,,196847.0,ns,12563
free,crate 'object-pool',,,,208392.0,ns,13302
free,crate 'object-pool',,,,220265.0,ns,14041
free,crate 'object-pool',,,,313802.0,ns,14780
free,crate 'object-pool',,,,342782.0,ns,15519
free,crate 'object-pool',,,,343738.0,ns,16258
free,crate 'object-pool',,,,361985.0,ns,16997
free,crate 'object-pool',,,,376881.0,ns,17736
free,crate 'object-pool',,,,385696.0,ns,18475
free,crate 'object-pool',,,,414727.0,ns,19214
free,crate 'object-pool',,,,416800.0,ns,19953
free,crate 'object-pool',,,,433776.0,ns,20692
free,crate 'object-pool',,,,445441.0,ns,21431
free,crate 'object-pool',,,,472150.0,ns,22170
free,crate 'object-pool',,,,477078.0,ns,22909
free,crate 'object-pool',,,,496453.0,ns,23648
free,crate 'object-pool',,,,507245.0,ns,24387
free,crate 'object-pool',,,,521996.0,ns,25126
free,crate 'object-pool',,,,542350.0,ns,25865
free,crate 'object-pool',,,,550815.0,ns,26604
free,crate 'object-pool',,,,579779.0,ns,27343
free,crate 'object-pool',,,,593032.0,ns,28082
free,crate 'object-pool',,,,619222.0,ns,28821
free,crate 'object-pool',,,,631767.0,ns,29560
free,crate 'object-pool',,,,638024.0,ns,30299
free,crate 'object-pool',,,,656513.0,ns,31038
free,crate 'object-pool',,,,666825.0,ns,31777
free,crate 'object-pool',,,,683963.0,ns,32516
free,crate 'object-pool',,,,694523.0,ns,33255
free,crate 'object-pool',,,,711104.0,ns,33994
free,crate 'object-pool',,,,735694.0,ns,34733
free,crate 'object-pool',,,,754633.0,ns,35472
free,crate 'object-pool',,,,764001.0,ns,36211
free,crate 'object-pool',,,,784569.0,ns,36950
free,crate 'object-pool',,,,794039.0,ns,37689
free,crate 'object-pool',,,,806498.0,ns,38428
free,crate 'object-pool',,,,827430.0,ns,39167
free,crate 'object-pool',,,,839920.0,ns,39906
free,crate 'object-pool',,,,865016.0,ns,40645
free,crate 'object-pool',,,,876386.0,ns,41384
free,crate 'object-pool',,,,886001.0,ns,42123
free,crate 'object-pool',,,,905832.0,ns,42862
free,crate 'object-pool',,,,916558.0,ns,43601
free,crate 'object-pool',,,,939824.0,ns,44340
free,crate 'object-pool',,,,952682.0,ns,45079
free,crate 'object-pool',,,,970651.0,ns,45818
free,crate 'object-pool',,,,986645.0,ns,46557
free,crate 'object-pool',,,,1000427.0,ns,47296
free,crate 'object-pool',,,,1015844.0,ns,48035
free,crate 'object-pool',,,,1024632.0,ns,48774
free,crate 'object-pool',,,,1044199.0,ns,49513
free,crate 'object-pool',,,,1057815.0,ns,50252
free,crate 'object-pool',,,,1073633.0,ns,50991
free,crate 'object-pool',,,,1087603.0,ns,51730
free,crate 'object-pool',,,,1104373.0,ns,52469
free,crate 'object-pool',,,,1120170.0,ns,53208
free,crate 'object-pool',,,,1128924.0,ns,53947
free,crate 'object-pool',,,,1146490.0,ns,54686
free,crate 'object-pool',,,,1170335.0,ns,55425
free,crate 'object-pool',,,,1179448.0,ns,56164
free,crate 'object-pool',,,,1201869.0,ns,56903
free,crate 'object-pool',,,,1215841.0,ns,57642
free,crate 'object-pool',,,,1229982.0,ns,58381
free,crate 'object-pool',,,,1236317.0,ns,59120
free,crate 'object-pool',,,,1253680.0,ns,59859
free,crate 'object-pool',,,,1270725.0,ns,60598
free,crate 'object-pool',,,,1282363.0,ns,61337
free,crate 'object-pool',,,,1307736.0,ns,62076
free,crate 'object-pool',,,,1310531.0,ns,62815
free,crate 'object-pool',,,,1329143.0,ns,63554
free,crate 'object-pool',,,,1357962.0,ns,64293
free,crate 'object-pool',,,,1363775.0,ns,65032
free,crate 'object-pool',,,,1479357.0,ns,65771
free,crate 'object-pool',,,,1390670.0,ns,66510
free,crate 'object-pool',,,,1421736.0,ns,67249
free,crate 'object-pool',,,,1416936.0,ns,67988
free,crate 'object-pool',,,,1436014.0,ns,68727
free,crate 'object-pool',,,,1458997.0,ns,69466
free,crate 'object-pool',,,,1468067.0,ns,70205
free,crate 'object-pool',,,,1488096.0,ns,70944
free,crate 'object-pool',,,,1510527.0,ns,71683
free,crate 'object-pool',,,,1522575.0,ns,72422
free,crate 'object-pool',,,,1534240.0,ns,73161
free,crate 'object-pool',,,,1552748.0,ns,73900
