group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,crate 'object-pool',,,,12220.0,ns,716
free,crate 'object-pool',,,,22997.0,ns,1432
free,crate 'object-pool',,,,33792.0,ns,2148
free,crate 'object-pool',,,,44951.0,ns,2864
free,crate 'object-pool',,,,55548.0,ns,3580
free,crate 'object-pool',,,,66546.0,ns,4296
free,crate 'object-pool',,,,78136.0,ns,5012
free,crate 'object-pool',,,,87650.0,ns,5728
free,crate 'object-pool',,,,98998.0,ns,6444
free,crate 'object-pool',,,,109476.0,ns,7160
free,crate 'object-pool',,,,120992.0,ns,7876
free,crate 'object-pool',,,,132985.0,ns,8592
free,crate 'object-pool',,,,142469.0,ns,9308
free,crate 'object-pool',,,,153415.0,ns,10024
free,crate 'object-pool',,,,165202.0,ns,10740
free,crate 'object-pool',,,,175759.0,ns,11456
free,crate 'object-pool',,,,186412.0,ns,12172
free,crate 'object-pool',,,,266251.0,ns,12888
free,crate 'object-pool',,,,282771.0,ns,13604
free,crate 'object-pool',,,,319034.0,ns,14320
free,crate 'object-pool',,,,317730.0,ns,15036
free,crate 'object-pool',,,,336539.0,ns,15752
free,crate 'object-pool',,,,369079.0,ns,16468
free,crate 'object-pool',,,,368994.0,ns,17184
free,crate 'object-pool',,,,464764.0,ns,17900
free,crate 'object-pool',,,,396719.0,ns,18616
free,crate 'object-pool',,,,411672.0,ns,19332
free,crate 'object-pool',,,,425405.0,ns,20048
free,crate 'object-pool',,,,440815.0,ns,20764
free,crate 'object-pool',,,,452487.0,ns,21480
free,crate 'object-pool',,,,471548.0,ns,22196
free,crate 'object-pool',,,,502356.0,ns,22912
free,crate 'object-pool',,,,509055.0,ns,23628
free,crate 'object-pool',,,,515261.0,ns,24344
free,crate 'object-pool',,,,537136.0,ns,25060
free,crate 'object-pool',,,,569078.0,ns,25776
free,crate 'object-pool',,,,570952.0,ns,26492
free,crate 'object-pool',,,,590831.0,ns,27208
free,crate 'object-pool',,,,606619.0,ns,27924
free,crate 'object-pool',,,,621761.0,ns,28640
free,crate 'object-pool',,,,631712.0,ns,29356
free,crate 'object-pool',,,,649329.0,ns,30072
free,crate 'object-pool',,,,662893.0,ns,30788
free,crate 'object-pool',,,,675035.0,ns,31504
free,crate 'object-pool',,,,692657.0,ns,32220
free,crate 'object-pool',,,,729415.0,ns,32936
free,crate 'object-pool',,,,715887.0,ns,33652
free,crate 'object-pool',,,,737872.0,ns,34368
free,crate 'object-pool',,,,756228.0,ns,35084
free,crate 'object-pool',,,,768388.0,ns,35800
free,crate 'object-pool',,,,788245.0,ns,36516
free,crate 'object-pool',,,,798942.0,ns,37232
free,crate 'object-pool',,,,823331.0,ns,37948
free,crate 'object-pool',,,,830071.0,ns,38664
free,crate 'object-pool',,,,860625.0,ns,39380
free,crate 'object-pool',,,,874311.0,ns,40096
free,crate 'object-pool',,,,880384.0,ns,40812
free,crate 'object-pool',,,,903036.0,ns,41528
free,crate 'object-pool',,,,918044.0,ns,42244
free,crate 'object-pool',,,,922229.0,ns,42960
free,crate 'object-pool',,,,940691.0,ns,43676
free,crate 'object-pool',,,,954989.0,ns,44392
free,crate 'object-pool',,,,969364.0,ns,45108
free,crate 'object-pool',,,,983338.0,ns,45824
free,crate 'object-pool',,,,1006955.0,ns,46540
free,crate 'object-pool',,,,1014513.0,ns,47256
free,crate 'object-pool',,,,1033402.0,ns,47972
free,crate 'object-pool',,,,1040889.0,ns,48688
free,crate 'object-pool',,,,1056958.0,ns,49404
free,crate 'object-pool',,,,1080337.0,ns,50120
free,crate 'object-pool',,,,1087058.0,ns,50836
free,crate 'object-pool',,,,1109597.0,ns,51552
free,crate 'object-pool',,,,1124292.0,ns,52268
free,crate 'object-pool',,,,1135575.0,ns,52984
free,crate 'object-pool',,,,1147024.0,ns,53700
free,crate 'object-pool',,,,1250874.0,ns,54416
free,crate 'object-pool',,,,1193099.0,ns,55132
free,crate 'object-pool',,,,1199660.0,ns,55848
free,crate 'object-pool',,,,1210536.0,ns,56564
free,crate 'object-pool',,,,1224255.0,ns,57280
free,crate 'object-pool',,,,1240085.0,ns,57996
free,crate 'object-pool',,,,1257966.0,ns,58712
free,crate 'object-pool',,,,1258702.0,ns,59428
free,crate 'object-pool',,,,1277184.0,ns,60144
free,crate 'object-pool',,,,1285318.0,ns,60860
free,crate 'object-pool',,,,1313341.0,ns,61576
free,crate 'object-pool',,,,1319424.0,ns,62292
free,crate 'object-pool',,,,1338149.0,ns,63008
free,crate 'object-pool',,,,1349868.0,ns,63724
free,crate 'object-pool',,,,1366276.0,ns,64440
free,crate 'object-pool',,,,1424380.0,ns,65156
free,crate 'object-pool',,,,1434677.0,ns,65872
free,crate 'object-pool',,,,1408453.0,ns,66588
free,crate 'object-pool',,,,1412945.0,ns,67304
free,crate 'object-pool',,,,1433613.0,ns,68020
free,crate 'object-pool',,,,1459301.0,ns,68736
free,crate 'object-pool',,,,1485196.0,ns,69452
free,crate 'object-pool',,,,1490288.0,ns,70168
free,crate 'object-pool',,,,1514794.0,ns,70884
free,crate 'object-pool',,,,1528163.0,ns,71600
