group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,crate 'sharded-slab',,,,2799.0,ns,337
free,crate 'sharded-slab',,,,5568.0,ns,674
free,crate 'sharded-slab',,,,8591.0,ns,1011
free,crate 'sharded-slab',,,,11028.0,ns,1348
free,crate 'sharded-slab',,,,13775.0,ns,1685
free,crate 'sharded-slab',,,,16958.0,ns,2022
free,crate 'sharded-slab',,,,19332.0,ns,2359
free,crate 'sharded-slab',,,,22054.0,ns,2696
free,crate 'sharded-slab',,,,24838.0,ns,3033
free,crate 'sharded-slab',,,,27570.0,ns,3370
free,crate 'sharded-slab',,,,30296.0,ns,3707
free,crate 'sharded-slab',,,,33023.0,ns,4044
free,crate 'sharded-slab',,,,40017.0,ns,4381
free,crate 'sharded-slab',,,,42345.0,ns,4718
free,crate 'sharded-slab',,,,48012.0,ns,5055
free,crate 'sharded-slab',,,,47500.0,ns,5392
free,crate 'sharded-slab',,,,49953.0,ns,5729
free,crate 'sharded-slab',,,,53904.0,ns,6066
free,crate 'sharded-slab',,,,55903.0,ns,6403
free,crate 'sharded-slab',,,,60963.0,ns,6740
free,crate 'sharded-slab',,,,61530.0,ns,7077
free,crate 'sharded-slab',,,,63712.0,ns,7414
free,crate 'sharded-slab',,,,67479.0,ns,7751
free,crate 'sharded-slab',,,,77573.0,ns,8088
free,crate 'sharded-slab',,,,75383.0,ns,8425
free,crate 'sharded-slab',,,,78807.0,ns,8762
free,crate 'sharded-slab',,,,81701.0,ns,9099
free,crate 'sharded-slab',,,,85914.0,ns,9436
free,crate 'sharded-slab',,,,87574.0,ns,9773
free,crate 'sharded-slab',,,,90779.0,ns,10110
free,crate 'sharded-slab',,,,104004.0,ns,10447
free,crate 'sharded-slab',,,,96732.0,ns,10784
free,crate 'sharded-slab',,,,100808.0,ns,11121
free,crate 'sharded-slab',,,,103046.0,ns,11458
free,crate 'sharded-slab',,,,106802.0,ns,11795
free,crate 'sharded-slab',,,,110919.0,ns,12132
free,crate 'sharded-slab',,,,113456.0,ns,12469
free,crate 'sharded-slab',,,,114739.0,ns,12806
free,crate 'sharded-slab',,,,119161.0,ns,13143
free,crate 'sharded-slab',,,,119975.0,ns,13480
free,crate 'sharded-slab',,,,123976.0,ns,13817
free,crate 'sharded-slab',,,,128285.0,ns,14154
free,crate 'sharded-slab',,,,131317.0,ns,14491
free,crate 'sharded-slab',,,,135287.0,ns,14828
free,crate 'sharded-slab',,,,137492.0,ns,15165
free,crate 'sharded-slab',,,,139797.0,ns,15502
free,crate 'sharded-slab',,,,142498.0,ns,15839
free,crate 'sharded-slab',,,,146696.0,ns,16176
free,crate 'sharded-slab',,,,161804.0,ns,16513
free,crate 'sharded-slab',,,,153833.0,ns,16850
free,crate 'sharded-slab',,,,157953.0,ns,17187
free,crate 'sharded-slab',,,,159681.0,ns,17524
free,crate 'sharded-slab',,,,162959.0,ns,17861
free,crate 'sharded-slab',,,,167106.0,ns,18198
free,crate 'sharded-slab',,,,169721.0,ns,18535
free,crate 'sharded-slab',,,,172237.0,ns,18872
free,crate 'sharded-slab',,,,176341.0,ns,19209
free,crate 'sharded-slab',,,,187002.0,ns,19546
free,crate 'sharded-slab',,,,182230.0,ns,19883
free,crate 'sharded-slab',,,,184348.0,ns,20220
free,crate 'sharded-slab',,,,188993.0,ns,20557
free,crate 'sharded-slab',,,,191957.0,ns,20894
free,crate 'sharded-slab',,,,193055.0,ns,21231
free,crate 'sharded-slab',,,,199963.0,ns,21568
free,crate 'sharded-slab',,,,200929.0,ns,21905
free,crate 'sharded-slab',,,,202268.0,ns,22242
free,crate 'sharded-slab',,,,207267.0,ns,22579
free,crate 'sharded-slab',,,,209818.0,ns,22916
free,crate 'sharded-slab',,,,212318.0,ns,23253
free,crate 'sharded-slab',,,,215549.0,ns,23590
free,crate 'sharded-slab',,,,217896.0,ns,23927
free,crate 'sharded-slab',,,,229093.0,ns,24264
free,crate 'sharded-slab',,,,223312.0,ns,24601
free,crate 'sharded-slab',,,,238206.0,ns,24938
free,crate 'sharded-slab',,,,232597.0,ns,25275
free,crate 'sharded-slab',,,,235999.0,ns,25612
free,crate 'sharded-slab',,,,237586.0,ns,25949
free,crate 'sharded-slab',,,,240787.0,ns,26286
free,crate 'sharded-slab',,,,241472.0,ns,26623
free,crate 'sharded-slab',,,,246471.0,ns,26960
free,crate 'sharded-slab',,,,264020.0,ns,27297
free,crate 'sharded-slab',,,,258508.0,ns,27634
free,crate 'sharded-slab',,,,255261.0,ns,27971
free,crate 'sharded-slab',,,,261239.0,ns,28308
free,crate 'sharded-slab',,,,263881.0,ns,28645
free,crate 'sharded-slab',,,,266479.0,ns,28982
free,crate 'sharded-slab',,,,272925.0,ns,29319
free,crate 'sharded-slab',,,,273551.0,ns,29656
free,crate 'sharded-slab',,,,274078.0,ns,29993
free,crate 'sharded-slab',,,,277048.0,ns,30330
free,crate 'sharded-slab',,,,281455.0,ns,30667
free,crate 'sharded-slab',,,,283952.0,ns,31004
free,crate 'sharded-slab',,,,302892.0,ns,31341
free,crate 'sharded-slab',,,,290320.0,ns,31678
free,crate 'sharded-slab',,,,293706.0,ns,32015
free,crate 'sharded-slab',,,,296132.0,ns,32352
free,crate 'sharded-slab',,,,297911.0,ns,32689
free,crate 'sharded-slab',,,,298367.0,ns,33026
free,crate 'sharded-slab',,,,301881.0,ns,33363
free,crate 'sharded-slab',,,,304806.0,ns,33700
