group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,linear object poll,,,,427.0,ns,39
free,linear object poll,,,,832.0,ns,78
free,linear object poll,,,,1259.0,ns,117
free,linear object poll,,,,1644.0,ns,156
free,linear object poll,,,,2047.0,ns,195
free,linear object poll,,,,2451.0,ns,234
free,linear object poll,,,,2847.0,ns,273
free,linear object poll,,,,3245.0,ns,312
free,linear object poll,,,,3660.0,ns,351
free,linear object poll,,,,4063.0,ns,390
free,linear object poll,,,,4865.0,ns,429
free,linear object poll,,,,5179.0,ns,468
free,linear object poll,,,,5636.0,ns,507
free,linear object poll,,,,6083.0,ns,546
free,linear object poll,,,,6516.0,ns,585
free,linear object poll,,,,6932.0,ns,624
free,linear object poll,,,,7360.0,ns,663
free,linear object poll,,,,7771.0,ns,702
free,linear object poll,,,,8229.0,ns,741
free,linear object poll,,,,8674.0,ns,780
free,linear object poll,,,,9108.0,ns,819
free,linear object poll,,,,9519.0,ns,858
free,linear object poll,,,,9941.0,ns,897
free,linear object poll,,,,10354.0,ns,936
free,linear object poll,,,,10794.0,ns,975
free,linear object poll,,,,10859.0,ns,1014
free,linear object poll,,,,11293.0,ns,1053
free,linear object poll,,,,11717.0,ns,1092
free,linear object poll,,,,13879.0,ns,1131
free,linear object poll,,,,12549.0,ns,1170
free,linear object poll,,,,12952.0,ns,1209
free,linear object poll,,,,13366.0,ns,1248
free,linear object poll,,,,13789.0,ns,1287
free,linear object poll,,,,14219.0,ns,1326
free,linear object poll,,,,14616.0,ns,1365
free,linear object poll,,,,15064.0,ns,1404
free,linear object poll,,,,14959.0,ns,1443
free,linear object poll,,,,15361.0,ns,1482
free,linear object poll,,,,17698.0,ns,1521
free,linear object poll,,,,18727.0,ns,1560
free,linear object poll,,,,20022.0,ns,1599
free,linear object poll,,,,17007.0,ns,1638
free,linear object poll,,,,17434.0,ns,1677
free,linear object poll,,,,17813.0,ns,1716
free,linear object poll,,,,18174.0,ns,1755
free,linear object poll,,,,18566.0,ns,1794
free,linear object poll,,,,18408.0,ns,1833
free,linear object poll,,,,18782.0,ns,1872
free,linear object poll,,,,19213.0,ns,1911
free,linear object poll,,,,19599.0,ns,1950
free,linear object poll,,,,19981.0,ns,1989
free,linear object poll,,,,20304.0,ns,2028
free,linear object poll,,,,20143.0,ns,2067
free,linear object poll,,,,20454.0,ns,2106
free,linear object poll,,,,20870.0,ns,2145
free,linear object poll,,,,21216.0,ns,2184
free,linear object poll,,,,20966.0,ns,2223
free,linear object poll,,,,21329.0,ns,2262
free,linear object poll,,,,21716.0,ns,2301
free,linear object poll,,,,22032.0,ns,2340
free,linear object poll,,,,22396.0,ns,2379
free,linear object poll,,,,22780.0,ns,2418
free,linear object poll,,,,23184.0,ns,2457
free,linear object poll,,,,23533.0,ns,2496
free,linear object poll,,,,23897.0,ns,2535
free,linear object poll,,,,24232.0,ns,2574
free,linear object poll,,,,23924.0,ns,2613
free,linear object poll,,,,24281.0,ns,2652
free,linear object poll,,,,24679.0,ns,2691
free,linear object poll,,,,25001.0,ns,2730
free,linear object poll,,,,24684.0,ns,2769
free,linear object poll,,,,24972.0,ns,2808
free,linear object poll,,,,25345.0,ns,2847
free,linear object poll,,,,25010.0,ns,2886
free,linear object poll,,,,25352.0,ns,2925
free,linear object poll,,,,25656.0,ns,2964
free,linear object poll,,,,26042.0,ns,3003
free,linear object poll,,,,26363.0,ns,3042
free,linear object poll,,,,26780.0,ns,3081
free,linear object poll,,,,27071.0,ns,3120
free,linear object poll,,,,27431.0,ns,3159
free,linear object poll,,,,27709.0,ns,3198
free,linear object poll,,,,28246.0,ns,3237
free,linear object poll,,,,28396.0,ns,3276
free,linear object poll,,,,28773.0,ns,3315
free,linear object poll,,,,29107.0,ns,3354
free,linear object poll,,,,29465.0,ns,3393
free,linear object poll,,,,29753.0,ns,3432
free,linear object poll,,,,30057.0,ns,3471
free,linear object poll,,,,30443.0,ns,3510
free,linear object poll,,,,30798.0,ns,3549
free,linear object poll,,,,31095.0,ns,3588
free,linear object poll,,,,31492.0,ns,3627
free,linear object poll,,,,31833.0,ns,3666
free,linear object poll,,,,32171.0,ns,3705
free,linear object poll,,,,32485.0,ns,3744
free,linear object poll,,,,32761.0,ns,3783
free,linear object poll,,,,33312.0,ns,3822
free,linear object poll,,,,33500.0,ns,3861
free,linear object poll,,,,33887.0,ns,3900
