group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,mutex object poll,,,,15989.0,ns,667
free,mutex object poll,,,,28435.0,ns,1334
free,mutex object poll,,,,42045.0,ns,2001
free,mutex object poll,,,,74443.0,ns,2668
free,mutex object poll,,,,91083.0,ns,3335
free,mutex object poll,,,,105852.0,ns,4002
free,mutex object poll,,,,129724.0,ns,4669
free,mutex object poll,,,,143701.0,ns,5336
free,mutex object poll,,,,161266.0,ns,6003
free,mutex object poll,,,,191038.0,ns,6670
free,mutex object poll,,,,198867.0,ns,7337
free,mutex object poll,,,,216775.0,ns,8004
free,mutex object poll,,,,231816.0,ns,8671
free,mutex object poll,,,,248677.0,ns,9338
free,mutex object poll,,,,268466.0,ns,10005
free,mutex object poll,,,,283544.0,ns,10672
free,mutex object poll,,,,305008.0,ns,11339
free,mutex object poll,,,,317880.0,ns,12006
free,mutex object poll,,,,334894.0,ns,12673
free,mutex object poll,,,,358123.0,ns,13340
free,mutex object poll,,,,370867.0,ns,14007
free,mutex object poll,,,,392270.0,ns,14674
free,mutex object poll,,,,402793.0,ns,15341
free,mutex object poll,,,,425245.0,ns,16008
free,mutex object poll,,,,437620.0,ns,16675
free,mutex object poll,,,,457467.0,ns,17342
free,mutex object poll,,,,471107.0,ns,18009
free,mutex object poll,,,,493605.0,ns,18676
free,mutex object poll,,,,511188.0,ns,19343
free,mutex object poll,,,,525118.0,ns,20010
free,mutex object poll,,,,543016.0,ns,20677
free,mutex object poll,,,,564120.0,ns,21344
free,mutex object poll,,,,579526.0,ns,22011
free,mutex object poll,,,,601641.0,ns,22678
free,mutex object poll,,,,615728.0,ns,23345
free,mutex object poll,,,,626470.0,ns,24012
free,mutex object poll,,,,647840.0,ns,24679
free,mutex object poll,,,,666357.0,ns,25346
free,mutex object poll,,,,686911.0,ns,26013
free,mutex object poll,,,,696069.0,ns,26680
free,mutex object poll,,,,714779.0,ns,27347
free,mutex object poll,,,,735601.0,ns,28014
free,mutex object poll,,,,752542.0,ns,28681
free,mutex object poll,,,,769072.0,ns,29348
free,mutex object poll,,,,784958.0,ns,30015
free,mutex object poll,,,,799274.0,ns,30682
free,mutex object poll,,,,819328.0,ns,31349
free,mutex object poll,,,,831856.0,ns,32016
free,mutex object poll,,,,851518.0,ns,32683
free,mutex object poll,,,,865636.0,ns,33350
free,mutex object poll,,,,886237.0,ns,34017
free,mutex object poll,,,,902278.0,ns,34684
free,mutex object poll,,,,919943.0,ns,35351
free,mutex object poll,,,,939009.0,ns,36018
free,mutex object poll,,,,956330.0,ns,36685
free,mutex object poll,,,,977495.0,ns,37352
free,mutex object poll,,,,990289.0,ns,38019
free,mutex object poll,,,,1015565.0,ns,38686
free,mutex object poll,,,,1036662.0,ns,39353
free,mutex object poll,,,,1037498.0,ns,40020
free,mutex object poll,,,,1062608.0,ns,40687
free,mutex object poll,,,,1088799.0,ns,41354
free,mutex object poll,,,,1094652.0,ns,42021
free,mutex object poll,,,,1108688.0,ns,42688
free,mutex object poll,,,,1129516.0,ns,43355
free,mutex object poll,,,,1143634.0,ns,44022
free,mutex object poll,,,,1163224.0,ns,44689
free,mutex object poll,,,,1181997.0,ns,45356
free,mutex object poll,,,,1194406.0,ns,46023
free,mutex object poll,,,,1218101.0,ns,46690
free,mutex object poll,,,,1226768.0,ns,47357
free,mutex object poll,,,,1258982.0,ns,48024
free,mutex object poll,,,,1265570.0,ns,48691
free,mutex object poll,,,,1293040.0,ns,49358
free,mutex object poll,,,,1296244.0,ns,50025
free,mutex object poll,,,,1320438.0,ns,50692
free,mutex object poll,,,,1323521.0,ns,51359
free,mutex object poll,,,,1348117.0,ns,52026
free,mutex object poll,,,,1366320.0,ns,52693
free,mutex object poll,,,,1383021.0,ns,53360
free,mutex object poll,,,,1399235.0,ns,54027
free,mutex object poll,,,,1407388.0,ns,54694
free,mutex object poll,,,,1429030.0,ns,55361
free,mutex object poll,,,,1451276.0,ns,56028
free,mutex object poll,,,,1472364.0,ns,56695
free,mutex object poll,,,,1476247.0,ns,57362
free,mutex object poll,,,,1496131.0,ns,58029
free,mutex object poll,,,,1517944.0,ns,58696
free,mutex object poll,,,,1534545.0,ns,59363
free,mutex object poll,,,,1541813.0,ns,60030
free,mutex object poll,,,,1556047.0,ns,60697
free,mutex object poll,,,,1580156.0,ns,61364
free,mutex object poll,,,,1588677.0,ns,62031
free,mutex object poll,,,,1615952.0,ns,62698
free,mutex object poll,,,,1622535.0,ns,63365
free,mutex object poll,,,,1644845.0,ns,64032
free,mutex object poll,,,,1667679.0,ns,64699
free,mutex object poll,,,,1681467.0,ns,65366
free,mutex object poll,,,,1697067.0,ns,66033
free,mutex object poll,,,,1731421.0,ns,66700
