group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,mutex object poll,,,,16146.0,ns,693
free,mutex object poll,,,,28937.0,ns,1386
free,mutex object poll,,,,42763.0,ns,2079
free,mutex object poll,,,,56138.0,ns,2772
free,mutex object poll,,,,69806.0,ns,3465
free,mutex object poll,,,,111739.0,ns,4158
free,mutex object poll,,,,125629.0,ns,4851
free,mutex object poll,,,,144819.0,ns,5544
free,mutex object poll,,,,157312.0,ns,6237
free,mutex object poll,,,,174710.0,ns,6930
free,mutex object poll,,,,190610.0,ns,7623
free,mutex object poll,,,,220266.0,ns,8316
free,mutex object poll,,,,248397.0,ns,9009
free,mutex object poll,,,,258407.0,ns,9702
free,mutex object poll,,,,274920.0,ns,10395
free,mutex object poll,,,,293826.0,ns,11088
free,mutex object poll,,,,311990.0,ns,11781
free,mutex object poll,,,,331136.0,ns,12474
free,mutex object poll,,,,344504.0,ns,13167
free,mutex object poll,,,,362146.0,ns,13860
free,mutex object poll,,,,385262.0,ns,14553
free,mutex object poll,,,,397113.0,ns,15246
free,mutex object poll,,,,415069.0,ns,15939
free,mutex object poll,,,,436889.0,ns,16632
free,mutex object poll,,,,447749.0,ns,17325
free,mutex object poll,,,,468347.0,ns,18018
free,mutex object poll,,,,495752.0,ns,18711
free,mutex object poll,,,,505888.0,ns,19404
free,mutex object poll,,,,531681.0,ns,20097
free,mutex object poll,,,,542042.0,ns,20790
free,mutex object poll,,,,565584.0,ns,21483
free,mutex object poll,,,,574894.0,ns,22176
free,mutex object poll,,,,600667.0,ns,22869
free,mutex object poll,,,,618687.0,ns,23562
free,mutex object poll,,,,634789.0,ns,24255
free,mutex object poll,,,,646671.0,ns,24948
free,mutex object poll,,,,662211.0,ns,25641
free,mutex object poll,,,,676353.0,ns,26334
free,mutex object poll,,,,701474.0,ns,27027
free,mutex object poll,,,,712710.0,ns,27720
free,mutex object poll,,,,747250.0,ns,28413
free,mutex object poll,,,,752177.0,ns,29106
free,mutex object poll,,,,766080.0,ns,29799
free,mutex object poll,,,,786039.0,ns,30492
free,mutex object poll,,,,811686.0,ns,31185
free,mutex object poll,,,,833311.0,ns,31878
free,mutex object poll,,,,851501.0,ns,32571
free,mutex object poll,,,,855431.0,ns,33264
free,mutex object poll,,,,871838.0,ns,33957
free,mutex object poll,,,,889587.0,ns,34650
free,mutex object poll,,,,905694.0,ns,35343
free,mutex object poll,,,,923639.0,ns,36036
free,mutex object poll,,,,944253.0,ns,36729
free,mutex object poll,,,,963996.0,ns,37422
free,mutex object poll,,,,977085.0,ns,38115
free,mutex object poll,,,,997184.0,ns,38808
free,mutex object poll,,,,1024280.0,ns,39501
free,mutex object poll,,,,1032071.0,ns,40194
free,mutex object poll,,,,1055628.0,ns,40887
free,mutex object poll,,,,1067048.0,ns,41580
free,mutex object poll,,,,1082826.0,ns,42273
free,mutex object poll,,,,1111094.0,ns,42966
free,mutex object poll,,,,1118440.0,ns,43659
free,mutex object poll,,,,1136278.0,ns,44352
free,mutex object poll,,,,1160659.0,ns,45045
free,mutex object poll,,,,1173728.0,ns,45738
free,mutex object poll,,,,1192786.0,ns,46431
free,mutex object poll,,,,1204848.0,ns,47124
free,mutex object poll,,,,1225417.0,ns,47817
free,mutex object poll,,,,1244562.0,ns,48510
free,mutex object poll,,,,1260499.0,ns,49203
free,mutex object poll,,,,1275214.0,ns,49896
free,mutex object poll,,,,1301218.0,ns,50589
free,mutex object poll,,,,1315334.0,ns,51282
free,mutex object poll,,,,1334716.0,ns,51975
free,mutex object poll,,,,1354341.0,ns,52668
free,mutex object poll,,,,1366891.0,ns,53361
free,mutex object poll,,,,1393253.0,ns,54054
free,mutex object poll,,,,1370336.0,ns,54747
free,mutex object poll,,,,1375111.0,ns,55440
free,mutex object poll,,,,1402837.0,ns,56133
free,mutex object poll,,,,1415302.0,ns,56826
free,mutex object poll,,,,1433823.0,ns,57519
free,mutex object poll,,,,1447058.0,ns,58212
free,mutex object poll,,,,1512134.0,ns,58905
free,mutex object poll,,,,1524053.0,ns,59598
free,mutex object poll,,,,1503331.0,ns,60291
free,mutex object poll,,,,1524608.0,ns,60984
free,mutex object poll,,,,1539011.0,ns,61677
free,mutex object poll,,,,1550072.0,ns,62370
free,mutex object poll,,,,1570077.0,ns,63063
free,mutex object poll,,,,1632565.0,ns,63756
free,mutex object poll,,,,1599598.0,ns,64449
free,mutex object poll,,,,1626734.0,ns,65142
free,mutex object poll,,,,1631026.0,ns,65835
free,mutex object poll,,,,1651273.0,ns,66528
free,mutex object poll,,,,1669981.0,ns,67221
free,mutex object poll,,,,1696326.0,ns,67914
free,mutex object poll,,,,1716725.0,ns,68607
free,mutex object poll,,,,1732986.0,ns,69300
