group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,none object poll,,,,16744.0,ns,684
free,none object poll,,,,35990.0,ns,1368
free,none object poll,,,,53947.0,ns,2052
free,none object poll,,,,77841.0,ns,2736
free,none object poll,,,,88066.0,ns,3420
free,none object poll,,,,107780.0,ns,4104
free,none object poll,,,,123331.0,ns,4788
free,none object poll,,,,141243.0,ns,5472
free,none object poll,,,,161246.0,ns,6156
free,none object poll,,,,634428.0,ns,6840
free,none object poll,,,,1111509.0,ns,7524
free,none object poll,,,,609172.0,ns,8208
free,none object poll,,,,651054.0,ns,8892
free,none object poll,,,,669567.0,ns,9576
free,none object poll,,,,720077.0,ns,10260
free,none object poll,,,,752361.0,ns,10944
free,none object poll,,,,1395855.0,ns,11628
free,none object poll,,,,1528077.0,ns,12312
free,none object poll,,,,1694836.0,ns,12996
free,none object poll,,,,1855059.0,ns,13680
free,none object poll,,,,2052299.0,ns,14364
free,none object poll,,,,2478538.0,ns,15048
free,none object poll,,,,2434469.0,ns,15732
free,none object poll,,,,1178798.0,ns,16416
free,none object poll,,,,1222240.0,ns,17100
free,none object poll,,,,1277367.0,ns,17784
free,none object poll,,,,1337474.0,ns,18468
free,none object poll,,,,1371692.0,ns,19152
free,none object poll,,,,1985805.0,ns,19836
free,none object poll,,,,2140662.0,ns,20520
free,none object poll,,,,2329016.0,ns,21204
free,none object poll,,,,2485673.0,ns,21888
free,none object poll,,,,2727228.0,ns,22572
free,none object poll,,,,2841475.0,ns,23256
free,none object poll,,,,3011986.0,ns,23940
free,none object poll,,,,3225557.0,ns,24624
free,none object poll,,,,3370228.0,ns,25308
free,none object poll,,,,3562407.0,ns,25992
free,none object poll,,,,3740332.0,ns,26676
free,none object poll,,,,3907891.0,ns,27360
free,none object poll,,,,4062806.0,ns,28044
free,none object poll,,,,4353190.0,ns,28728
free,none object poll,,,,4426290.0,ns,29412
free,none object poll,,,,4602717.0,ns,30096
free,none object poll,,,,4781805.0,ns,30780
free,none object poll,,,,4921351.0,ns,31464
free,none object poll,,,,5168343.0,ns,32148
free,none object poll,,,,2418847.0,ns,32832
free,none object poll,,,,2469767.0,ns,33516
free,none object poll,,,,2508756.0,ns,34200
free,none object poll,,,,2561818.0,ns,34884
free,none object poll,,,,2617925.0,ns,35568
free,none object poll,,,,3265802.0,ns,36252
free,none object poll,,,,3449439.0,ns,36936
free,none object poll,,,,3586596.0,ns,37620
free,none object poll,,,,3751720.0,ns,38304
free,none object poll,,,,3969778.0,ns,38988
free,none object poll,,,,4132094.0,ns,39672
free,none object poll,,,,4321062.0,ns,40356
free,none object poll,,,,4511683.0,ns,41040
free,none object poll,,,,4632155.0,ns,41724
free,none object poll,,,,4823775.0,ns,42408
free,none object poll,,,,5010248.0,ns,43092
free,none object poll,,,,5329095.0,ns,43776
free,none object poll,,,,5476494.0,ns,44460
free,none object poll,,,,5509778.0,ns,45144
free,none object poll,,,,5746513.0,ns,45828
free,none object poll,,,,5883420.0,ns,46512
free,none object poll,,,,6106006.0,ns,47196
free,none object poll,,,,6258480.0,ns,47880
free,none object poll,,,,6424953.0,ns,48564
free,none object poll,,,,6619833.0,ns,49248
free,none object poll,,,,6981148.0,ns,49932
free,none object poll,,,,6996246.0,ns,50616
free,none object poll,,,,7167748.0,ns,51300
free,none object poll,,,,7318798.0,ns,51984
free,none object poll,,,,7518426.0,ns,52668
free,none object poll,,,,7668844.0,ns,53352
free,none object poll,,,,7796081.0,ns,54036
free,none object poll,,,,8064181.0,ns,54720
free,none object poll,,,,8089235.0,ns,55404
free,none object poll,,,,8274763.0,ns,56088
free,none object poll,,,,8405473.0,ns,56772
free,none object poll,,,,8573695.0,ns,57456
free,none object poll,,,,8767408.0,ns,58140
free,none object poll,,,,8899031.0,ns,58824
free,none object poll,,,,9166720.0,ns,59508
free,none object poll,,,,9259346.0,ns,60192
free,none object poll,,,,9540738.0,ns,60876
free,none object poll,,,,9533938.0,ns,61560
free,none object poll,,,,9724465.0,ns,62244
free,none object poll,,,,9852429.0,ns,62928
free,none object poll,,,,9974904.0,ns,63612
free,none object poll,,,,10183948.0,ns,64296
free,none object poll,,,,10269845.0,ns,64980
free,none object poll,,,,4911662.0,ns,65664
free,none object poll,,,,4968954.0,ns,66348
free,none object poll,,,,5005119.0,ns,67032
free,none object poll,,,,5061314.0,ns,67716
free,none object poll,,,,5155662.0,ns,68400
