group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,none object poll,,,,26375.0,ns,664
free,none object poll,,,,36662.0,ns,1328
free,none object poll,,,,58808.0,ns,1992
free,none object poll,,,,78220.0,ns,2656
free,none object poll,,,,96672.0,ns,3320
free,none object poll,,,,114639.0,ns,3984
free,none object poll,,,,136358.0,ns,4648
free,none object poll,,,,148132.0,ns,5312
free,none object poll,,,,161800.0,ns,5976
free,none object poll,,,,179369.0,ns,6640
free,none object poll,,,,735998.0,ns,7304
free,none object poll,,,,1178412.0,ns,7968
free,none object poll,,,,611531.0,ns,8632
free,none object poll,,,,631345.0,ns,9296
free,none object poll,,,,705676.0,ns,9960
free,none object poll,,,,792565.0,ns,10624
free,none object poll,,,,1300061.0,ns,11288
free,none object poll,,,,1473113.0,ns,11952
free,none object poll,,,,1589675.0,ns,12616
free,none object poll,,,,1749004.0,ns,13280
free,none object poll,,,,1926420.0,ns,13944
free,none object poll,,,,2086946.0,ns,14608
free,none object poll,,,,2250541.0,ns,15272
free,none object poll,,,,2430211.0,ns,15936
free,none object poll,,,,1152151.0,ns,16600
free,none object poll,,,,1209835.0,ns,17264
free,none object poll,,,,1257876.0,ns,17928
free,none object poll,,,,1317689.0,ns,18592
free,none object poll,,,,1366432.0,ns,19256
free,none object poll,,,,1987205.0,ns,19920
free,none object poll,,,,2188536.0,ns,20584
free,none object poll,,,,2329278.0,ns,21248
free,none object poll,,,,2483077.0,ns,21912
free,none object poll,,,,2642706.0,ns,22576
free,none object poll,,,,2831701.0,ns,23240
free,none object poll,,,,2986019.0,ns,23904
free,none object poll,,,,3167741.0,ns,24568
free,none object poll,,,,3336140.0,ns,25232
free,none object poll,,,,3500494.0,ns,25896
free,none object poll,,,,3860270.0,ns,26560
free,none object poll,,,,3895581.0,ns,27224
free,none object poll,,,,4043371.0,ns,27888
free,none object poll,,,,4225529.0,ns,28552
free,none object poll,,,,4349095.0,ns,29216
free,none object poll,,,,4514551.0,ns,29880
free,none object poll,,,,5030578.0,ns,30544
free,none object poll,,,,4834657.0,ns,31208
free,none object poll,,,,5015680.0,ns,31872
free,none object poll,,,,5178509.0,ns,32536
free,none object poll,,,,2426287.0,ns,33200
free,none object poll,,,,2466919.0,ns,33864
free,none object poll,,,,2516602.0,ns,34528
free,none object poll,,,,2574517.0,ns,35192
free,none object poll,,,,2645073.0,ns,35856
free,none object poll,,,,3289806.0,ns,36520
free,none object poll,,,,3466806.0,ns,37184
free,none object poll,,,,3622874.0,ns,37848
free,none object poll,,,,3809287.0,ns,38512
free,none object poll,,,,3977872.0,ns,39176
free,none object poll,,,,4156785.0,ns,39840
free,none object poll,,,,4364970.0,ns,40504
free,none object poll,,,,4471452.0,ns,41168
free,none object poll,,,,4676379.0,ns,41832
free,none object poll,,,,4862436.0,ns,42496
free,none object poll,,,,5026551.0,ns,43160
free,none object poll,,,,5192629.0,ns,43824
free,none object poll,,,,5351026.0,ns,44488
free,none object poll,,,,5535366.0,ns,45152
free,none object poll,,,,5678854.0,ns,45816
free,none object poll,,,,5866202.0,ns,46480
free,none object poll,,,,6048400.0,ns,47144
free,none object poll,,,,6218539.0,ns,47808
free,none object poll,,,,6398167.0,ns,48472
free,none object poll,,,,6526959.0,ns,49136
free,none object poll,,,,6758925.0,ns,49800
free,none object poll,,,,6938212.0,ns,50464
free,none object poll,,,,7160517.0,ns,51128
free,none object poll,,,,7288009.0,ns,51792
free,none object poll,,,,7438223.0,ns,52456
free,none object poll,,,,7674860.0,ns,53120
free,none object poll,,,,7938443.0,ns,53784
free,none object poll,,,,7978883.0,ns,54448
free,none object poll,,,,8155039.0,ns,55112
free,none object poll,,,,8334932.0,ns,55776
free,none object poll,,,,8515294.0,ns,56440
free,none object poll,,,,8684132.0,ns,57104
free,none object poll,,,,8852075.0,ns,57768
free,none object poll,,,,9202803.0,ns,58432
free,none object poll,,,,9232472.0,ns,59096
free,none object poll,,,,9435584.0,ns,59760
free,none object poll,,,,9600122.0,ns,60424
free,none object poll,,,,9788921.0,ns,61088
free,none object poll,,,,9962383.0,ns,61752
free,none object poll,,,,10153030.0,ns,62416
free,none object poll,,,,10481399.0,ns,63080
free,none object poll,,,,10500043.0,ns,63744
free,none object poll,,,,10690351.0,ns,64408
free,none object poll,,,,10893051.0,ns,65072
free,none object poll,,,,4896770.0,ns,65736
free,none object poll,,,,4918052.0,ns,66400
