group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,spin_lock object poll,,,,13308.0,ns,673
free,spin_lock object poll,,,,23714.0,ns,1346
free,spin_lock object poll,,,,34719.0,ns,2019
free,spin_lock object poll,,,,61380.0,ns,2692
free,spin_lock object poll,,,,79407.0,ns,3365
free,spin_lock object poll,,,,103913.0,ns,4038
free,spin_lock object poll,,,,106714.0,ns,4711
free,spin_lock object poll,,,,121122.0,ns,5384
free,spin_lock object poll,,,,145760.0,ns,6057
free,spin_lock object poll,,,,157946.0,ns,6730
free,spin_lock object poll,,,,167935.0,ns,7403
free,spin_lock object poll,,,,188975.0,ns,8076
free,spin_lock object poll,,,,203066.0,ns,8749
free,spin_lock object poll,,,,220759.0,ns,9422
free,spin_lock object poll,,,,250722.0,ns,10095
free,spin_lock object poll,,,,247015.0,ns,10768
free,spin_lock object poll,,,,262136.0,ns,11441
free,spin_lock object poll,,,,276471.0,ns,12114
free,spin_lock object poll,,,,291027.0,ns,12787
free,spin_lock object poll,,,,309163.0,ns,13460
free,spin_lock object poll,,,,321494.0,ns,14133
free,spin_lock object poll,,,,335407.0,ns,14806
free,spin_lock object poll,,,,349112.0,ns,15479
free,spin_lock object poll,,,,371401.0,ns,16152
free,spin_lock object poll,,,,383066.0,ns,16825
free,spin_lock object poll,,,,395206.0,ns,17498
free,spin_lock object poll,,,,412310.0,ns,18171
free,spin_lock object poll,,,,429954.0,ns,18844
free,spin_lock object poll,,,,444336.0,ns,19517
free,spin_lock object poll,,,,455718.0,ns,20190
free,spin_lock object poll,,,,473586.0,ns,20863
free,spin_lock object poll,,,,484250.0,ns,21536
free,spin_lock object poll,,,,509623.0,ns,22209
free,spin_lock object poll,,,,519589.0,ns,22882
free,spin_lock object poll,,,,536018.0,ns,23555
free,spin_lock object poll,,,,547038.0,ns,24228
free,spin_lock object poll,,,,558936.0,ns,24901
free,spin_lock object poll,,,,574758.0,ns,25574
free,spin_lock object poll,,,,593671.0,ns,26247
free,spin_lock object poll,,,,609137.0,ns,26920
free,spin_lock object poll,,,,623913.0,ns,27593
free,spin_lock object poll,,,,635349.0,ns,28266
free,spin_lock object poll,,,,644942.0,ns,28939
free,spin_lock object poll,,,,666071.0,ns,29612
free,spin_lock object poll,,,,680867.0,ns,30285
free,spin_lock object poll,,,,694978.0,ns,30958
free,spin_lock object poll,,,,709344.0,ns,31631
free,spin_lock object poll,,,,722402.0,ns,32304
free,spin_lock object poll,,,,737011.0,ns,32977
free,spin_lock object poll,,,,753991.0,ns,33650
free,spin_lock object poll,,,,772047.0,ns,34323
free,spin_lock object poll,,,,784710.0,ns,34996
free,spin_lock object poll,,,,794241.0,ns,35669
free,spin_lock object poll,,,,822230.0,ns,36342
free,spin_lock object poll,,,,840038.0,ns,37015
free,spin_lock object poll,,,,848207.0,ns,37688
free,spin_lock object poll,,,,863002.0,ns,38361
free,spin_lock object poll,,,,878256.0,ns,39034
free,spin_lock object poll,,,,908789.0,ns,39707
free,spin_lock object poll,,,,902143.0,ns,40380
free,spin_lock object poll,,,,917606.0,ns,41053
free,spin_lock object poll,,,,936402.0,ns,41726
free,spin_lock object poll,,,,948660.0,ns,42399
free,spin_lock object poll,,,,968519.0,ns,43072
free,spin_lock object poll,,,,981557.0,ns,43745
free,spin_lock object poll,,,,989643.0,ns,44418
free,spin_lock object poll,,,,1019354.0,ns,45091
free,spin_lock object poll,,,,1025751.0,ns,45764
free,spin_lock object poll,,,,1035708.0,ns,46437
free,spin_lock object poll,,,,1049682.0,ns,47110
free,spin_lock object poll,,,,1072615.0,ns,47783
free,spin_lock object poll,,,,1086304.0,ns,48456
free,spin_lock object poll,,,,1117550.0,ns,49129
free,spin_lock object poll,,,,1111950.0,ns,49802
free,spin_lock object poll,,,,1130996.0,ns,50475
free,spin_lock object poll,,,,1126145.0,ns,51148
free,spin_lock object poll,,,,1145302.0,ns,51821
free,spin_lock object poll,,,,1152702.0,ns,52494
free,spin_lock object poll,,,,1171369.0,ns,53167
free,spin_lock object poll,,,,1188190.0,ns,53840
free,spin_lock object poll,,,,1211600.0,ns,54513
free,spin_lock object poll,,,,1213638.0,ns,55186
free,spin_lock object poll,,,,1240772.0,ns,55859
free,spin_lock object poll,,,,1251999.0,ns,56532
free,spin_lock object poll,,,,1354237.0,ns,57205
free,spin_lock object poll,,,,1280797.0,ns,57878
free,spin_lock object poll,,,,1290128.0,ns,58551
free,spin_lock object poll,,,,1304842.0,ns,59224
free,spin_lock object poll,,,,1318685.0,ns,59897
free,spin_lock object poll,,,,1335703.0,ns,60570
free,spin_lock object poll,,,,1346933.0,ns,61243
free,spin_lock object poll,,,,1369060.0,ns,61916
free,spin_lock object poll,,,,1378557.0,ns,62589
free,spin_lock object poll,,,,1399999.0,ns,63262
free,spin_lock object poll,,,,1407270.0,ns,63935
free,spin_lock object poll,,,,1426108.0,ns,64608
free,spin_lock object poll,,,,1437927.0,ns,65281
free,spin_lock object poll,,,,1449969.0,ns,65954
free,spin_lock object poll,,,,1469988.0,ns,66627
free,spin_lock object poll,,,,1493628.0,ns,67300
