group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
free,spin_lock object poll,,,,12586.0,ns,646
free,spin_lock object poll,,,,23039.0,ns,1292
free,spin_lock object poll,,,,33556.0,ns,1938
free,spin_lock object poll,,,,44535.0,ns,2584
free,spin_lock object poll,,,,55083.0,ns,3230
free,spin_lock object poll,,,,66447.0,ns,3876
free,spin_lock object poll,,,,106948.0,ns,4522
free,spin_lock object poll,,,,122206.0,ns,5168
free,spin_lock object poll,,,,129891.0,ns,5814
free,spin_lock object poll,,,,149175.0,ns,6460
free,spin_lock object poll,,,,160985.0,ns,7106
free,spin_lock object poll,,,,181119.0,ns,7752
free,spin_lock object poll,,,,191639.0,ns,8398
free,spin_lock object poll,,,,210134.0,ns,9044
free,spin_lock object poll,,,,224819.0,ns,9690
free,spin_lock object poll,,,,239176.0,ns,10336
free,spin_lock object poll,,,,253134.0,ns,10982
free,spin_lock object poll,,,,270283.0,ns,11628
free,spin_lock object poll,,,,280818.0,ns,12274
free,spin_lock object poll,,,,293719.0,ns,12920
free,spin_lock object poll,,,,310258.0,ns,13566
free,spin_lock object poll,,,,322439.0,ns,14212
free,spin_lock object poll,,,,334847.0,ns,14858
free,spin_lock object poll,,,,360799.0,ns,15504
free,spin_lock object poll,,,,368646.0,ns,16150
free,spin_lock object poll,,,,378739.0,ns,16796
free,spin_lock object poll,,,,397595.0,ns,17442
free,spin_lock object poll,,,,406711.0,ns,18088
free,spin_lock object poll,,,,424626.0,ns,18734
free,spin_lock object poll,,,,441114.0,ns,19380
free,spin_lock object poll,,,,456063.0,ns,20026
free,spin_lock object poll,,,,467665.0,ns,20672
free,spin_lock object poll,,,,490904.0,ns,21318
free,spin_lock object poll,,,,501564.0,ns,21964
free,spin_lock object poll,,,,511790.0,ns,22610
free,spin_lock object poll,,,,525694.0,ns,23256
free,spin_lock object poll,,,,541335.0,ns,23902
free,spin_lock object poll,,,,553595.0,ns,24548
free,spin_lock object poll,,,,569655.0,ns,25194
free,spin_lock object poll,,,,586444.0,ns,25840
free,spin_lock object poll,,,,599716.0,ns,26486
free,spin_lock object poll,,,,607695.0,ns,27132
free,spin_lock object poll,,,,628677.0,ns,27778
free,spin_lock object poll,,,,639559.0,ns,28424
free,spin_lock object poll,,,,653941.0,ns,29070
free,spin_lock object poll,,,,677235.0,ns,29716
free,spin_lock object poll,,,,683883.0,ns,30362
free,spin_lock object poll,,,,696662.0,ns,31008
free,spin_lock object poll,,,,710266.0,ns,31654
free,spin_lock object poll,,,,737571.0,ns,32300
free,spin_lock object poll,,,,739413.0,ns,32946
free,spin_lock object poll,,,,771439.0,ns,33592
free,spin_lock object poll,,,,772986.0,ns,34238
free,spin_lock object poll,,,,795933.0,ns,34884
free,spin_lock object poll,,,,812788.0,ns,35530
free,spin_lock object poll,,,,824565.0,ns,36176
free,spin_lock object poll,,,,852825.0,ns,36822
free,spin_lock object poll,,,,853431.0,ns,37468
free,spin_lock object poll,,,,870557.0,ns,38114
free,spin_lock object poll,,,,891167.0,ns,38760
free,spin_lock object poll,,,,902717.0,ns,39406
free,spin_lock object poll,,,,914483.0,ns,40052
free,spin_lock object poll,,,,931393.0,ns,40698
free,spin_lock object poll,,,,940073.0,ns,41344
free,spin_lock object poll,,,,973038.0,ns,41990
free,spin_lock object poll,,,,982165.0,ns,42636
free,spin_lock object poll,,,,985188.0,ns,43282
free,spin_lock object poll,,,,1001869.0,ns,43928
free,spin_lock object poll,,,,1012915.0,ns,44574
free,spin_lock object poll,,,,1032476.0,ns,45220
free,spin_lock object poll,,,,1044527.0,ns,45866
free,spin_lock object poll,,,,1063054.0,ns,46512
free,spin_lock object poll,,,,1073617.0,ns,47158
free,spin_lock object poll,,,,1103210.0,ns,47804
free,spin_lock object poll,,,,1103110.0,ns,48450
free,spin_lock object poll,,,,1127533.0,ns,49096
free,spin_lock object poll,,,,1149298.0,ns,49742
free,spin_lock object poll,,,,1145243.0,ns,50388
free,spin_lock object poll,,,,1161438.0,ns,51034
free,spin_lock object poll,,,,1174644.0,ns,51680
free,spin_lock object poll,,,,1180052.0,ns,52326
free,spin_lock object poll,,,,1202020.0,ns,52972
free,spin_lock object poll,,,,1216479.0,ns,53618
free,spin_lock object poll,,,,1239794.0,ns,54264
free,spin_lock object poll,,,,1250032.0,ns,54910
free,spin_lock object poll,,,,1259527.0,ns,55556
free,spin_lock object poll,,,,1281359.0,ns,56202
free,spin_lock object poll,,,,1287094.0,ns,56848
free,spin_lock object poll,,,,1316467.0,ns,57494
free,spin_lock object poll,,,,1318897.0,ns,58140
free,spin_lock object poll,,,,1336484.0,ns,58786
free,spin_lock object poll,,,,1351361.0,ns,59432
free,spin_lock object poll,,,,1362718.0,ns,60078
free,spin_lock object poll,,,,1382058.0,ns,60724
free,spin_lock object poll,,,,1401328.0,ns,61370
free,spin_lock object poll,,,,1402214.0,ns,62016
free,spin_lock object poll,,,,1420956.0,ns,62662
free,spin_lock object poll,,,,1434493.0,ns,63308
free,spin_lock object poll,,,,1445057.0,ns,63954
free,spin_lock object poll,,,,1466584.0,ns,64600
