group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,crate 'object-pool',,,,62009.0,ns,190
multi thread allocation,crate 'object-pool',,,,85441.0,ns,380
multi thread allocation,crate 'object-pool',,,,112453.0,ns,570
multi thread allocation,crate 'object-pool',,,,123303.0,ns,760
multi thread allocation,crate 'object-pool',,,,145423.0,ns,950
multi thread allocation,crate 'object-pool',,,,155678.0,ns,1140
multi thread allocation,crate 'object-pool',,,,166504.0,ns,1330
multi thread allocation,crate 'object-pool',,,,190815.0,ns,1520
multi thread allocation,crate 'object-pool',,,,216547.0,ns,1710
multi thread allocation,crate 'object-pool',,,,221369.0,ns,1900
multi thread allocation,crate 'object-pool',,,,239674.0,ns,2090
multi thread allocation,crate 'object-pool',,,,266926.0,ns,2280
multi thread allocation,crate 'object-pool',,,,296951.0,ns,2470
multi thread allocation,crate 'object-pool',,,,286524.0,ns,2660
multi thread allocation,crate 'object-pool',,,,299443.0,ns,2850
multi thread allocation,crate 'object-pool',,,,356062.0,ns,3040
multi thread allocation,crate 'object-pool',,,,340661.0,ns,3230
multi thread allocation,crate 'object-pool',,,,308348.0,ns,3420
multi thread allocation,crate 'object-pool',,,,355882.0,ns,3610
multi thread allocation,crate 'object-pool',,,,453844.0,ns,3800
multi thread allocation,crate 'object-pool',,,,398658.0,ns,3990
multi thread allocation,crate 'object-pool',,,,428714.0,ns,4180
multi thread allocation,crate 'object-pool',,,,481491.0,ns,4370
multi thread allocation,crate 'object-pool',,,,518667.0,ns,4560
multi thread allocation,crate 'object-pool',,,,537542.0,ns,4750
multi thread allocation,crate 'object-pool',,,,506360.0,ns,4940
multi thread allocation,crate 'object-pool',,,,572139.0,ns,5130
multi thread allocation,crate 'object-pool',,,,632568.0,ns,5320
multi thread allocation,crate 'object-pool',,,,534941.0,ns,5510
multi thread allocation,crate 'object-pool',,,,672141.0,ns,5700
multi thread allocation,crate 'object-pool',,,,707593.0,ns,5890
multi thread allocation,crate 'object-pool',,,,741261.0,ns,6080
multi thread allocation,crate 'object-pool',,,,798298.0,ns,6270
multi thread allocation,crate 'object-pool',,,,809729.0,ns,6460
multi thread allocation,crate 'object-pool',,,,815011.0,ns,6650
multi thread allocation,crate 'object-pool',,,,857987.0,ns,6840
multi thread allocation,crate 'object-pool',,,,877971.0,ns,7030
multi thread allocation,crate 'object-pool',,,,905576.0,ns,7220
multi thread allocation,crate 'object-pool',,,,936482.0,ns,7410
multi thread allocation,crate 'object-pool',,,,921695.0,ns,7600
multi thread allocation,crate 'object-pool',,,,989372.0,ns,7790
multi thread allocation,crate 'object-pool',,,,1016914.0,ns,7980
