group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,crate 'sharded-slab',,,,48895.0,ns,95
multi thread allocation,crate 'sharded-slab',,,,79865.0,ns,190
multi thread allocation,crate 'sharded-slab',,,,173955.0,ns,285
multi thread allocation,crate 'sharded-slab',,,,167935.0,ns,380
multi thread allocation,crate 'sharded-slab',,,,156054.0,ns,475
multi thread allocation,crate 'sharded-slab',,,,301148.0,ns,570
multi thread allocation,crate 'sharded-slab',,,,226957.0,ns,665
multi thread allocation,crate 'sharded-slab',,,,193505.0,ns,760
multi thread allocation,crate 'sharded-slab',,,,200087.0,ns,855
multi thread allocation,crate 'sharded-slab',,,,60720.0,ns,950
multi thread allocation,crate 'sharded-slab',,,,488208.0,ns,1045
multi thread allocation,crate 'sharded-slab',,,,402509.0,ns,1140
multi thread allocation,crate 'sharded-slab',,,,388335.0,ns,1235
multi thread allocation,crate 'sharded-slab',,,,384863.0,ns,1330
multi thread allocation,crate 'sharded-slab',,,,142732.0,ns,1425
multi thread allocation,crate 'sharded-slab',,,,66564.0,ns,1520
multi thread allocation,crate 'sharded-slab',,,,64272.0,ns,1615
multi thread allocation,crate 'sharded-slab',,,,72867.0,ns,1710
multi thread allocation,crate 'sharded-slab',,,,63662.0,ns,1805
multi thread allocation,crate 'sharded-slab',,,,68405.0,ns,1900
multi thread allocation,crate 'sharded-slab',,,,78145.0,ns,1995
multi thread allocation,crate 'sharded-slab',,,,876626.0,ns,2090
multi thread allocation,crate 'sharded-slab',,,,1847238.0,ns,2185
multi thread allocation,crate 'sharded-slab',,,,1889234.0,ns,2280
multi thread allocation,crate 'sharded-slab',,,,1885138.0,ns,2375
multi thread allocation,crate 'sharded-slab',,,,1880329.0,ns,2470
multi thread allocation,crate 'sharded-slab',,,,1883813.0,ns,2565
multi thread allocation,crate 'sharded-slab',,,,1859398.0,ns,2660
multi thread allocation,crate 'sharded-slab',,,,1889163.0,ns,2755
multi thread allocation,crate 'sharded-slab',,,,1889129.0,ns,2850
multi thread allocation,crate 'sharded-slab',,,,1871211.0,ns,2945
multi thread allocation,crate 'sharded-slab',,,,1881167.0,ns,3040
multi thread allocation,crate 'sharded-slab',,,,1882510.0,ns,3135
multi thread allocation,crate 'sharded-slab',,,,1883559.0,ns,3230
multi thread allocation,crate 'sharded-slab',,,,1884228.0,ns,3325
multi thread allocation,crate 'sharded-slab',,,,1879765.0,ns,3420
multi thread allocation,crate 'sharded-slab',,,,1893106.0,ns,3515
multi thread allocation,crate 'sharded-slab',,,,1904949.0,ns,3610
multi thread allocation,crate 'sharded-slab',,,,1907434.0,ns,3705
multi thread allocation,crate 'sharded-slab',,,,1907776.0,ns,3800
multi thread allocation,crate 'sharded-slab',,,,1904084.0,ns,3895
multi thread allocation,crate 'sharded-slab',,,,1902391.0,ns,3990
multi thread allocation,crate 'sharded-slab',,,,5625783.0,ns,4085
multi thread allocation,crate 'sharded-slab',,,,5654026.0,ns,4180
multi thread allocation,crate 'sharded-slab',,,,5564596.0,ns,4275
multi thread allocation,crate 'sharded-slab',,,,5564803.0,ns,4370
multi thread allocation,crate 'sharded-slab',,,,5544609.0,ns,4465
multi thread allocation,crate 'sharded-slab',,,,5569827.0,ns,4560
multi thread allocation,crate 'sharded-slab',,,,5760705.0,ns,4655
multi thread allocation,crate 'sharded-slab',,,,5762330.0,ns,4750
multi thread allocation,crate 'sharded-slab',,,,5617030.0,ns,4845
multi thread allocation,crate 'sharded-slab',,,,5610545.0,ns,4940
multi thread allocation,crate 'sharded-slab',,,,6061291.0,ns,5035
multi thread allocation,crate 'sharded-slab',,,,6059116.0,ns,5130
multi thread allocation,crate 'sharded-slab',,,,5612860.0,ns,5225
multi thread allocation,crate 'sharded-slab',,,,5552746.0,ns,5320
multi thread allocation,crate 'sharded-slab',,,,5647914.0,ns,5415
multi thread allocation,crate 'sharded-slab',,,,5715114.0,ns,5510
multi thread allocation,crate 'sharded-slab',,,,5565622.0,ns,5605
multi thread allocation,crate 'sharded-slab',,,,5623218.0,ns,5700
multi thread allocation,crate 'sharded-slab',,,,5543360.0,ns,5795
multi thread allocation,crate 'sharded-slab',,,,5652760.0,ns,5890
multi thread allocation,crate 'sharded-slab',,,,5876894.0,ns,5985
multi thread allocation,crate 'sharded-slab',,,,5608046.0,ns,6080
multi thread allocation,crate 'sharded-slab',,,,5892388.0,ns,6175
multi thread allocation,crate 'sharded-slab',,,,6116317.0,ns,6270
multi thread allocation,crate 'sharded-slab',,,,6216251.0,ns,6365
multi thread allocation,crate 'sharded-slab',,,,5679143.0,ns,6460
multi thread allocation,crate 'sharded-slab',,,,5590238.0,ns,6555
multi thread allocation,crate 'sharded-slab',,,,5955776.0,ns,6650
multi thread allocation,crate 'sharded-slab',,,,6261583.0,ns,6745
multi thread allocation,crate 'sharded-slab',,,,6367836.0,ns,6840
multi thread allocation,crate 'sharded-slab',,,,6124491.0,ns,6935
multi thread allocation,crate 'sharded-slab',,,,6256724.0,ns,7030
multi thread allocation,crate 'sharded-slab',,,,6048276.0,ns,7125
multi thread allocation,crate 'sharded-slab',,,,5957018.0,ns,7220
multi thread allocation,crate 'sharded-slab',,,,6122202.0,ns,7315
multi thread allocation,crate 'sharded-slab',,,,5665531.0,ns,7410
multi thread allocation,crate 'sharded-slab',,,,5706246.0,ns,7505
multi thread allocation,crate 'sharded-slab',,,,5974469.0,ns,7600
multi thread allocation,crate 'sharded-slab',,,,5689275.0,ns,7695
multi thread allocation,crate 'sharded-slab',,,,5616823.0,ns,7790
multi thread allocation,crate 'sharded-slab',,,,5689394.0,ns,7885
multi thread allocation,crate 'sharded-slab',,,,5748253.0,ns,7980
multi thread allocation,crate 'sharded-slab',,,,5758928.0,ns,8075
multi thread allocation,crate 'sharded-slab',,,,12522963.0,ns,8170
multi thread allocation,crate 'sharded-slab',,,,12950940.0,ns,8265
multi thread allocation,crate 'sharded-slab',,,,12791781.0,ns,8360
multi thread allocation,crate 'sharded-slab',,,,12724159.0,ns,8455
multi thread allocation,crate 'sharded-slab',,,,12839899.0,ns,8550
multi thread allocation,crate 'sharded-slab',,,,12854780.0,ns,8645
multi thread allocation,crate 'sharded-slab',,,,12727696.0,ns,8740
multi thread allocation,crate 'sharded-slab',,,,12921840.0,ns,8835
multi thread allocation,crate 'sharded-slab',,,,12597746.0,ns,8930
multi thread allocation,crate 'sharded-slab',,,,12816835.0,ns,9025
multi thread allocation,crate 'sharded-slab',,,,12745888.0,ns,9120
multi thread allocation,crate 'sharded-slab',,,,12863072.0,ns,9215
multi thread allocation,crate 'sharded-slab',,,,12863456.0,ns,9310
multi thread allocation,crate 'sharded-slab',,,,12885921.0,ns,9405
multi thread allocation,crate 'sharded-slab',,,,12714917.0,ns,9500
