group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,crate 'sharded-slab',,,,43369.0,ns,93
multi thread allocation,crate 'sharded-slab',,,,82301.0,ns,186
multi thread allocation,crate 'sharded-slab',,,,188353.0,ns,279
multi thread allocation,crate 'sharded-slab',,,,180327.0,ns,372
multi thread allocation,crate 'sharded-slab',,,,169816.0,ns,465
multi thread allocation,crate 'sharded-slab',,,,289050.0,ns,558
multi thread allocation,crate 'sharded-slab',,,,226996.0,ns,651
multi thread allocation,crate 'sharded-slab',,,,199965.0,ns,744
multi thread allocation,crate 'sharded-slab',,,,191491.0,ns,837
multi thread allocation,crate 'sharded-slab',,,,96691.0,ns,930
multi thread allocation,crate 'sharded-slab',,,,451083.0,ns,1023
multi thread allocation,crate 'sharded-slab',,,,432207.0,ns,1116
multi thread allocation,crate 'sharded-slab',,,,422764.0,ns,1209
multi thread allocation,crate 'sharded-slab',,,,415522.0,ns,1302
multi thread allocation,crate 'sharded-slab',,,,170246.0,ns,1395
multi thread allocation,crate 'sharded-slab',,,,72108.0,ns,1488
multi thread allocation,crate 'sharded-slab',,,,58482.0,ns,1581
multi thread allocation,crate 'sharded-slab',,,,62683.0,ns,1674
multi thread allocation,crate 'sharded-slab',,,,61526.0,ns,1767
multi thread allocation,crate 'sharded-slab',,,,64786.0,ns,1860
multi thread allocation,crate 'sharded-slab',,,,76420.0,ns,1953
multi thread allocation,crate 'sharded-slab',,,,933343.0,ns,2046
multi thread allocation,crate 'sharded-slab',,,,1905313.0,ns,2139
multi thread allocation,crate 'sharded-slab',,,,1902334.0,ns,2232
multi thread allocation,crate 'sharded-slab',,,,1876130.0,ns,2325
multi thread allocation,crate 'sharded-slab',,,,1879492.0,ns,2418
multi thread allocation,crate 'sharded-slab',,,,1881111.0,ns,2511
multi thread allocation,crate 'sharded-slab',,,,1887612.0,ns,2604
multi thread allocation,crate 'sharded-slab',,,,1895827.0,ns,2697
multi thread allocation,crate 'sharded-slab',,,,1871737.0,ns,2790
multi thread allocation,crate 'sharded-slab',,,,1854001.0,ns,2883
multi thread allocation,crate 'sharded-slab',,,,1861475.0,ns,2976
multi thread allocation,crate 'sharded-slab',,,,1856519.0,ns,3069
multi thread allocation,crate 'sharded-slab',,,,1870942.0,ns,3162
multi thread allocation,crate 'sharded-slab',,,,1874670.0,ns,3255
multi thread allocation,crate 'sharded-slab',,,,1875506.0,ns,3348
multi thread allocation,crate 'sharded-slab',,,,1879921.0,ns,3441
multi thread allocation,crate 'sharded-slab',,,,1893615.0,ns,3534
multi thread allocation,crate 'sharded-slab',,,,1868373.0,ns,3627
multi thread allocation,crate 'sharded-slab',,,,1900828.0,ns,3720
multi thread allocation,crate 'sharded-slab',,,,1909319.0,ns,3813
multi thread allocation,crate 'sharded-slab',,,,1893190.0,ns,3906
multi thread allocation,crate 'sharded-slab',,,,1924961.0,ns,3999
multi thread allocation,crate 'sharded-slab',,,,5768570.0,ns,4092
multi thread allocation,crate 'sharded-slab',,,,5537586.0,ns,4185
multi thread allocation,crate 'sharded-slab',,,,5581669.0,ns,4278
multi thread allocation,crate 'sharded-slab',,,,5548793.0,ns,4371
multi thread allocation,crate 'sharded-slab',,,,5552572.0,ns,4464
multi thread allocation,crate 'sharded-slab',,,,5740316.0,ns,4557
multi thread allocation,crate 'sharded-slab',,,,5681804.0,ns,4650
multi thread allocation,crate 'sharded-slab',,,,6287889.0,ns,4743
multi thread allocation,crate 'sharded-slab',,,,6406740.0,ns,4836
multi thread allocation,crate 'sharded-slab',,,,5685851.0,ns,4929
multi thread allocation,crate 'sharded-slab',,,,5629039.0,ns,5022
multi thread allocation,crate 'sharded-slab',,,,5782987.0,ns,5115
multi thread allocation,crate 'sharded-slab',,,,5728017.0,ns,5208
multi thread allocation,crate 'sharded-slab',,,,5745351.0,ns,5301
multi thread allocation,crate 'sharded-slab',,,,5839655.0,ns,5394
multi thread allocation,crate 'sharded-slab',,,,5782661.0,ns,5487
multi thread allocation,crate 'sharded-slab',,,,5686362.0,ns,5580
multi thread allocation,crate 'sharded-slab',,,,5648150.0,ns,5673
multi thread allocation,crate 'sharded-slab',,,,5644753.0,ns,5766
multi thread allocation,crate 'sharded-slab',,,,5668432.0,ns,5859
multi thread allocation,crate 'sharded-slab',,,,5608234.0,ns,5952
multi thread allocation,crate 'sharded-slab',,,,5738554.0,ns,6045
multi thread allocation,crate 'sharded-slab',,,,5607005.0,ns,6138
multi thread allocation,crate 'sharded-slab',,,,5856712.0,ns,6231
multi thread allocation,crate 'sharded-slab',,,,5690689.0,ns,6324
multi thread allocation,crate 'sharded-slab',,,,5707171.0,ns,6417
multi thread allocation,crate 'sharded-slab',,,,5731493.0,ns,6510
multi thread allocation,crate 'sharded-slab',,,,5721577.0,ns,6603
multi thread allocation,crate 'sharded-slab',,,,5695382.0,ns,6696
multi thread allocation,crate 'sharded-slab',,,,5531700.0,ns,6789
multi thread allocation,crate 'sharded-slab',,,,5868321.0,ns,6882
multi thread allocation,crate 'sharded-slab',,,,5759368.0,ns,6975
multi thread allocation,crate 'sharded-slab',,,,5702211.0,ns,7068
multi thread allocation,crate 'sharded-slab',,,,5724662.0,ns,7161
multi thread allocation,crate 'sharded-slab',,,,5681396.0,ns,7254
multi thread allocation,crate 'sharded-slab',,,,5821798.0,ns,7347
multi thread allocation,crate 'sharded-slab',,,,5778467.0,ns,7440
multi thread allocation,crate 'sharded-slab',,,,5735630.0,ns,7533
multi thread allocation,crate 'sharded-slab',,,,5736850.0,ns,7626
multi thread allocation,crate 'sharded-slab',,,,5682885.0,ns,7719
multi thread allocation,crate 'sharded-slab',,,,5752086.0,ns,7812
multi thread allocation,crate 'sharded-slab',,,,5789857.0,ns,7905
multi thread allocation,crate 'sharded-slab',,,,5746375.0,ns,7998
multi thread allocation,crate 'sharded-slab',,,,5813764.0,ns,8091
multi thread allocation,crate 'sharded-slab',,,,12842898.0,ns,8184
multi thread allocation,crate 'sharded-slab',,,,13232937.0,ns,8277
multi thread allocation,crate 'sharded-slab',,,,13662829.0,ns,8370
multi thread allocation,crate 'sharded-slab',,,,14708815.0,ns,8463
multi thread allocation,crate 'sharded-slab',,,,13402477.0,ns,8556
multi thread allocation,crate 'sharded-slab',,,,13397324.0,ns,8649
multi thread allocation,crate 'sharded-slab',,,,13318008.0,ns,8742
multi thread allocation,crate 'sharded-slab',,,,13301050.0,ns,8835
multi thread allocation,crate 'sharded-slab',,,,13235599.0,ns,8928
multi thread allocation,crate 'sharded-slab',,,,13119033.0,ns,9021
multi thread allocation,crate 'sharded-slab',,,,13208045.0,ns,9114
multi thread allocation,crate 'sharded-slab',,,,13266163.0,ns,9207
multi thread allocation,crate 'sharded-slab',,,,13286533.0,ns,9300
