group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,linear object poll,,,,4622.0,ns,22
multi thread allocation,linear object poll,,,,8461.0,ns,44
multi thread allocation,linear object poll,,,,9637.0,ns,66
multi thread allocation,linear object poll,,,,12346.0,ns,88
multi thread allocation,linear object poll,,,,18375.0,ns,110
multi thread allocation,linear object poll,,,,21167.0,ns,132
multi thread allocation,linear object poll,,,,27077.0,ns,154
multi thread allocation,linear object poll,,,,34938.0,ns,176
multi thread allocation,linear object poll,,,,38400.0,ns,198
multi thread allocation,linear object poll,,,,50027.0,ns,220
multi thread allocation,linear object poll,,,,50111.0,ns,242
multi thread allocation,linear object poll,,,,49806.0,ns,264
multi thread allocation,linear object poll,,,,83299.0,ns,286
multi thread allocation,linear object poll,,,,66078.0,ns,308
multi thread allocation,linear object poll,,,,76163.0,ns,330
multi thread allocation,linear object poll,,,,85126.0,ns,352
multi thread allocation,linear object poll,,,,85508.0,ns,374
multi thread allocation,linear object poll,,,,96940.0,ns,396
multi thread allocation,linear object poll,,,,96096.0,ns,418
multi thread allocation,linear object poll,,,,100371.0,ns,440
multi thread allocation,linear object poll,,,,115046.0,ns,462
multi thread allocation,linear object poll,,,,133183.0,ns,484
multi thread allocation,linear object poll,,,,119371.0,ns,506
multi thread allocation,linear object poll,,,,135306.0,ns,528
multi thread allocation,linear object poll,,,,41976.0,ns,550
multi thread allocation,linear object poll,,,,141150.0,ns,572
multi thread allocation,linear object poll,,,,170298.0,ns,594
multi thread allocation,linear object poll,,,,165693.0,ns,616
multi thread allocation,linear object poll,,,,174408.0,ns,638
multi thread allocation,linear object poll,,,,184803.0,ns,660
multi thread allocation,linear object poll,,,,191910.0,ns,682
multi thread allocation,linear object poll,,,,200009.0,ns,704
multi thread allocation,linear object poll,,,,221708.0,ns,726
multi thread allocation,linear object poll,,,,235897.0,ns,748
multi thread allocation,linear object poll,,,,225961.0,ns,770
multi thread allocation,linear object poll,,,,375289.0,ns,792
multi thread allocation,linear object poll,,,,283560.0,ns,814
multi thread allocation,linear object poll,,,,298083.0,ns,836
multi thread allocation,linear object poll,,,,275138.0,ns,858
multi thread allocation,linear object poll,,,,279745.0,ns,880
multi thread allocation,linear object poll,,,,278342.0,ns,902
multi thread allocation,linear object poll,,,,312357.0,ns,924
multi thread allocation,linear object poll,,,,332260.0,ns,946
multi thread allocation,linear object poll,,,,327375.0,ns,968
multi thread allocation,linear object poll,,,,335492.0,ns,990
multi thread allocation,linear object poll,,,,354484.0,ns,1012
multi thread allocation,linear object poll,,,,359527.0,ns,1034
multi thread allocation,linear object poll,,,,391937.0,ns,1056
multi thread allocation,linear object poll,,,,378831.0,ns,1078
multi thread allocation,linear object poll,,,,389063.0,ns,1100
multi thread allocation,linear object poll,,,,407828.0,ns,1122
multi thread allocation,linear object poll,,,,435505.0,ns,1144
multi thread allocation,linear object poll,,,,434852.0,ns,1166
multi thread allocation,linear object poll,,,,451698.0,ns,1188
multi thread allocation,linear object poll,,,,456506.0,ns,1210
multi thread allocation,linear object poll,,,,469654.0,ns,1232
multi thread allocation,linear object poll,,,,515355.0,ns,1254
multi thread allocation,linear object poll,,,,546512.0,ns,1276
multi thread allocation,linear object poll,,,,580188.0,ns,1298
multi thread allocation,linear object poll,,,,542990.0,ns,1320
multi thread allocation,linear object poll,,,,555329.0,ns,1342
multi thread allocation,linear object poll,,,,565785.0,ns,1364
multi thread allocation,linear object poll,,,,577372.0,ns,1386
multi thread allocation,linear object poll,,,,603748.0,ns,1408
multi thread allocation,linear object poll,,,,590922.0,ns,1430
multi thread allocation,linear object poll,,,,609068.0,ns,1452
multi thread allocation,linear object poll,,,,629291.0,ns,1474
multi thread allocation,linear object poll,,,,681656.0,ns,1496
multi thread allocation,linear object poll,,,,726389.0,ns,1518
multi thread allocation,linear object poll,,,,676568.0,ns,1540
multi thread allocation,linear object poll,,,,674081.0,ns,1562
multi thread allocation,linear object poll,,,,728003.0,ns,1584
multi thread allocation,linear object poll,,,,775922.0,ns,1606
multi thread allocation,linear object poll,,,,788022.0,ns,1628
multi thread allocation,linear object poll,,,,813900.0,ns,1650
multi thread allocation,linear object poll,,,,803263.0,ns,1672
multi thread allocation,linear object poll,,,,831516.0,ns,1694
multi thread allocation,linear object poll,,,,920272.0,ns,1716
multi thread allocation,linear object poll,,,,965481.0,ns,1738
multi thread allocation,linear object poll,,,,982812.0,ns,1760
multi thread allocation,linear object poll,,,,985153.0,ns,1782
multi thread allocation,linear object poll,,,,976359.0,ns,1804
multi thread allocation,linear object poll,,,,1028168.0,ns,1826
multi thread allocation,linear object poll,,,,1016298.0,ns,1848
multi thread allocation,linear object poll,,,,1028615.0,ns,1870
multi thread allocation,linear object poll,,,,953686.0,ns,1892
multi thread allocation,linear object poll,,,,983755.0,ns,1914
multi thread allocation,linear object poll,,,,1560345.0,ns,1936
multi thread allocation,linear object poll,,,,1085873.0,ns,1958
multi thread allocation,linear object poll,,,,1104174.0,ns,1980
multi thread allocation,linear object poll,,,,1083886.0,ns,2002
multi thread allocation,linear object poll,,,,1124029.0,ns,2024
multi thread allocation,linear object poll,,,,1055966.0,ns,2046
multi thread allocation,linear object poll,,,,1652820.0,ns,2068
