group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,linear object poll,,,,4399.0,ns,12
multi thread allocation,linear object poll,,,,9593.0,ns,24
multi thread allocation,linear object poll,,,,9412.0,ns,36
multi thread allocation,linear object poll,,,,10555.0,ns,48
multi thread allocation,linear object poll,,,,13752.0,ns,60
multi thread allocation,linear object poll,,,,15130.0,ns,72
multi thread allocation,linear object poll,,,,16858.0,ns,84
multi thread allocation,linear object poll,,,,19853.0,ns,96
multi thread allocation,linear object poll,,,,23101.0,ns,108
multi thread allocation,linear object poll,,,,21389.0,ns,120
multi thread allocation,linear object poll,,,,23699.0,ns,132
multi thread allocation,linear object poll,,,,26892.0,ns,144
multi thread allocation,linear object poll,,,,35354.0,ns,156
multi thread allocation,linear object poll,,,,28934.0,ns,168
multi thread allocation,linear object poll,,,,31181.0,ns,180
multi thread allocation,linear object poll,,,,34449.0,ns,192
multi thread allocation,linear object poll,,,,44478.0,ns,204
multi thread allocation,linear object poll,,,,37517.0,ns,216
multi thread allocation,linear object poll,,,,42833.0,ns,228
multi thread allocation,linear object poll,,,,52480.0,ns,240
multi thread allocation,linear object poll,,,,50737.0,ns,252
multi thread allocation,linear object poll,,,,53176.0,ns,264
multi thread allocation,linear object poll,,,,52952.0,ns,276
multi thread allocation,linear object poll,,,,56535.0,ns,288
multi thread allocation,linear object poll,,,,73933.0,ns,300
multi thread allocation,linear object poll,,,,61675.0,ns,312
multi thread allocation,linear object poll,,,,74843.0,ns,324
multi thread allocation,linear object poll,,,,67314.0,ns,336
multi thread allocation,linear object poll,,,,80132.0,ns,348
multi thread allocation,linear object poll,,,,72482.0,ns,360
multi thread allocation,linear object poll,,,,83881.0,ns,372
multi thread allocation,linear object poll,,,,75352.0,ns,384
multi thread allocation,linear object poll,,,,70825.0,ns,396
multi thread allocation,linear object poll,,,,83150.0,ns,408
multi thread allocation,linear object poll,,,,75447.0,ns,420
multi thread allocation,linear object poll,,,,81020.0,ns,432
multi thread allocation,linear object poll,,,,82257.0,ns,444
multi thread allocation,linear object poll,,,,97274.0,ns,456
multi thread allocation,linear object poll,,,,81697.0,ns,468
multi thread allocation,linear object poll,,,,87088.0,ns,480
multi thread allocation,linear object poll,,,,92714.0,ns,492
multi thread allocation,linear object poll,,,,111280.0,ns,504
multi thread allocation,linear object poll,,,,100377.0,ns,516
multi thread allocation,linear object poll,,,,100791.0,ns,528
multi thread allocation,linear object poll,,,,124368.0,ns,540
multi thread allocation,linear object poll,,,,93980.0,ns,552
multi thread allocation,linear object poll,,,,119541.0,ns,564
multi thread allocation,linear object poll,,,,98076.0,ns,576
multi thread allocation,linear object poll,,,,114083.0,ns,588
multi thread allocation,linear object poll,,,,116603.0,ns,600
multi thread allocation,linear object poll,,,,127354.0,ns,612
multi thread allocation,linear object poll,,,,126334.0,ns,624
multi thread allocation,linear object poll,,,,113154.0,ns,636
multi thread allocation,linear object poll,,,,113237.0,ns,648
multi thread allocation,linear object poll,,,,129127.0,ns,660
multi thread allocation,linear object poll,,,,134591.0,ns,672
multi thread allocation,linear object poll,,,,140375.0,ns,684
multi thread allocation,linear object poll,,,,129254.0,ns,696
multi thread allocation,linear object poll,,,,129336.0,ns,708
multi thread allocation,linear object poll,,,,129305.0,ns,720
multi thread allocation,linear object poll,,,,142791.0,ns,732
multi thread allocation,linear object poll,,,,137497.0,ns,744
multi thread allocation,linear object poll,,,,129827.0,ns,756
multi thread allocation,linear object poll,,,,144779.0,ns,768
multi thread allocation,linear object poll,,,,178081.0,ns,780
multi thread allocation,linear object poll,,,,144617.0,ns,792
multi thread allocation,linear object poll,,,,150032.0,ns,804
multi thread allocation,linear object poll,,,,145471.0,ns,816
multi thread allocation,linear object poll,,,,169517.0,ns,828
multi thread allocation,linear object poll,,,,156585.0,ns,840
multi thread allocation,linear object poll,,,,165047.0,ns,852
multi thread allocation,linear object poll,,,,159835.0,ns,864
multi thread allocation,linear object poll,,,,163587.0,ns,876
multi thread allocation,linear object poll,,,,152794.0,ns,888
multi thread allocation,linear object poll,,,,161559.0,ns,900
multi thread allocation,linear object poll,,,,167648.0,ns,912
multi thread allocation,linear object poll,,,,172404.0,ns,924
multi thread allocation,linear object poll,,,,169415.0,ns,936
multi thread allocation,linear object poll,,,,172738.0,ns,948
multi thread allocation,linear object poll,,,,179719.0,ns,960
multi thread allocation,linear object poll,,,,165813.0,ns,972
multi thread allocation,linear object poll,,,,178455.0,ns,984
multi thread allocation,linear object poll,,,,180763.0,ns,996
multi thread allocation,linear object poll,,,,179518.0,ns,1008
multi thread allocation,linear object poll,,,,190005.0,ns,1020
multi thread allocation,linear object poll,,,,191085.0,ns,1032
multi thread allocation,linear object poll,,,,195053.0,ns,1044
multi thread allocation,linear object poll,,,,205419.0,ns,1056
multi thread allocation,linear object poll,,,,203350.0,ns,1068
multi thread allocation,linear object poll,,,,212354.0,ns,1080
multi thread allocation,linear object poll,,,,246823.0,ns,1092
multi thread allocation,linear object poll,,,,215813.0,ns,1104
multi thread allocation,linear object poll,,,,215507.0,ns,1116
multi thread allocation,linear object poll,,,,221498.0,ns,1128
multi thread allocation,linear object poll,,,,222347.0,ns,1140
multi thread allocation,linear object poll,,,,223943.0,ns,1152
multi thread allocation,linear object poll,,,,227368.0,ns,1164
multi thread allocation,linear object poll,,,,232314.0,ns,1176
multi thread allocation,linear object poll,,,,234134.0,ns,1188
multi thread allocation,linear object poll,,,,243440.0,ns,1200
