group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,mutex object poll,,,,116596.0,ns,58
multi thread allocation,mutex object poll,,,,152799.0,ns,116
multi thread allocation,mutex object poll,,,,201881.0,ns,174
multi thread allocation,mutex object poll,,,,192787.0,ns,232
multi thread allocation,mutex object poll,,,,207558.0,ns,290
multi thread allocation,mutex object poll,,,,211415.0,ns,348
multi thread allocation,mutex object poll,,,,233477.0,ns,406
multi thread allocation,mutex object poll,,,,233115.0,ns,464
multi thread allocation,mutex object poll,,,,261489.0,ns,522
multi thread allocation,mutex object poll,,,,230708.0,ns,580
multi thread allocation,mutex object poll,,,,260804.0,ns,638
multi thread allocation,mutex object poll,,,,271239.0,ns,696
multi thread allocation,mutex object poll,,,,254055.0,ns,754
multi thread allocation,mutex object poll,,,,262832.0,ns,812
multi thread allocation,mutex object poll,,,,278265.0,ns,870
multi thread allocation,mutex object poll,,,,323462.0,ns,928
multi thread allocation,mutex object poll,,,,351125.0,ns,986
multi thread allocation,mutex object poll,,,,338772.0,ns,1044
multi thread allocation,mutex object poll,,,,345839.0,ns,1102
multi thread allocation,mutex object poll,,,,332408.0,ns,1160
multi thread allocation,mutex object poll,,,,336988.0,ns,1218
multi thread allocation,mutex object poll,,,,336693.0,ns,1276
multi thread allocation,mutex object poll,,,,343975.0,ns,1334
multi thread allocation,mutex object poll,,,,351325.0,ns,1392
multi thread allocation,mutex object poll,,,,356711.0,ns,1450
multi thread allocation,mutex object poll,,,,370020.0,ns,1508
multi thread allocation,mutex object poll,,,,391395.0,ns,1566
multi thread allocation,mutex object poll,,,,472350.0,ns,1624
multi thread allocation,mutex object poll,,,,402534.0,ns,1682
multi thread allocation,mutex object poll,,,,416050.0,ns,1740
multi thread allocation,mutex object poll,,,,417864.0,ns,1798
multi thread allocation,mutex object poll,,,,428121.0,ns,1856
multi thread allocation,mutex object poll,,,,426842.0,ns,1914
multi thread allocation,mutex object poll,,,,460971.0,ns,1972
multi thread allocation,mutex object poll,,,,462520.0,ns,2030
multi thread allocation,mutex object poll,,,,472847.0,ns,2088
multi thread allocation,mutex object poll,,,,468415.0,ns,2146
multi thread allocation,mutex object poll,,,,495437.0,ns,2204
multi thread allocation,mutex object poll,,,,509927.0,ns,2262
multi thread allocation,mutex object poll,,,,499679.0,ns,2320
multi thread allocation,mutex object poll,,,,516132.0,ns,2378
multi thread allocation,mutex object poll,,,,566853.0,ns,2436
multi thread allocation,mutex object poll,,,,534119.0,ns,2494
multi thread allocation,mutex object poll,,,,536063.0,ns,2552
multi thread allocation,mutex object poll,,,,570743.0,ns,2610
multi thread allocation,mutex object poll,,,,587136.0,ns,2668
multi thread allocation,mutex object poll,,,,590303.0,ns,2726
multi thread allocation,mutex object poll,,,,572107.0,ns,2784
multi thread allocation,mutex object poll,,,,596218.0,ns,2842
multi thread allocation,mutex object poll,,,,640596.0,ns,2900
multi thread allocation,mutex object poll,,,,610376.0,ns,2958
multi thread allocation,mutex object poll,,,,614219.0,ns,3016
multi thread allocation,mutex object poll,,,,643235.0,ns,3074
multi thread allocation,mutex object poll,,,,7190223.0,ns,3132
multi thread allocation,mutex object poll,,,,7307691.0,ns,3190
multi thread allocation,mutex object poll,,,,7464271.0,ns,3248
multi thread allocation,mutex object poll,,,,7492086.0,ns,3306
multi thread allocation,mutex object poll,,,,7644031.0,ns,3364
multi thread allocation,mutex object poll,,,,7875290.0,ns,3422
multi thread allocation,mutex object poll,,,,7853744.0,ns,3480
multi thread allocation,mutex object poll,,,,7717911.0,ns,3538
multi thread allocation,mutex object poll,,,,8772329.0,ns,3596
multi thread allocation,mutex object poll,,,,8164645.0,ns,3654
multi thread allocation,mutex object poll,,,,8205416.0,ns,3712
multi thread allocation,mutex object poll,,,,8618861.0,ns,3770
multi thread allocation,mutex object poll,,,,9699957.0,ns,3828
multi thread allocation,mutex object poll,,,,8748985.0,ns,3886
multi thread allocation,mutex object poll,,,,9164295.0,ns,3944
multi thread allocation,mutex object poll,,,,8840506.0,ns,4002
multi thread allocation,mutex object poll,,,,9601477.0,ns,4060
multi thread allocation,mutex object poll,,,,9719702.0,ns,4118
multi thread allocation,mutex object poll,,,,9855966.0,ns,4176
multi thread allocation,mutex object poll,,,,9917027.0,ns,4234
multi thread allocation,mutex object poll,,,,9703318.0,ns,4292
multi thread allocation,mutex object poll,,,,9786543.0,ns,4350
multi thread allocation,mutex object poll,,,,10758247.0,ns,4408
multi thread allocation,mutex object poll,,,,10313331.0,ns,4466
multi thread allocation,mutex object poll,,,,10870484.0,ns,4524
multi thread allocation,mutex object poll,,,,10802223.0,ns,4582
multi thread allocation,mutex object poll,,,,11014783.0,ns,4640
multi thread allocation,mutex object poll,,,,11777285.0,ns,4698
multi thread allocation,mutex object poll,,,,11726073.0,ns,4756
multi thread allocation,mutex object poll,,,,11765509.0,ns,4814
multi thread allocation,mutex object poll,,,,11944620.0,ns,4872
multi thread allocation,mutex object poll,,,,11979967.0,ns,4930
multi thread allocation,mutex object poll,,,,12104908.0,ns,4988
multi thread allocation,mutex object poll,,,,12049788.0,ns,5046
multi thread allocation,mutex object poll,,,,12590822.0,ns,5104
multi thread allocation,mutex object poll,,,,12914155.0,ns,5162
multi thread allocation,mutex object poll,,,,12871690.0,ns,5220
multi thread allocation,mutex object poll,,,,13526412.0,ns,5278
multi thread allocation,mutex object poll,,,,13613389.0,ns,5336
multi thread allocation,mutex object poll,,,,13507804.0,ns,5394
multi thread allocation,mutex object poll,,,,13789020.0,ns,5452
multi thread allocation,mutex object poll,,,,13786568.0,ns,5510
multi thread allocation,mutex object poll,,,,13671551.0,ns,5568
multi thread allocation,mutex object poll,,,,14442637.0,ns,5626
multi thread allocation,mutex object poll,,,,14509838.0,ns,5684
multi thread allocation,mutex object poll,,,,15567692.0,ns,5742
multi thread allocation,mutex object poll,,,,14594697.0,ns,5800
