group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,mutex object poll,,,,142571.0,ns,58
multi thread allocation,mutex object poll,,,,174215.0,ns,116
multi thread allocation,mutex object poll,,,,319106.0,ns,174
multi thread allocation,mutex object poll,,,,313068.0,ns,232
multi thread allocation,mutex object poll,,,,413967.0,ns,290
multi thread allocation,mutex object poll,,,,423241.0,ns,348
multi thread allocation,mutex object poll,,,,583424.0,ns,406
multi thread allocation,mutex object poll,,,,525122.0,ns,464
multi thread allocation,mutex object poll,,,,623007.0,ns,522
multi thread allocation,mutex object poll,,,,703559.0,ns,580
multi thread allocation,mutex object poll,,,,550196.0,ns,638
multi thread allocation,mutex object poll,,,,683803.0,ns,696
multi thread allocation,mutex object poll,,,,772029.0,ns,754
multi thread allocation,mutex object poll,,,,554151.0,ns,812
multi thread allocation,mutex object poll,,,,781947.0,ns,870
multi thread allocation,mutex object poll,,,,721138.0,ns,928
multi thread allocation,mutex object poll,,,,643242.0,ns,986
multi thread allocation,mutex object poll,,,,728398.0,ns,1044
multi thread allocation,mutex object poll,,,,778167.0,ns,1102
multi thread allocation,mutex object poll,,,,655271.0,ns,1160
multi thread allocation,mutex object poll,,,,754484.0,ns,1218
multi thread allocation,mutex object poll,,,,801124.0,ns,1276
multi thread allocation,mutex object poll,,,,688584.0,ns,1334
multi thread allocation,mutex object poll,,,,742920.0,ns,1392
multi thread allocation,mutex object poll,,,,796749.0,ns,1450
multi thread allocation,mutex object poll,,,,741182.0,ns,1508
multi thread allocation,mutex object poll,,,,776922.0,ns,1566
multi thread allocation,mutex object poll,,,,787586.0,ns,1624
multi thread allocation,mutex object poll,,,,789504.0,ns,1682
multi thread allocation,mutex object poll,,,,781521.0,ns,1740
multi thread allocation,mutex object poll,,,,886487.0,ns,1798
multi thread allocation,mutex object poll,,,,779713.0,ns,1856
multi thread allocation,mutex object poll,,,,729066.0,ns,1914
multi thread allocation,mutex object poll,,,,828084.0,ns,1972
multi thread allocation,mutex object poll,,,,917098.0,ns,2030
multi thread allocation,mutex object poll,,,,737113.0,ns,2088
multi thread allocation,mutex object poll,,,,945516.0,ns,2146
multi thread allocation,mutex object poll,,,,924344.0,ns,2204
multi thread allocation,mutex object poll,,,,843509.0,ns,2262
multi thread allocation,mutex object poll,,,,1005248.0,ns,2320
multi thread allocation,mutex object poll,,,,977951.0,ns,2378
multi thread allocation,mutex object poll,,,,855922.0,ns,2436
multi thread allocation,mutex object poll,,,,920435.0,ns,2494
multi thread allocation,mutex object poll,,,,1137997.0,ns,2552
multi thread allocation,mutex object poll,,,,842100.0,ns,2610
multi thread allocation,mutex object poll,,,,1009569.0,ns,2668
multi thread allocation,mutex object poll,,,,1129525.0,ns,2726
multi thread allocation,mutex object poll,,,,906078.0,ns,2784
multi thread allocation,mutex object poll,,,,1140979.0,ns,2842
multi thread allocation,mutex object poll,,,,1077496.0,ns,2900
multi thread allocation,mutex object poll,,,,932518.0,ns,2958
multi thread allocation,mutex object poll,,,,1003903.0,ns,3016
multi thread allocation,mutex object poll,,,,1047589.0,ns,3074
multi thread allocation,mutex object poll,,,,7290211.0,ns,3132
multi thread allocation,mutex object poll,,,,7035097.0,ns,3190
multi thread allocation,mutex object poll,,,,7465055.0,ns,3248
multi thread allocation,mutex object poll,,,,7604855.0,ns,3306
multi thread allocation,mutex object poll,,,,7496205.0,ns,3364
multi thread allocation,mutex object poll,,,,7773126.0,ns,3422
multi thread allocation,mutex object poll,,,,8190713.0,ns,3480
multi thread allocation,mutex object poll,,,,8391124.0,ns,3538
multi thread allocation,mutex object poll,,,,8077364.0,ns,3596
multi thread allocation,mutex object poll,,,,8259424.0,ns,3654
multi thread allocation,mutex object poll,,,,8168490.0,ns,3712
multi thread allocation,mutex object poll,,,,8735129.0,ns,3770
multi thread allocation,mutex object poll,,,,8606742.0,ns,3828
multi thread allocation,mutex object poll,,,,8659067.0,ns,3886
multi thread allocation,mutex object poll,,,,8887689.0,ns,3944
multi thread allocation,mutex object poll,,,,8800121.0,ns,4002
multi thread allocation,mutex object poll,,,,9546836.0,ns,4060
multi thread allocation,mutex object poll,,,,9411432.0,ns,4118
multi thread allocation,mutex object poll,,,,9959210.0,ns,4176
multi thread allocation,mutex object poll,,,,10004997.0,ns,4234
multi thread allocation,mutex object poll,,,,10924997.0,ns,4292
multi thread allocation,mutex object poll,,,,10736334.0,ns,4350
multi thread allocation,mutex object poll,,,,11018388.0,ns,4408
multi thread allocation,mutex object poll,,,,10766805.0,ns,4466
multi thread allocation,mutex object poll,,,,11285278.0,ns,4524
multi thread allocation,mutex object poll,,,,11248474.0,ns,4582
multi thread allocation,mutex object poll,,,,11461518.0,ns,4640
multi thread allocation,mutex object poll,,,,11598089.0,ns,4698
multi thread allocation,mutex object poll,,,,12014767.0,ns,4756
multi thread allocation,mutex object poll,,,,12400205.0,ns,4814
multi thread allocation,mutex object poll,,,,11650180.0,ns,4872
multi thread allocation,mutex object poll,,,,12057858.0,ns,4930
multi thread allocation,mutex object poll,,,,12601602.0,ns,4988
multi thread allocation,mutex object poll,,,,12972332.0,ns,5046
multi thread allocation,mutex object poll,,,,13571502.0,ns,5104
multi thread allocation,mutex object poll,,,,13332471.0,ns,5162
multi thread allocation,mutex object poll,,,,13577314.0,ns,5220
multi thread allocation,mutex object poll,,,,13503412.0,ns,5278
multi thread allocation,mutex object poll,,,,13805884.0,ns,5336
multi thread allocation,mutex object poll,,,,13714044.0,ns,5394
multi thread allocation,mutex object poll,,,,13801238.0,ns,5452
multi thread allocation,mutex object poll,,,,14520886.0,ns,5510
multi thread allocation,mutex object poll,,,,14898980.0,ns,5568
multi thread allocation,mutex object poll,,,,15103088.0,ns,5626
multi thread allocation,mutex object poll,,,,15118828.0,ns,5684
multi thread allocation,mutex object poll,,,,15200893.0,ns,5742
multi thread allocation,mutex object poll,,,,15527109.0,ns,5800
