group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,none object poll,,,,148299.0,ns,194
multi thread allocation,none object poll,,,,296433.0,ns,388
multi thread allocation,none object poll,,,,458370.0,ns,582
multi thread allocation,none object poll,,,,568732.0,ns,776
multi thread allocation,none object poll,,,,585755.0,ns,970
multi thread allocation,none object poll,,,,576160.0,ns,1164
multi thread allocation,none object poll,,,,590800.0,ns,1358
multi thread allocation,none object poll,,,,594699.0,ns,1552
multi thread allocation,none object poll,,,,608458.0,ns,1746
multi thread allocation,none object poll,,,,637511.0,ns,1940
multi thread allocation,none object poll,,,,614508.0,ns,2134
multi thread allocation,none object poll,,,,545266.0,ns,2328
multi thread allocation,none object poll,,,,483649.0,ns,2522
multi thread allocation,none object poll,,,,478318.0,ns,2716
multi thread allocation,none object poll,,,,406582.0,ns,2910
multi thread allocation,none object poll,,,,423289.0,ns,3104
multi thread allocation,none object poll,,,,1364531.0,ns,3298
multi thread allocation,none object poll,,,,1432781.0,ns,3492
multi thread allocation,none object poll,,,,1499873.0,ns,3686
multi thread allocation,none object poll,,,,1557027.0,ns,3880
multi thread allocation,none object poll,,,,1623655.0,ns,4074
multi thread allocation,none object poll,,,,1800452.0,ns,4268
multi thread allocation,none object poll,,,,1900618.0,ns,4462
multi thread allocation,none object poll,,,,2245646.0,ns,4656
multi thread allocation,none object poll,,,,1781119.0,ns,4850
multi thread allocation,none object poll,,,,2500852.0,ns,5044
multi thread allocation,none object poll,,,,2618771.0,ns,5238
multi thread allocation,none object poll,,,,2909593.0,ns,5432
multi thread allocation,none object poll,,,,2802278.0,ns,5626
multi thread allocation,none object poll,,,,3137505.0,ns,5820
multi thread allocation,none object poll,,,,3414711.0,ns,6014
multi thread allocation,none object poll,,,,3331664.0,ns,6208
multi thread allocation,none object poll,,,,3539877.0,ns,6402
multi thread allocation,none object poll,,,,3712235.0,ns,6596
multi thread allocation,none object poll,,,,3919005.0,ns,6790
multi thread allocation,none object poll,,,,4096725.0,ns,6984
multi thread allocation,none object poll,,,,4302108.0,ns,7178
multi thread allocation,none object poll,,,,4892590.0,ns,7372
multi thread allocation,none object poll,,,,4845516.0,ns,7566
multi thread allocation,none object poll,,,,4726751.0,ns,7760
multi thread allocation,none object poll,,,,4820208.0,ns,7954
multi thread allocation,none object poll,,,,5034769.0,ns,8148
multi thread allocation,none object poll,,,,5524952.0,ns,8342
multi thread allocation,none object poll,,,,5625818.0,ns,8536
multi thread allocation,none object poll,,,,5640870.0,ns,8730
multi thread allocation,none object poll,,,,5893017.0,ns,8924
multi thread allocation,none object poll,,,,5994020.0,ns,9118
multi thread allocation,none object poll,,,,6484716.0,ns,9312
multi thread allocation,none object poll,,,,6792806.0,ns,9506
multi thread allocation,none object poll,,,,6707337.0,ns,9700
multi thread allocation,none object poll,,,,6844041.0,ns,9894
multi thread allocation,none object poll,,,,7128225.0,ns,10088
multi thread allocation,none object poll,,,,7074979.0,ns,10282
multi thread allocation,none object poll,,,,7307968.0,ns,10476
multi thread allocation,none object poll,,,,7598332.0,ns,10670
multi thread allocation,none object poll,,,,7889974.0,ns,10864
multi thread allocation,none object poll,,,,7894030.0,ns,11058
multi thread allocation,none object poll,,,,8377626.0,ns,11252
multi thread allocation,none object poll,,,,8475652.0,ns,11446
multi thread allocation,none object poll,,,,8176991.0,ns,11640
multi thread allocation,none object poll,,,,8769342.0,ns,11834
multi thread allocation,none object poll,,,,8559582.0,ns,12028
multi thread allocation,none object poll,,,,8940617.0,ns,12222
multi thread allocation,none object poll,,,,9287774.0,ns,12416
multi thread allocation,none object poll,,,,9228390.0,ns,12610
multi thread allocation,none object poll,,,,9570281.0,ns,12804
multi thread allocation,none object poll,,,,9707127.0,ns,12998
multi thread allocation,none object poll,,,,9757438.0,ns,13192
multi thread allocation,none object poll,,,,9646727.0,ns,13386
multi thread allocation,none object poll,,,,10260216.0,ns,13580
multi thread allocation,none object poll,,,,10250010.0,ns,13774
multi thread allocation,none object poll,,,,10214627.0,ns,13968
multi thread allocation,none object poll,,,,10536843.0,ns,14162
multi thread allocation,none object poll,,,,10639186.0,ns,14356
multi thread allocation,none object poll,,,,11002701.0,ns,14550
multi thread allocation,none object poll,,,,10941112.0,ns,14744
multi thread allocation,none object poll,,,,11290796.0,ns,14938
multi thread allocation,none object poll,,,,11516718.0,ns,15132
multi thread allocation,none object poll,,,,11773798.0,ns,15326
multi thread allocation,none object poll,,,,11880325.0,ns,15520
multi thread allocation,none object poll,,,,11730702.0,ns,15714
multi thread allocation,none object poll,,,,11878083.0,ns,15908
multi thread allocation,none object poll,,,,12000440.0,ns,16102
multi thread allocation,none object poll,,,,10127515.0,ns,16296
multi thread allocation,none object poll,,,,12775734.0,ns,16490
multi thread allocation,none object poll,,,,12850128.0,ns,16684
multi thread allocation,none object poll,,,,13004699.0,ns,16878
multi thread allocation,none object poll,,,,12909340.0,ns,17072
multi thread allocation,none object poll,,,,13349022.0,ns,17266
multi thread allocation,none object poll,,,,13638364.0,ns,17460
multi thread allocation,none object poll,,,,13649567.0,ns,17654
multi thread allocation,none object poll,,,,13920349.0,ns,17848
multi thread allocation,none object poll,,,,13971376.0,ns,18042
multi thread allocation,none object poll,,,,14188074.0,ns,18236
multi thread allocation,none object poll,,,,14748580.0,ns,18430
multi thread allocation,none object poll,,,,16310938.0,ns,18624
multi thread allocation,none object poll,,,,14723836.0,ns,18818
multi thread allocation,none object poll,,,,15406486.0,ns,19012
multi thread allocation,none object poll,,,,14755223.0,ns,19206
multi thread allocation,none object poll,,,,15185401.0,ns,19400
