group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,spin_lock object poll,,,,150318.0,ns,81
multi thread allocation,spin_lock object poll,,,,269386.0,ns,162
multi thread allocation,spin_lock object poll,,,,285995.0,ns,243
multi thread allocation,spin_lock object poll,,,,387317.0,ns,324
multi thread allocation,spin_lock object poll,,,,511639.0,ns,405
multi thread allocation,spin_lock object poll,,,,527540.0,ns,486
multi thread allocation,spin_lock object poll,,,,523498.0,ns,567
multi thread allocation,spin_lock object poll,,,,520087.0,ns,648
multi thread allocation,spin_lock object poll,,,,538491.0,ns,729
multi thread allocation,spin_lock object poll,,,,683160.0,ns,810
multi thread allocation,spin_lock object poll,,,,628117.0,ns,891
multi thread allocation,spin_lock object poll,,,,734685.0,ns,972
multi thread allocation,spin_lock object poll,,,,650211.0,ns,1053
multi thread allocation,spin_lock object poll,,,,756428.0,ns,1134
multi thread allocation,spin_lock object poll,,,,640330.0,ns,1215
multi thread allocation,spin_lock object poll,,,,642218.0,ns,1296
multi thread allocation,spin_lock object poll,,,,606893.0,ns,1377
multi thread allocation,spin_lock object poll,,,,613680.0,ns,1458
multi thread allocation,spin_lock object poll,,,,699056.0,ns,1539
multi thread allocation,spin_lock object poll,,,,581437.0,ns,1620
multi thread allocation,spin_lock object poll,,,,589801.0,ns,1701
multi thread allocation,spin_lock object poll,,,,590588.0,ns,1782
multi thread allocation,spin_lock object poll,,,,598011.0,ns,1863
multi thread allocation,spin_lock object poll,,,,630222.0,ns,1944
multi thread allocation,spin_lock object poll,,,,586758.0,ns,2025
multi thread allocation,spin_lock object poll,,,,597396.0,ns,2106
multi thread allocation,spin_lock object poll,,,,645958.0,ns,2187
multi thread allocation,spin_lock object poll,,,,607963.0,ns,2268
multi thread allocation,spin_lock object poll,,,,652086.0,ns,2349
multi thread allocation,spin_lock object poll,,,,657066.0,ns,2430
multi thread allocation,spin_lock object poll,,,,683557.0,ns,2511
multi thread allocation,spin_lock object poll,,,,710102.0,ns,2592
multi thread allocation,spin_lock object poll,,,,723365.0,ns,2673
multi thread allocation,spin_lock object poll,,,,741055.0,ns,2754
multi thread allocation,spin_lock object poll,,,,742343.0,ns,2835
multi thread allocation,spin_lock object poll,,,,753754.0,ns,2916
multi thread allocation,spin_lock object poll,,,,732592.0,ns,2997
multi thread allocation,spin_lock object poll,,,,892774.0,ns,3078
multi thread allocation,spin_lock object poll,,,,5081469.0,ns,3159
multi thread allocation,spin_lock object poll,,,,5165966.0,ns,3240
multi thread allocation,spin_lock object poll,,,,5396735.0,ns,3321
multi thread allocation,spin_lock object poll,,,,5441016.0,ns,3402
multi thread allocation,spin_lock object poll,,,,5620303.0,ns,3483
multi thread allocation,spin_lock object poll,,,,5663830.0,ns,3564
multi thread allocation,spin_lock object poll,,,,5850608.0,ns,3645
multi thread allocation,spin_lock object poll,,,,6005374.0,ns,3726
multi thread allocation,spin_lock object poll,,,,6087991.0,ns,3807
multi thread allocation,spin_lock object poll,,,,6105323.0,ns,3888
multi thread allocation,spin_lock object poll,,,,6403531.0,ns,3969
multi thread allocation,spin_lock object poll,,,,6455106.0,ns,4050
multi thread allocation,spin_lock object poll,,,,6954555.0,ns,4131
multi thread allocation,spin_lock object poll,,,,7254838.0,ns,4212
multi thread allocation,spin_lock object poll,,,,7406684.0,ns,4293
multi thread allocation,spin_lock object poll,,,,7522498.0,ns,4374
multi thread allocation,spin_lock object poll,,,,7749468.0,ns,4455
multi thread allocation,spin_lock object poll,,,,7960315.0,ns,4536
multi thread allocation,spin_lock object poll,,,,8166742.0,ns,4617
multi thread allocation,spin_lock object poll,,,,8344143.0,ns,4698
multi thread allocation,spin_lock object poll,,,,8598900.0,ns,4779
multi thread allocation,spin_lock object poll,,,,8730245.0,ns,4860
multi thread allocation,spin_lock object poll,,,,8885655.0,ns,4941
multi thread allocation,spin_lock object poll,,,,9135332.0,ns,5022
multi thread allocation,spin_lock object poll,,,,9307455.0,ns,5103
multi thread allocation,spin_lock object poll,,,,9628735.0,ns,5184
multi thread allocation,spin_lock object poll,,,,9751720.0,ns,5265
multi thread allocation,spin_lock object poll,,,,9967069.0,ns,5346
multi thread allocation,spin_lock object poll,,,,9016111.0,ns,5427
multi thread allocation,spin_lock object poll,,,,10591734.0,ns,5508
multi thread allocation,spin_lock object poll,,,,10811244.0,ns,5589
multi thread allocation,spin_lock object poll,,,,10940381.0,ns,5670
multi thread allocation,spin_lock object poll,,,,11180384.0,ns,5751
multi thread allocation,spin_lock object poll,,,,11315598.0,ns,5832
multi thread allocation,spin_lock object poll,,,,11529746.0,ns,5913
multi thread allocation,spin_lock object poll,,,,11363960.0,ns,5994
multi thread allocation,spin_lock object poll,,,,12289824.0,ns,6075
multi thread allocation,spin_lock object poll,,,,11145779.0,ns,6156
multi thread allocation,spin_lock object poll,,,,12211166.0,ns,6237
multi thread allocation,spin_lock object poll,,,,12470358.0,ns,6318
multi thread allocation,spin_lock object poll,,,,10990318.0,ns,6399
multi thread allocation,spin_lock object poll,,,,12741649.0,ns,6480
multi thread allocation,spin_lock object poll,,,,13014478.0,ns,6561
multi thread allocation,spin_lock object poll,,,,13051478.0,ns,6642
multi thread allocation,spin_lock object poll,,,,13834080.0,ns,6723
multi thread allocation,spin_lock object poll,,,,13656263.0,ns,6804
multi thread allocation,spin_lock object poll,,,,13775036.0,ns,6885
multi thread allocation,spin_lock object poll,,,,14319023.0,ns,6966
multi thread allocation,spin_lock object poll,,,,14259042.0,ns,7047
multi thread allocation,spin_lock object poll,,,,14511015.0,ns,7128
multi thread allocation,spin_lock object poll,,,,13831647.0,ns,7209
multi thread allocation,spin_lock object poll,,,,14728667.0,ns,7290
multi thread allocation,spin_lock object poll,,,,15073962.0,ns,7371
multi thread allocation,spin_lock object poll,,,,15203730.0,ns,7452
multi thread allocation,spin_lock object poll,,,,15527177.0,ns,7533
multi thread allocation,spin_lock object poll,,,,15920633.0,ns,7614
multi thread allocation,spin_lock object poll,,,,16269690.0,ns,7695
multi thread allocation,spin_lock object poll,,,,15985101.0,ns,7776
multi thread allocation,spin_lock object poll,,,,16338558.0,ns,7857
multi thread allocation,spin_lock object poll,,,,16324650.0,ns,7938
multi thread allocation,spin_lock object poll,,,,17127459.0,ns,8019
multi thread allocation,spin_lock object poll,,,,17290970.0,ns,8100
