group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread allocation,spin_lock object poll,,,,174174.0,ns,80
multi thread allocation,spin_lock object poll,,,,179327.0,ns,160
multi thread allocation,spin_lock object poll,,,,153240.0,ns,240
multi thread allocation,spin_lock object poll,,,,187680.0,ns,320
multi thread allocation,spin_lock object poll,,,,191369.0,ns,400
multi thread allocation,spin_lock object poll,,,,178066.0,ns,480
multi thread allocation,spin_lock object poll,,,,237004.0,ns,560
multi thread allocation,spin_lock object poll,,,,191607.0,ns,640
multi thread allocation,spin_lock object poll,,,,238419.0,ns,720
multi thread allocation,spin_lock object poll,,,,235491.0,ns,800
multi thread allocation,spin_lock object poll,,,,210395.0,ns,880
multi thread allocation,spin_lock object poll,,,,215327.0,ns,960
multi thread allocation,spin_lock object poll,,,,239308.0,ns,1040
multi thread allocation,spin_lock object poll,,,,224049.0,ns,1120
multi thread allocation,spin_lock object poll,,,,230981.0,ns,1200
multi thread allocation,spin_lock object poll,,,,247131.0,ns,1280
multi thread allocation,spin_lock object poll,,,,229469.0,ns,1360
multi thread allocation,spin_lock object poll,,,,294310.0,ns,1440
multi thread allocation,spin_lock object poll,,,,248854.0,ns,1520
multi thread allocation,spin_lock object poll,,,,312698.0,ns,1600
multi thread allocation,spin_lock object poll,,,,257172.0,ns,1680
multi thread allocation,spin_lock object poll,,,,276346.0,ns,1760
multi thread allocation,spin_lock object poll,,,,275872.0,ns,1840
multi thread allocation,spin_lock object poll,,,,301315.0,ns,1920
multi thread allocation,spin_lock object poll,,,,354188.0,ns,2000
multi thread allocation,spin_lock object poll,,,,296951.0,ns,2080
multi thread allocation,spin_lock object poll,,,,312886.0,ns,2160
multi thread allocation,spin_lock object poll,,,,309690.0,ns,2240
multi thread allocation,spin_lock object poll,,,,330732.0,ns,2320
multi thread allocation,spin_lock object poll,,,,331134.0,ns,2400
multi thread allocation,spin_lock object poll,,,,352518.0,ns,2480
multi thread allocation,spin_lock object poll,,,,341007.0,ns,2560
multi thread allocation,spin_lock object poll,,,,359841.0,ns,2640
multi thread allocation,spin_lock object poll,,,,433119.0,ns,2720
