group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,crate 'object-pool',,,,24404.0,ns,190
multi thread free,crate 'object-pool',,,,9974.0,ns,380
multi thread free,crate 'object-pool',,,,17589.0,ns,570
multi thread free,crate 'object-pool',,,,27984.0,ns,760
multi thread free,crate 'object-pool',,,,36809.0,ns,950
multi thread free,crate 'object-pool',,,,50488.0,ns,1140
multi thread free,crate 'object-pool',,,,55814.0,ns,1330
multi thread free,crate 'object-pool',,,,66577.0,ns,1520
multi thread free,crate 'object-pool',,,,71966.0,ns,1710
multi thread free,crate 'object-pool',,,,84109.0,ns,1900
multi thread free,crate 'object-pool',,,,88410.0,ns,2090
multi thread free,crate 'object-pool',,,,100213.0,ns,2280
multi thread free,crate 'object-pool',,,,108224.0,ns,2470
multi thread free,crate 'object-pool',,,,103850.0,ns,2660
multi thread free,crate 'object-pool',,,,111494.0,ns,2850
multi thread free,crate 'object-pool',,,,118310.0,ns,3040
multi thread free,crate 'object-pool',,,,118536.0,ns,3230
multi thread free,crate 'object-pool',,,,143632.0,ns,3420
multi thread free,crate 'object-pool',,,,155860.0,ns,3610
multi thread free,crate 'object-pool',,,,168089.0,ns,3800
multi thread free,crate 'object-pool',,,,172951.0,ns,3990
multi thread free,crate 'object-pool',,,,181761.0,ns,4180
multi thread free,crate 'object-pool',,,,187544.0,ns,4370
multi thread free,crate 'object-pool',,,,177255.0,ns,4560
multi thread free,crate 'object-pool',,,,206058.0,ns,4750
multi thread free,crate 'object-pool',,,,239875.0,ns,4940
multi thread free,crate 'object-pool',,,,213528.0,ns,5130
multi thread free,crate 'object-pool',,,,235995.0,ns,5320
multi thread free,crate 'object-pool',,,,221547.0,ns,5510
multi thread free,crate 'object-pool',,,,236459.0,ns,5700
multi thread free,crate 'object-pool',,,,253706.0,ns,5890
multi thread free,crate 'object-pool',,,,269791.0,ns,6080
multi thread free,crate 'object-pool',,,,284320.0,ns,6270
multi thread free,crate 'object-pool',,,,290173.0,ns,6460
multi thread free,crate 'object-pool',,,,293798.0,ns,6650
multi thread free,crate 'object-pool',,,,300074.0,ns,6840
multi thread free,crate 'object-pool',,,,302458.0,ns,7030
multi thread free,crate 'object-pool',,,,302969.0,ns,7220
multi thread free,crate 'object-pool',,,,325950.0,ns,7410
multi thread free,crate 'object-pool',,,,309560.0,ns,7600
multi thread free,crate 'object-pool',,,,337881.0,ns,7790
multi thread free,crate 'object-pool',,,,330840.0,ns,7980
multi thread free,crate 'object-pool',,,,345983.0,ns,8170
multi thread free,crate 'object-pool',,,,380465.0,ns,8360
multi thread free,crate 'object-pool',,,,392104.0,ns,8550
multi thread free,crate 'object-pool',,,,398023.0,ns,8740
multi thread free,crate 'object-pool',,,,422819.0,ns,8930
multi thread free,crate 'object-pool',,,,402453.0,ns,9120
multi thread free,crate 'object-pool',,,,416147.0,ns,9310
multi thread free,crate 'object-pool',,,,418249.0,ns,9500
multi thread free,crate 'object-pool',,,,433164.0,ns,9690
multi thread free,crate 'object-pool',,,,452216.0,ns,9880
multi thread free,crate 'object-pool',,,,467712.0,ns,10070
multi thread free,crate 'object-pool',,,,454778.0,ns,10260
multi thread free,crate 'object-pool',,,,476318.0,ns,10450
multi thread free,crate 'object-pool',,,,501237.0,ns,10640
multi thread free,crate 'object-pool',,,,504961.0,ns,10830
multi thread free,crate 'object-pool',,,,498744.0,ns,11020
multi thread free,crate 'object-pool',,,,548619.0,ns,11210
multi thread free,crate 'object-pool',,,,475911.0,ns,11400
multi thread free,crate 'object-pool',,,,569664.0,ns,11590
multi thread free,crate 'object-pool',,,,524257.0,ns,11780
multi thread free,crate 'object-pool',,,,558298.0,ns,11970
multi thread free,crate 'object-pool',,,,554948.0,ns,12160
multi thread free,crate 'object-pool',,,,513623.0,ns,12350
multi thread free,crate 'object-pool',,,,632740.0,ns,12540
multi thread free,crate 'object-pool',,,,592822.0,ns,12730
multi thread free,crate 'object-pool',,,,653226.0,ns,12920
multi thread free,crate 'object-pool',,,,688243.0,ns,13110
multi thread free,crate 'object-pool',,,,628587.0,ns,13300
multi thread free,crate 'object-pool',,,,666024.0,ns,13490
multi thread free,crate 'object-pool',,,,713479.0,ns,13680
multi thread free,crate 'object-pool',,,,652061.0,ns,13870
multi thread free,crate 'object-pool',,,,644106.0,ns,14060
multi thread free,crate 'object-pool',,,,710554.0,ns,14250
multi thread free,crate 'object-pool',,,,723049.0,ns,14440
multi thread free,crate 'object-pool',,,,660528.0,ns,14630
multi thread free,crate 'object-pool',,,,517264.0,ns,14820
multi thread free,crate 'object-pool',,,,728166.0,ns,15010
multi thread free,crate 'object-pool',,,,757135.0,ns,15200
multi thread free,crate 'object-pool',,,,649633.0,ns,15390
multi thread free,crate 'object-pool',,,,712825.0,ns,15580
multi thread free,crate 'object-pool',,,,643438.0,ns,15770
multi thread free,crate 'object-pool',,,,589186.0,ns,15960
multi thread free,crate 'object-pool',,,,610730.0,ns,16150
multi thread free,crate 'object-pool',,,,593391.0,ns,16340
multi thread free,crate 'object-pool',,,,722660.0,ns,16530
multi thread free,crate 'object-pool',,,,747572.0,ns,16720
multi thread free,crate 'object-pool',,,,803289.0,ns,16910
multi thread free,crate 'object-pool',,,,817383.0,ns,17100
multi thread free,crate 'object-pool',,,,822876.0,ns,17290
multi thread free,crate 'object-pool',,,,632410.0,ns,17480
multi thread free,crate 'object-pool',,,,855490.0,ns,17670
multi thread free,crate 'object-pool',,,,886746.0,ns,17860
multi thread free,crate 'object-pool',,,,941300.0,ns,18050
multi thread free,crate 'object-pool',,,,873305.0,ns,18240
multi thread free,crate 'object-pool',,,,849013.0,ns,18430
multi thread free,crate 'object-pool',,,,839865.0,ns,18620
multi thread free,crate 'object-pool',,,,695579.0,ns,18810
multi thread free,crate 'object-pool',,,,824924.0,ns,19000
