group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,crate 'object-pool',,,,22034.0,ns,195
multi thread free,crate 'object-pool',,,,17809.0,ns,390
multi thread free,crate 'object-pool',,,,28393.0,ns,585
multi thread free,crate 'object-pool',,,,27369.0,ns,780
multi thread free,crate 'object-pool',,,,41253.0,ns,975
multi thread free,crate 'object-pool',,,,63217.0,ns,1170
multi thread free,crate 'object-pool',,,,55314.0,ns,1365
multi thread free,crate 'object-pool',,,,67789.0,ns,1560
multi thread free,crate 'object-pool',,,,188068.0,ns,1755
multi thread free,crate 'object-pool',,,,85988.0,ns,1950
multi thread free,crate 'object-pool',,,,90463.0,ns,2145
multi thread free,crate 'object-pool',,,,93492.0,ns,2340
multi thread free,crate 'object-pool',,,,91710.0,ns,2535
multi thread free,crate 'object-pool',,,,130984.0,ns,2730
multi thread free,crate 'object-pool',,,,114120.0,ns,2925
multi thread free,crate 'object-pool',,,,117463.0,ns,3120
multi thread free,crate 'object-pool',,,,147330.0,ns,3315
multi thread free,crate 'object-pool',,,,124975.0,ns,3510
multi thread free,crate 'object-pool',,,,147268.0,ns,3705
multi thread free,crate 'object-pool',,,,135085.0,ns,3900
multi thread free,crate 'object-pool',,,,150207.0,ns,4095
multi thread free,crate 'object-pool',,,,201379.0,ns,4290
multi thread free,crate 'object-pool',,,,166734.0,ns,4485
multi thread free,crate 'object-pool',,,,214279.0,ns,4680
multi thread free,crate 'object-pool',,,,228070.0,ns,4875
multi thread free,crate 'object-pool',,,,201878.0,ns,5070
multi thread free,crate 'object-pool',,,,214605.0,ns,5265
multi thread free,crate 'object-pool',,,,234034.0,ns,5460
multi thread free,crate 'object-pool',,,,247768.0,ns,5655
multi thread free,crate 'object-pool',,,,308462.0,ns,5850
multi thread free,crate 'object-pool',,,,258998.0,ns,6045
multi thread free,crate 'object-pool',,,,281405.0,ns,6240
multi thread free,crate 'object-pool',,,,328550.0,ns,6435
multi thread free,crate 'object-pool',,,,280200.0,ns,6630
multi thread free,crate 'object-pool',,,,306939.0,ns,6825
multi thread free,crate 'object-pool',,,,302063.0,ns,7020
multi thread free,crate 'object-pool',,,,308458.0,ns,7215
multi thread free,crate 'object-pool',,,,412409.0,ns,7410
multi thread free,crate 'object-pool',,,,342197.0,ns,7605
multi thread free,crate 'object-pool',,,,336762.0,ns,7800
multi thread free,crate 'object-pool',,,,382596.0,ns,7995
multi thread free,crate 'object-pool',,,,372606.0,ns,8190
multi thread free,crate 'object-pool',,,,378010.0,ns,8385
multi thread free,crate 'object-pool',,,,370573.0,ns,8580
multi thread free,crate 'object-pool',,,,399655.0,ns,8775
multi thread free,crate 'object-pool',,,,525439.0,ns,8970
multi thread free,crate 'object-pool',,,,396887.0,ns,9165
multi thread free,crate 'object-pool',,,,469733.0,ns,9360
multi thread free,crate 'object-pool',,,,519586.0,ns,9555
multi thread free,crate 'object-pool',,,,453386.0,ns,9750
multi thread free,crate 'object-pool',,,,445558.0,ns,9945
multi thread free,crate 'object-pool',,,,453062.0,ns,10140
multi thread free,crate 'object-pool',,,,456848.0,ns,10335
multi thread free,crate 'object-pool',,,,576347.0,ns,10530
multi thread free,crate 'object-pool',,,,455285.0,ns,10725
