group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,crate 'sharded-slab',,,,12081.0,ns,93
multi thread free,crate 'sharded-slab',,,,12647.0,ns,186
multi thread free,crate 'sharded-slab',,,,12457.0,ns,279
multi thread free,crate 'sharded-slab',,,,10736.0,ns,372
multi thread free,crate 'sharded-slab',,,,11428.0,ns,465
multi thread free,crate 'sharded-slab',,,,20199.0,ns,558
multi thread free,crate 'sharded-slab',,,,21029.0,ns,651
multi thread free,crate 'sharded-slab',,,,17384.0,ns,744
multi thread free,crate 'sharded-slab',,,,13063.0,ns,837
multi thread free,crate 'sharded-slab',,,,10061.0,ns,930
multi thread free,crate 'sharded-slab',,,,12637.0,ns,1023
multi thread free,crate 'sharded-slab',,,,24506.0,ns,1116
multi thread free,crate 'sharded-slab',,,,13753.0,ns,1209
multi thread free,crate 'sharded-slab',,,,15475.0,ns,1302
multi thread free,crate 'sharded-slab',,,,8803.0,ns,1395
multi thread free,crate 'sharded-slab',,,,15107.0,ns,1488
multi thread free,crate 'sharded-slab',,,,10512.0,ns,1581
multi thread free,crate 'sharded-slab',,,,11941.0,ns,1674
multi thread free,crate 'sharded-slab',,,,12370.0,ns,1767
multi thread free,crate 'sharded-slab',,,,5630.0,ns,1860
multi thread free,crate 'sharded-slab',,,,16377.0,ns,1953
multi thread free,crate 'sharded-slab',,,,16376.0,ns,2046
multi thread free,crate 'sharded-slab',,,,20176.0,ns,2139
multi thread free,crate 'sharded-slab',,,,22770.0,ns,2232
multi thread free,crate 'sharded-slab',,,,17337.0,ns,2325
multi thread free,crate 'sharded-slab',,,,10623.0,ns,2418
multi thread free,crate 'sharded-slab',,,,21282.0,ns,2511
multi thread free,crate 'sharded-slab',,,,20010.0,ns,2604
multi thread free,crate 'sharded-slab',,,,20729.0,ns,2697
multi thread free,crate 'sharded-slab',,,,20899.0,ns,2790
multi thread free,crate 'sharded-slab',,,,19458.0,ns,2883
multi thread free,crate 'sharded-slab',,,,16160.0,ns,2976
multi thread free,crate 'sharded-slab',,,,23194.0,ns,3069
multi thread free,crate 'sharded-slab',,,,21327.0,ns,3162
multi thread free,crate 'sharded-slab',,,,21429.0,ns,3255
multi thread free,crate 'sharded-slab',,,,21601.0,ns,3348
multi thread free,crate 'sharded-slab',,,,25907.0,ns,3441
multi thread free,crate 'sharded-slab',,,,16179.0,ns,3534
multi thread free,crate 'sharded-slab',,,,23391.0,ns,3627
multi thread free,crate 'sharded-slab',,,,24225.0,ns,3720
multi thread free,crate 'sharded-slab',,,,24289.0,ns,3813
multi thread free,crate 'sharded-slab',,,,24999.0,ns,3906
multi thread free,crate 'sharded-slab',,,,17611.0,ns,3999
multi thread free,crate 'sharded-slab',,,,28614.0,ns,4092
multi thread free,crate 'sharded-slab',,,,22570.0,ns,4185
multi thread free,crate 'sharded-slab',,,,28892.0,ns,4278
multi thread free,crate 'sharded-slab',,,,28954.0,ns,4371
multi thread free,crate 'sharded-slab',,,,25200.0,ns,4464
multi thread free,crate 'sharded-slab',,,,27763.0,ns,4557
multi thread free,crate 'sharded-slab',,,,35920.0,ns,4650
multi thread free,crate 'sharded-slab',,,,29685.0,ns,4743
multi thread free,crate 'sharded-slab',,,,35747.0,ns,4836
multi thread free,crate 'sharded-slab',,,,31629.0,ns,4929
multi thread free,crate 'sharded-slab',,,,31230.0,ns,5022
multi thread free,crate 'sharded-slab',,,,33318.0,ns,5115
multi thread free,crate 'sharded-slab',,,,31710.0,ns,5208
multi thread free,crate 'sharded-slab',,,,38748.0,ns,5301
multi thread free,crate 'sharded-slab',,,,33347.0,ns,5394
multi thread free,crate 'sharded-slab',,,,36667.0,ns,5487
multi thread free,crate 'sharded-slab',,,,39367.0,ns,5580
multi thread free,crate 'sharded-slab',,,,33618.0,ns,5673
multi thread free,crate 'sharded-slab',,,,41414.0,ns,5766
multi thread free,crate 'sharded-slab',,,,34580.0,ns,5859
multi thread free,crate 'sharded-slab',,,,36282.0,ns,5952
multi thread free,crate 'sharded-slab',,,,37183.0,ns,6045
multi thread free,crate 'sharded-slab',,,,36136.0,ns,6138
multi thread free,crate 'sharded-slab',,,,35849.0,ns,6231
multi thread free,crate 'sharded-slab',,,,33000.0,ns,6324
multi thread free,crate 'sharded-slab',,,,42506.0,ns,6417
multi thread free,crate 'sharded-slab',,,,39040.0,ns,6510
multi thread free,crate 'sharded-slab',,,,38836.0,ns,6603
multi thread free,crate 'sharded-slab',,,,40084.0,ns,6696
multi thread free,crate 'sharded-slab',,,,40170.0,ns,6789
multi thread free,crate 'sharded-slab',,,,39319.0,ns,6882
multi thread free,crate 'sharded-slab',,,,38462.0,ns,6975
multi thread free,crate 'sharded-slab',,,,40541.0,ns,7068
multi thread free,crate 'sharded-slab',,,,41024.0,ns,7161
multi thread free,crate 'sharded-slab',,,,47117.0,ns,7254
multi thread free,crate 'sharded-slab',,,,40646.0,ns,7347
multi thread free,crate 'sharded-slab',,,,42843.0,ns,7440
multi thread free,crate 'sharded-slab',,,,43596.0,ns,7533
multi thread free,crate 'sharded-slab',,,,42238.0,ns,7626
multi thread free,crate 'sharded-slab',,,,43974.0,ns,7719
multi thread free,crate 'sharded-slab',,,,43283.0,ns,7812
multi thread free,crate 'sharded-slab',,,,43356.0,ns,7905
multi thread free,crate 'sharded-slab',,,,43597.0,ns,7998
multi thread free,crate 'sharded-slab',,,,43761.0,ns,8091
multi thread free,crate 'sharded-slab',,,,55448.0,ns,8184
multi thread free,crate 'sharded-slab',,,,53638.0,ns,8277
multi thread free,crate 'sharded-slab',,,,56146.0,ns,8370
multi thread free,crate 'sharded-slab',,,,56926.0,ns,8463
multi thread free,crate 'sharded-slab',,,,56120.0,ns,8556
multi thread free,crate 'sharded-slab',,,,56670.0,ns,8649
multi thread free,crate 'sharded-slab',,,,59199.0,ns,8742
multi thread free,crate 'sharded-slab',,,,58254.0,ns,8835
multi thread free,crate 'sharded-slab',,,,62241.0,ns,8928
multi thread free,crate 'sharded-slab',,,,60027.0,ns,9021
multi thread free,crate 'sharded-slab',,,,58632.0,ns,9114
multi thread free,crate 'sharded-slab',,,,57355.0,ns,9207
multi thread free,crate 'sharded-slab',,,,60110.0,ns,9300
