group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,crate 'sharded-slab',,,,19685.0,ns,95
multi thread free,crate 'sharded-slab',,,,16182.0,ns,190
multi thread free,crate 'sharded-slab',,,,10239.0,ns,285
multi thread free,crate 'sharded-slab',,,,9222.0,ns,380
multi thread free,crate 'sharded-slab',,,,10676.0,ns,475
multi thread free,crate 'sharded-slab',,,,22148.0,ns,570
multi thread free,crate 'sharded-slab',,,,3497.0,ns,665
multi thread free,crate 'sharded-slab',,,,11291.0,ns,760
multi thread free,crate 'sharded-slab',,,,12376.0,ns,855
multi thread free,crate 'sharded-slab',,,,14909.0,ns,950
multi thread free,crate 'sharded-slab',,,,14122.0,ns,1045
multi thread free,crate 'sharded-slab',,,,16254.0,ns,1140
multi thread free,crate 'sharded-slab',,,,16834.0,ns,1235
multi thread free,crate 'sharded-slab',,,,18083.0,ns,1330
multi thread free,crate 'sharded-slab',,,,12644.0,ns,1425
multi thread free,crate 'sharded-slab',,,,17530.0,ns,1520
multi thread free,crate 'sharded-slab',,,,19959.0,ns,1615
multi thread free,crate 'sharded-slab',,,,17116.0,ns,1710
multi thread free,crate 'sharded-slab',,,,16348.0,ns,1805
multi thread free,crate 'sharded-slab',,,,15332.0,ns,1900
multi thread free,crate 'sharded-slab',,,,16353.0,ns,1995
multi thread free,crate 'sharded-slab',,,,23293.0,ns,2090
multi thread free,crate 'sharded-slab',,,,18224.0,ns,2185
multi thread free,crate 'sharded-slab',,,,21237.0,ns,2280
multi thread free,crate 'sharded-slab',,,,18740.0,ns,2375
multi thread free,crate 'sharded-slab',,,,19845.0,ns,2470
multi thread free,crate 'sharded-slab',,,,21914.0,ns,2565
multi thread free,crate 'sharded-slab',,,,20527.0,ns,2660
multi thread free,crate 'sharded-slab',,,,20817.0,ns,2755
multi thread free,crate 'sharded-slab',,,,15630.0,ns,2850
multi thread free,crate 'sharded-slab',,,,20364.0,ns,2945
multi thread free,crate 'sharded-slab',,,,22086.0,ns,3040
multi thread free,crate 'sharded-slab',,,,22089.0,ns,3135
multi thread free,crate 'sharded-slab',,,,21622.0,ns,3230
multi thread free,crate 'sharded-slab',,,,22986.0,ns,3325
multi thread free,crate 'sharded-slab',,,,25415.0,ns,3420
multi thread free,crate 'sharded-slab',,,,24688.0,ns,3515
multi thread free,crate 'sharded-slab',,,,23941.0,ns,3610
multi thread free,crate 'sharded-slab',,,,23925.0,ns,3705
multi thread free,crate 'sharded-slab',,,,24193.0,ns,3800
multi thread free,crate 'sharded-slab',,,,25223.0,ns,3895
multi thread free,crate 'sharded-slab',,,,27296.0,ns,3990
multi thread free,crate 'sharded-slab',,,,27414.0,ns,4085
multi thread free,crate 'sharded-slab',,,,29582.0,ns,4180
multi thread free,crate 'sharded-slab',,,,34010.0,ns,4275
multi thread free,crate 'sharded-slab',,,,29060.0,ns,4370
multi thread free,crate 'sharded-slab',,,,29512.0,ns,4465
multi thread free,crate 'sharded-slab',,,,29259.0,ns,4560
multi thread free,crate 'sharded-slab',,,,30777.0,ns,4655
multi thread free,crate 'sharded-slab',,,,31985.0,ns,4750
multi thread free,crate 'sharded-slab',,,,34030.0,ns,4845
multi thread free,crate 'sharded-slab',,,,30348.0,ns,4940
multi thread free,crate 'sharded-slab',,,,34204.0,ns,5035
multi thread free,crate 'sharded-slab',,,,32099.0,ns,5130
multi thread free,crate 'sharded-slab',,,,30588.0,ns,5225
multi thread free,crate 'sharded-slab',,,,33907.0,ns,5320
multi thread free,crate 'sharded-slab',,,,37908.0,ns,5415
multi thread free,crate 'sharded-slab',,,,34949.0,ns,5510
multi thread free,crate 'sharded-slab',,,,40058.0,ns,5605
multi thread free,crate 'sharded-slab',,,,34104.0,ns,5700
multi thread free,crate 'sharded-slab',,,,35066.0,ns,5795
multi thread free,crate 'sharded-slab',,,,36106.0,ns,5890
multi thread free,crate 'sharded-slab',,,,35209.0,ns,5985
multi thread free,crate 'sharded-slab',,,,37247.0,ns,6080
