group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,linear object poll,,,,17991.0,ns,11
multi thread free,linear object poll,,,,17900.0,ns,22
multi thread free,linear object poll,,,,1919.0,ns,33
multi thread free,linear object poll,,,,3692.0,ns,44
multi thread free,linear object poll,,,,1795.0,ns,55
multi thread free,linear object poll,,,,1803.0,ns,66
multi thread free,linear object poll,,,,1576.0,ns,77
multi thread free,linear object poll,,,,2652.0,ns,88
multi thread free,linear object poll,,,,1707.0,ns,99
multi thread free,linear object poll,,,,2374.0,ns,110
multi thread free,linear object poll,,,,3678.0,ns,121
multi thread free,linear object poll,,,,2885.0,ns,132
multi thread free,linear object poll,,,,2453.0,ns,143
multi thread free,linear object poll,,,,4388.0,ns,154
multi thread free,linear object poll,,,,3763.0,ns,165
multi thread free,linear object poll,,,,8609.0,ns,176
multi thread free,linear object poll,,,,6510.0,ns,187
multi thread free,linear object poll,,,,3522.0,ns,198
multi thread free,linear object poll,,,,2937.0,ns,209
multi thread free,linear object poll,,,,3393.0,ns,220
multi thread free,linear object poll,,,,4534.0,ns,231
multi thread free,linear object poll,,,,3363.0,ns,242
multi thread free,linear object poll,,,,2410.0,ns,253
multi thread free,linear object poll,,,,1889.0,ns,264
multi thread free,linear object poll,,,,3571.0,ns,275
multi thread free,linear object poll,,,,2690.0,ns,286
multi thread free,linear object poll,,,,9329.0,ns,297
multi thread free,linear object poll,,,,3699.0,ns,308
multi thread free,linear object poll,,,,9910.0,ns,319
multi thread free,linear object poll,,,,9215.0,ns,330
multi thread free,linear object poll,,,,3835.0,ns,341
multi thread free,linear object poll,,,,3250.0,ns,352
multi thread free,linear object poll,,,,4854.0,ns,363
multi thread free,linear object poll,,,,4564.0,ns,374
multi thread free,linear object poll,,,,3992.0,ns,385
multi thread free,linear object poll,,,,2941.0,ns,396
multi thread free,linear object poll,,,,3524.0,ns,407
multi thread free,linear object poll,,,,3665.0,ns,418
multi thread free,linear object poll,,,,3693.0,ns,429
multi thread free,linear object poll,,,,3283.0,ns,440
multi thread free,linear object poll,,,,7981.0,ns,451
multi thread free,linear object poll,,,,10273.0,ns,462
multi thread free,linear object poll,,,,9793.0,ns,473
multi thread free,linear object poll,,,,9912.0,ns,484
multi thread free,linear object poll,,,,4073.0,ns,495
multi thread free,linear object poll,,,,4286.0,ns,506
multi thread free,linear object poll,,,,3474.0,ns,517
multi thread free,linear object poll,,,,13028.0,ns,528
multi thread free,linear object poll,,,,3140.0,ns,539
multi thread free,linear object poll,,,,3183.0,ns,550
multi thread free,linear object poll,,,,7841.0,ns,561
multi thread free,linear object poll,,,,10600.0,ns,572
multi thread free,linear object poll,,,,14471.0,ns,583
multi thread free,linear object poll,,,,9392.0,ns,594
multi thread free,linear object poll,,,,8425.0,ns,605
multi thread free,linear object poll,,,,13522.0,ns,616
multi thread free,linear object poll,,,,10419.0,ns,627
multi thread free,linear object poll,,,,9096.0,ns,638
multi thread free,linear object poll,,,,10074.0,ns,649
multi thread free,linear object poll,,,,10625.0,ns,660
multi thread free,linear object poll,,,,19420.0,ns,671
multi thread free,linear object poll,,,,8512.0,ns,682
multi thread free,linear object poll,,,,11006.0,ns,693
multi thread free,linear object poll,,,,20700.0,ns,704
multi thread free,linear object poll,,,,12382.0,ns,715
multi thread free,linear object poll,,,,4053.0,ns,726
multi thread free,linear object poll,,,,4111.0,ns,737
multi thread free,linear object poll,,,,9657.0,ns,748
multi thread free,linear object poll,,,,9808.0,ns,759
multi thread free,linear object poll,,,,9206.0,ns,770
multi thread free,linear object poll,,,,10279.0,ns,781
multi thread free,linear object poll,,,,10050.0,ns,792
multi thread free,linear object poll,,,,8356.0,ns,803
multi thread free,linear object poll,,,,9954.0,ns,814
multi thread free,linear object poll,,,,10372.0,ns,825
multi thread free,linear object poll,,,,8084.0,ns,836
multi thread free,linear object poll,,,,10631.0,ns,847
multi thread free,linear object poll,,,,20077.0,ns,858
multi thread free,linear object poll,,,,12981.0,ns,869
multi thread free,linear object poll,,,,22299.0,ns,880
multi thread free,linear object poll,,,,26258.0,ns,891
multi thread free,linear object poll,,,,9350.0,ns,902
multi thread free,linear object poll,,,,22156.0,ns,913
multi thread free,linear object poll,,,,12958.0,ns,924
multi thread free,linear object poll,,,,19145.0,ns,935
multi thread free,linear object poll,,,,20626.0,ns,946
multi thread free,linear object poll,,,,3299.0,ns,957
multi thread free,linear object poll,,,,10508.0,ns,968
multi thread free,linear object poll,,,,10866.0,ns,979
multi thread free,linear object poll,,,,10855.0,ns,990
multi thread free,linear object poll,,,,8708.0,ns,1001
multi thread free,linear object poll,,,,10219.0,ns,1012
multi thread free,linear object poll,,,,10876.0,ns,1023
multi thread free,linear object poll,,,,12950.0,ns,1034
multi thread free,linear object poll,,,,10441.0,ns,1045
multi thread free,linear object poll,,,,20675.0,ns,1056
multi thread free,linear object poll,,,,19674.0,ns,1067
multi thread free,linear object poll,,,,21323.0,ns,1078
multi thread free,linear object poll,,,,25388.0,ns,1089
multi thread free,linear object poll,,,,4300.0,ns,1100
