group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,linear object poll,,,,12318.0,ns,11
multi thread free,linear object poll,,,,9241.0,ns,22
multi thread free,linear object poll,,,,1756.0,ns,33
multi thread free,linear object poll,,,,1465.0,ns,44
multi thread free,linear object poll,,,,1687.0,ns,55
multi thread free,linear object poll,,,,2830.0,ns,66
multi thread free,linear object poll,,,,11474.0,ns,77
multi thread free,linear object poll,,,,5977.0,ns,88
multi thread free,linear object poll,,,,2314.0,ns,99
multi thread free,linear object poll,,,,3586.0,ns,110
multi thread free,linear object poll,,,,1941.0,ns,121
multi thread free,linear object poll,,,,3366.0,ns,132
multi thread free,linear object poll,,,,4300.0,ns,143
multi thread free,linear object poll,,,,3577.0,ns,154
multi thread free,linear object poll,,,,1925.0,ns,165
multi thread free,linear object poll,,,,9004.0,ns,176
multi thread free,linear object poll,,,,6583.0,ns,187
multi thread free,linear object poll,,,,6659.0,ns,198
multi thread free,linear object poll,,,,3590.0,ns,209
multi thread free,linear object poll,,,,7817.0,ns,220
multi thread free,linear object poll,,,,6786.0,ns,231
multi thread free,linear object poll,,,,3140.0,ns,242
multi thread free,linear object poll,,,,3595.0,ns,253
multi thread free,linear object poll,,,,4060.0,ns,264
multi thread free,linear object poll,,,,7339.0,ns,275
multi thread free,linear object poll,,,,3578.0,ns,286
multi thread free,linear object poll,,,,8490.0,ns,297
multi thread free,linear object poll,,,,6996.0,ns,308
multi thread free,linear object poll,,,,3707.0,ns,319
multi thread free,linear object poll,,,,3806.0,ns,330
multi thread free,linear object poll,,,,7337.0,ns,341
multi thread free,linear object poll,,,,3138.0,ns,352
multi thread free,linear object poll,,,,6346.0,ns,363
multi thread free,linear object poll,,,,9655.0,ns,374
multi thread free,linear object poll,,,,5557.0,ns,385
multi thread free,linear object poll,,,,6406.0,ns,396
multi thread free,linear object poll,,,,4321.0,ns,407
multi thread free,linear object poll,,,,7043.0,ns,418
multi thread free,linear object poll,,,,7109.0,ns,429
multi thread free,linear object poll,,,,10104.0,ns,440
multi thread free,linear object poll,,,,9983.0,ns,451
multi thread free,linear object poll,,,,10374.0,ns,462
multi thread free,linear object poll,,,,8670.0,ns,473
multi thread free,linear object poll,,,,4233.0,ns,484
multi thread free,linear object poll,,,,7132.0,ns,495
multi thread free,linear object poll,,,,11521.0,ns,506
multi thread free,linear object poll,,,,2976.0,ns,517
multi thread free,linear object poll,,,,7235.0,ns,528
multi thread free,linear object poll,,,,3066.0,ns,539
multi thread free,linear object poll,,,,9182.0,ns,550
multi thread free,linear object poll,,,,10178.0,ns,561
multi thread free,linear object poll,,,,6830.0,ns,572
multi thread free,linear object poll,,,,9085.0,ns,583
multi thread free,linear object poll,,,,22808.0,ns,594
multi thread free,linear object poll,,,,14276.0,ns,605
multi thread free,linear object poll,,,,9248.0,ns,616
multi thread free,linear object poll,,,,9816.0,ns,627
multi thread free,linear object poll,,,,10881.0,ns,638
multi thread free,linear object poll,,,,19830.0,ns,649
multi thread free,linear object poll,,,,10756.0,ns,660
multi thread free,linear object poll,,,,5017.0,ns,671
multi thread free,linear object poll,,,,9897.0,ns,682
multi thread free,linear object poll,,,,7851.0,ns,693
multi thread free,linear object poll,,,,11280.0,ns,704
multi thread free,linear object poll,,,,11987.0,ns,715
multi thread free,linear object poll,,,,11664.0,ns,726
multi thread free,linear object poll,,,,9941.0,ns,737
multi thread free,linear object poll,,,,10030.0,ns,748
multi thread free,linear object poll,,,,10550.0,ns,759
multi thread free,linear object poll,,,,9917.0,ns,770
multi thread free,linear object poll,,,,7147.0,ns,781
multi thread free,linear object poll,,,,15294.0,ns,792
multi thread free,linear object poll,,,,9119.0,ns,803
multi thread free,linear object poll,,,,11187.0,ns,814
multi thread free,linear object poll,,,,8994.0,ns,825
multi thread free,linear object poll,,,,8075.0,ns,836
multi thread free,linear object poll,,,,8162.0,ns,847
multi thread free,linear object poll,,,,6823.0,ns,858
multi thread free,linear object poll,,,,9977.0,ns,869
multi thread free,linear object poll,,,,7098.0,ns,880
multi thread free,linear object poll,,,,8752.0,ns,891
multi thread free,linear object poll,,,,8438.0,ns,902
multi thread free,linear object poll,,,,7024.0,ns,913
multi thread free,linear object poll,,,,10510.0,ns,924
multi thread free,linear object poll,,,,8287.0,ns,935
multi thread free,linear object poll,,,,7770.0,ns,946
multi thread free,linear object poll,,,,15986.0,ns,957
multi thread free,linear object poll,,,,11690.0,ns,968
multi thread free,linear object poll,,,,8322.0,ns,979
multi thread free,linear object poll,,,,12655.0,ns,990
multi thread free,linear object poll,,,,12095.0,ns,1001
multi thread free,linear object poll,,,,14191.0,ns,1012
multi thread free,linear object poll,,,,14853.0,ns,1023
multi thread free,linear object poll,,,,14557.0,ns,1034
multi thread free,linear object poll,,,,13402.0,ns,1045
multi thread free,linear object poll,,,,10540.0,ns,1056
multi thread free,linear object poll,,,,18526.0,ns,1067
multi thread free,linear object poll,,,,15531.0,ns,1078
multi thread free,linear object poll,,,,13172.0,ns,1089
multi thread free,linear object poll,,,,13599.0,ns,1100
