group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,mutex object poll,,,,3864.0,ns,59
multi thread free,mutex object poll,,,,17354.0,ns,118
multi thread free,mutex object poll,,,,23845.0,ns,177
multi thread free,mutex object poll,,,,32953.0,ns,236
multi thread free,mutex object poll,,,,39558.0,ns,295
multi thread free,mutex object poll,,,,40395.0,ns,354
multi thread free,mutex object poll,,,,49096.0,ns,413
multi thread free,mutex object poll,,,,44584.0,ns,472
multi thread free,mutex object poll,,,,62421.0,ns,531
multi thread free,mutex object poll,,,,69126.0,ns,590
multi thread free,mutex object poll,,,,66609.0,ns,649
multi thread free,mutex object poll,,,,66512.0,ns,708
multi thread free,mutex object poll,,,,78868.0,ns,767
multi thread free,mutex object poll,,,,95470.0,ns,826
multi thread free,mutex object poll,,,,92206.0,ns,885
multi thread free,mutex object poll,,,,95261.0,ns,944
multi thread free,mutex object poll,,,,109880.0,ns,1003
multi thread free,mutex object poll,,,,103874.0,ns,1062
multi thread free,mutex object poll,,,,128698.0,ns,1121
multi thread free,mutex object poll,,,,110962.0,ns,1180
multi thread free,mutex object poll,,,,124260.0,ns,1239
multi thread free,mutex object poll,,,,135066.0,ns,1298
multi thread free,mutex object poll,,,,137576.0,ns,1357
multi thread free,mutex object poll,,,,95216.0,ns,1416
multi thread free,mutex object poll,,,,151663.0,ns,1475
multi thread free,mutex object poll,,,,138953.0,ns,1534
multi thread free,mutex object poll,,,,100393.0,ns,1593
multi thread free,mutex object poll,,,,165141.0,ns,1652
multi thread free,mutex object poll,,,,168447.0,ns,1711
multi thread free,mutex object poll,,,,147441.0,ns,1770
multi thread free,mutex object poll,,,,161618.0,ns,1829
multi thread free,mutex object poll,,,,194944.0,ns,1888
multi thread free,mutex object poll,,,,172117.0,ns,1947
multi thread free,mutex object poll,,,,204717.0,ns,2006
multi thread free,mutex object poll,,,,202630.0,ns,2065
multi thread free,mutex object poll,,,,220982.0,ns,2124
multi thread free,mutex object poll,,,,222710.0,ns,2183
multi thread free,mutex object poll,,,,234134.0,ns,2242
multi thread free,mutex object poll,,,,181067.0,ns,2301
multi thread free,mutex object poll,,,,227255.0,ns,2360
multi thread free,mutex object poll,,,,262760.0,ns,2419
multi thread free,mutex object poll,,,,254309.0,ns,2478
multi thread free,mutex object poll,,,,206520.0,ns,2537
multi thread free,mutex object poll,,,,234409.0,ns,2596
multi thread free,mutex object poll,,,,227686.0,ns,2655
multi thread free,mutex object poll,,,,268856.0,ns,2714
multi thread free,mutex object poll,,,,262428.0,ns,2773
multi thread free,mutex object poll,,,,290834.0,ns,2832
multi thread free,mutex object poll,,,,289646.0,ns,2891
multi thread free,mutex object poll,,,,273424.0,ns,2950
multi thread free,mutex object poll,,,,285592.0,ns,3009
multi thread free,mutex object poll,,,,266265.0,ns,3068
multi thread free,mutex object poll,,,,315283.0,ns,3127
multi thread free,mutex object poll,,,,315799.0,ns,3186
multi thread free,mutex object poll,,,,339829.0,ns,3245
multi thread free,mutex object poll,,,,369437.0,ns,3304
multi thread free,mutex object poll,,,,289993.0,ns,3363
multi thread free,mutex object poll,,,,339757.0,ns,3422
multi thread free,mutex object poll,,,,352773.0,ns,3481
multi thread free,mutex object poll,,,,353450.0,ns,3540
multi thread free,mutex object poll,,,,353483.0,ns,3599
multi thread free,mutex object poll,,,,369870.0,ns,3658
multi thread free,mutex object poll,,,,308027.0,ns,3717
multi thread free,mutex object poll,,,,395687.0,ns,3776
multi thread free,mutex object poll,,,,313396.0,ns,3835
multi thread free,mutex object poll,,,,401797.0,ns,3894
multi thread free,mutex object poll,,,,410187.0,ns,3953
multi thread free,mutex object poll,,,,378215.0,ns,4012
multi thread free,mutex object poll,,,,418665.0,ns,4071
multi thread free,mutex object poll,,,,385653.0,ns,4130
multi thread free,mutex object poll,,,,322276.0,ns,4189
multi thread free,mutex object poll,,,,400219.0,ns,4248
multi thread free,mutex object poll,,,,408773.0,ns,4307
multi thread free,mutex object poll,,,,436772.0,ns,4366
multi thread free,mutex object poll,,,,434655.0,ns,4425
multi thread free,mutex object poll,,,,444945.0,ns,4484
multi thread free,mutex object poll,,,,467794.0,ns,4543
multi thread free,mutex object poll,,,,411469.0,ns,4602
multi thread free,mutex object poll,,,,481940.0,ns,4661
multi thread free,mutex object poll,,,,445498.0,ns,4720
multi thread free,mutex object poll,,,,482119.0,ns,4779
multi thread free,mutex object poll,,,,448020.0,ns,4838
multi thread free,mutex object poll,,,,429316.0,ns,4897
multi thread free,mutex object poll,,,,532396.0,ns,4956
multi thread free,mutex object poll,,,,512628.0,ns,5015
multi thread free,mutex object poll,,,,440890.0,ns,5074
multi thread free,mutex object poll,,,,560054.0,ns,5133
multi thread free,mutex object poll,,,,567319.0,ns,5192
multi thread free,mutex object poll,,,,525246.0,ns,5251
multi thread free,mutex object poll,,,,540840.0,ns,5310
multi thread free,mutex object poll,,,,578413.0,ns,5369
multi thread free,mutex object poll,,,,566732.0,ns,5428
multi thread free,mutex object poll,,,,541551.0,ns,5487
multi thread free,mutex object poll,,,,530454.0,ns,5546
multi thread free,mutex object poll,,,,579331.0,ns,5605
multi thread free,mutex object poll,,,,509292.0,ns,5664
multi thread free,mutex object poll,,,,553766.0,ns,5723
multi thread free,mutex object poll,,,,579798.0,ns,5782
multi thread free,mutex object poll,,,,565508.0,ns,5841
multi thread free,mutex object poll,,,,593579.0,ns,5900
