group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,mutex object poll,,,,10114.0,ns,59
multi thread free,mutex object poll,,,,15603.0,ns,118
multi thread free,mutex object poll,,,,21893.0,ns,177
multi thread free,mutex object poll,,,,26710.0,ns,236
multi thread free,mutex object poll,,,,32945.0,ns,295
multi thread free,mutex object poll,,,,38391.0,ns,354
multi thread free,mutex object poll,,,,45310.0,ns,413
multi thread free,mutex object poll,,,,50520.0,ns,472
multi thread free,mutex object poll,,,,56953.0,ns,531
multi thread free,mutex object poll,,,,56922.0,ns,590
multi thread free,mutex object poll,,,,75688.0,ns,649
multi thread free,mutex object poll,,,,74407.0,ns,708
multi thread free,mutex object poll,,,,78129.0,ns,767
multi thread free,mutex object poll,,,,79722.0,ns,826
multi thread free,mutex object poll,,,,86108.0,ns,885
multi thread free,mutex object poll,,,,98202.0,ns,944
multi thread free,mutex object poll,,,,94959.0,ns,1003
multi thread free,mutex object poll,,,,115881.0,ns,1062
multi thread free,mutex object poll,,,,111057.0,ns,1121
multi thread free,mutex object poll,,,,113001.0,ns,1180
multi thread free,mutex object poll,,,,116415.0,ns,1239
multi thread free,mutex object poll,,,,136376.0,ns,1298
multi thread free,mutex object poll,,,,138624.0,ns,1357
multi thread free,mutex object poll,,,,147254.0,ns,1416
multi thread free,mutex object poll,,,,136764.0,ns,1475
multi thread free,mutex object poll,,,,157483.0,ns,1534
multi thread free,mutex object poll,,,,173691.0,ns,1593
multi thread free,mutex object poll,,,,167109.0,ns,1652
multi thread free,mutex object poll,,,,179343.0,ns,1711
multi thread free,mutex object poll,,,,198913.0,ns,1770
multi thread free,mutex object poll,,,,180429.0,ns,1829
multi thread free,mutex object poll,,,,182404.0,ns,1888
multi thread free,mutex object poll,,,,173445.0,ns,1947
multi thread free,mutex object poll,,,,217443.0,ns,2006
multi thread free,mutex object poll,,,,212275.0,ns,2065
multi thread free,mutex object poll,,,,214430.0,ns,2124
multi thread free,mutex object poll,,,,225838.0,ns,2183
multi thread free,mutex object poll,,,,229095.0,ns,2242
multi thread free,mutex object poll,,,,232882.0,ns,2301
multi thread free,mutex object poll,,,,223328.0,ns,2360
multi thread free,mutex object poll,,,,241511.0,ns,2419
multi thread free,mutex object poll,,,,255207.0,ns,2478
multi thread free,mutex object poll,,,,239118.0,ns,2537
multi thread free,mutex object poll,,,,279295.0,ns,2596
multi thread free,mutex object poll,,,,269602.0,ns,2655
multi thread free,mutex object poll,,,,268971.0,ns,2714
multi thread free,mutex object poll,,,,274885.0,ns,2773
multi thread free,mutex object poll,,,,317578.0,ns,2832
multi thread free,mutex object poll,,,,285385.0,ns,2891
multi thread free,mutex object poll,,,,303773.0,ns,2950
multi thread free,mutex object poll,,,,303264.0,ns,3009
multi thread free,mutex object poll,,,,298288.0,ns,3068
multi thread free,mutex object poll,,,,297883.0,ns,3127
multi thread free,mutex object poll,,,,230967.0,ns,3186
multi thread free,mutex object poll,,,,342261.0,ns,3245
multi thread free,mutex object poll,,,,334333.0,ns,3304
multi thread free,mutex object poll,,,,300549.0,ns,3363
multi thread free,mutex object poll,,,,356731.0,ns,3422
multi thread free,mutex object poll,,,,346299.0,ns,3481
multi thread free,mutex object poll,,,,377369.0,ns,3540
multi thread free,mutex object poll,,,,321072.0,ns,3599
multi thread free,mutex object poll,,,,360898.0,ns,3658
multi thread free,mutex object poll,,,,385874.0,ns,3717
multi thread free,mutex object poll,,,,378868.0,ns,3776
multi thread free,mutex object poll,,,,397790.0,ns,3835
multi thread free,mutex object poll,,,,407511.0,ns,3894
multi thread free,mutex object poll,,,,420045.0,ns,3953
multi thread free,mutex object poll,,,,429370.0,ns,4012
multi thread free,mutex object poll,,,,428015.0,ns,4071
multi thread free,mutex object poll,,,,418515.0,ns,4130
multi thread free,mutex object poll,,,,348905.0,ns,4189
multi thread free,mutex object poll,,,,417899.0,ns,4248
multi thread free,mutex object poll,,,,462367.0,ns,4307
multi thread free,mutex object poll,,,,449515.0,ns,4366
multi thread free,mutex object poll,,,,440578.0,ns,4425
multi thread free,mutex object poll,,,,375267.0,ns,4484
multi thread free,mutex object poll,,,,440327.0,ns,4543
multi thread free,mutex object poll,,,,481550.0,ns,4602
multi thread free,mutex object poll,,,,476777.0,ns,4661
multi thread free,mutex object poll,,,,462313.0,ns,4720
multi thread free,mutex object poll,,,,460890.0,ns,4779
multi thread free,mutex object poll,,,,433726.0,ns,4838
multi thread free,mutex object poll,,,,417809.0,ns,4897
multi thread free,mutex object poll,,,,519761.0,ns,4956
multi thread free,mutex object poll,,,,481448.0,ns,5015
multi thread free,mutex object poll,,,,448770.0,ns,5074
multi thread free,mutex object poll,,,,492341.0,ns,5133
multi thread free,mutex object poll,,,,501415.0,ns,5192
multi thread free,mutex object poll,,,,562628.0,ns,5251
multi thread free,mutex object poll,,,,555770.0,ns,5310
multi thread free,mutex object poll,,,,560904.0,ns,5369
multi thread free,mutex object poll,,,,490792.0,ns,5428
multi thread free,mutex object poll,,,,595588.0,ns,5487
multi thread free,mutex object poll,,,,584781.0,ns,5546
multi thread free,mutex object poll,,,,606109.0,ns,5605
multi thread free,mutex object poll,,,,583975.0,ns,5664
multi thread free,mutex object poll,,,,547764.0,ns,5723
multi thread free,mutex object poll,,,,594490.0,ns,5782
multi thread free,mutex object poll,,,,504268.0,ns,5841
multi thread free,mutex object poll,,,,598090.0,ns,5900
