group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,none object poll,,,,17987.0,ns,194
multi thread free,none object poll,,,,9790.0,ns,388
multi thread free,none object poll,,,,15231.0,ns,582
multi thread free,none object poll,,,,18766.0,ns,776
multi thread free,none object poll,,,,24355.0,ns,970
multi thread free,none object poll,,,,28755.0,ns,1164
multi thread free,none object poll,,,,37640.0,ns,1358
multi thread free,none object poll,,,,44637.0,ns,1552
multi thread free,none object poll,,,,40626.0,ns,1746
multi thread free,none object poll,,,,51022.0,ns,1940
multi thread free,none object poll,,,,60995.0,ns,2134
multi thread free,none object poll,,,,67037.0,ns,2328
multi thread free,none object poll,,,,75681.0,ns,2522
multi thread free,none object poll,,,,92471.0,ns,2716
multi thread free,none object poll,,,,82391.0,ns,2910
multi thread free,none object poll,,,,432340.0,ns,3104
multi thread free,none object poll,,,,264257.0,ns,3298
multi thread free,none object poll,,,,264502.0,ns,3492
multi thread free,none object poll,,,,219819.0,ns,3686
multi thread free,none object poll,,,,206751.0,ns,3880
multi thread free,none object poll,,,,239562.0,ns,4074
multi thread free,none object poll,,,,242435.0,ns,4268
multi thread free,none object poll,,,,262129.0,ns,4462
multi thread free,none object poll,,,,262090.0,ns,4656
multi thread free,none object poll,,,,273935.0,ns,4850
multi thread free,none object poll,,,,280239.0,ns,5044
multi thread free,none object poll,,,,288728.0,ns,5238
multi thread free,none object poll,,,,312178.0,ns,5432
multi thread free,none object poll,,,,286801.0,ns,5626
multi thread free,none object poll,,,,319998.0,ns,5820
multi thread free,none object poll,,,,332281.0,ns,6014
multi thread free,none object poll,,,,322344.0,ns,6208
multi thread free,none object poll,,,,329252.0,ns,6402
multi thread free,none object poll,,,,341391.0,ns,6596
multi thread free,none object poll,,,,377875.0,ns,6790
multi thread free,none object poll,,,,362013.0,ns,6984
multi thread free,none object poll,,,,603237.0,ns,7178
multi thread free,none object poll,,,,475612.0,ns,7372
multi thread free,none object poll,,,,658964.0,ns,7566
multi thread free,none object poll,,,,681277.0,ns,7760
multi thread free,none object poll,,,,523255.0,ns,7954
multi thread free,none object poll,,,,547149.0,ns,8148
multi thread free,none object poll,,,,635164.0,ns,8342
multi thread free,none object poll,,,,664353.0,ns,8536
multi thread free,none object poll,,,,704201.0,ns,8730
multi thread free,none object poll,,,,817363.0,ns,8924
multi thread free,none object poll,,,,845936.0,ns,9118
multi thread free,none object poll,,,,815523.0,ns,9312
multi thread free,none object poll,,,,909808.0,ns,9506
multi thread free,none object poll,,,,846307.0,ns,9700
multi thread free,none object poll,,,,882955.0,ns,9894
multi thread free,none object poll,,,,1083840.0,ns,10088
multi thread free,none object poll,,,,1112263.0,ns,10282
multi thread free,none object poll,,,,1132524.0,ns,10476
multi thread free,none object poll,,,,1153824.0,ns,10670
multi thread free,none object poll,,,,1201670.0,ns,10864
multi thread free,none object poll,,,,1256675.0,ns,11058
multi thread free,none object poll,,,,1152934.0,ns,11252
multi thread free,none object poll,,,,1338235.0,ns,11446
multi thread free,none object poll,,,,1085330.0,ns,11640
multi thread free,none object poll,,,,1130037.0,ns,11834
multi thread free,none object poll,,,,1386416.0,ns,12028
multi thread free,none object poll,,,,1442416.0,ns,12222
multi thread free,none object poll,,,,1818742.0,ns,12416
multi thread free,none object poll,,,,1845677.0,ns,12610
multi thread free,none object poll,,,,1901513.0,ns,12804
multi thread free,none object poll,,,,1700923.0,ns,12998
multi thread free,none object poll,,,,1786570.0,ns,13192
multi thread free,none object poll,,,,1962105.0,ns,13386
multi thread free,none object poll,,,,2011486.0,ns,13580
multi thread free,none object poll,,,,2053343.0,ns,13774
multi thread free,none object poll,,,,2107367.0,ns,13968
multi thread free,none object poll,,,,2104758.0,ns,14162
multi thread free,none object poll,,,,2086807.0,ns,14356
multi thread free,none object poll,,,,1889145.0,ns,14550
multi thread free,none object poll,,,,1953754.0,ns,14744
multi thread free,none object poll,,,,1981949.0,ns,14938
multi thread free,none object poll,,,,2031361.0,ns,15132
multi thread free,none object poll,,,,2011380.0,ns,15326
multi thread free,none object poll,,,,2003338.0,ns,15520
multi thread free,none object poll,,,,2061042.0,ns,15714
multi thread free,none object poll,,,,2070453.0,ns,15908
multi thread free,none object poll,,,,2071881.0,ns,16102
multi thread free,none object poll,,,,2114550.0,ns,16296
multi thread free,none object poll,,,,2224910.0,ns,16490
multi thread free,none object poll,,,,2222118.0,ns,16684
multi thread free,none object poll,,,,2274877.0,ns,16878
multi thread free,none object poll,,,,2262903.0,ns,17072
multi thread free,none object poll,,,,2328102.0,ns,17266
multi thread free,none object poll,,,,2256418.0,ns,17460
multi thread free,none object poll,,,,2372823.0,ns,17654
multi thread free,none object poll,,,,2400091.0,ns,17848
multi thread free,none object poll,,,,2432178.0,ns,18042
multi thread free,none object poll,,,,2437641.0,ns,18236
multi thread free,none object poll,,,,2562439.0,ns,18430
multi thread free,none object poll,,,,2462835.0,ns,18624
multi thread free,none object poll,,,,2570236.0,ns,18818
multi thread free,none object poll,,,,2610708.0,ns,19012
multi thread free,none object poll,,,,2686876.0,ns,19206
multi thread free,none object poll,,,,2662300.0,ns,19400
