group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,none object poll,,,,17774.0,ns,196
multi thread free,none object poll,,,,12527.0,ns,392
multi thread free,none object poll,,,,11647.0,ns,588
multi thread free,none object poll,,,,13322.0,ns,784
multi thread free,none object poll,,,,19842.0,ns,980
multi thread free,none object poll,,,,24383.0,ns,1176
multi thread free,none object poll,,,,36152.0,ns,1372
multi thread free,none object poll,,,,34653.0,ns,1568
multi thread free,none object poll,,,,37815.0,ns,1764
multi thread free,none object poll,,,,45530.0,ns,1960
multi thread free,none object poll,,,,52925.0,ns,2156
multi thread free,none object poll,,,,61318.0,ns,2352
multi thread free,none object poll,,,,64705.0,ns,2548
multi thread free,none object poll,,,,78505.0,ns,2744
multi thread free,none object poll,,,,69882.0,ns,2940
multi thread free,none object poll,,,,272299.0,ns,3136
multi thread free,none object poll,,,,190359.0,ns,3332
multi thread free,none object poll,,,,220613.0,ns,3528
multi thread free,none object poll,,,,216278.0,ns,3724
multi thread free,none object poll,,,,234115.0,ns,3920
multi thread free,none object poll,,,,237191.0,ns,4116
multi thread free,none object poll,,,,233224.0,ns,4312
multi thread free,none object poll,,,,263279.0,ns,4508
multi thread free,none object poll,,,,247331.0,ns,4704
multi thread free,none object poll,,,,261425.0,ns,4900
multi thread free,none object poll,,,,238199.0,ns,5096
multi thread free,none object poll,,,,263375.0,ns,5292
multi thread free,none object poll,,,,247748.0,ns,5488
multi thread free,none object poll,,,,291444.0,ns,5684
multi thread free,none object poll,,,,289839.0,ns,5880
multi thread free,none object poll,,,,317755.0,ns,6076
multi thread free,none object poll,,,,347757.0,ns,6272
multi thread free,none object poll,,,,317899.0,ns,6468
multi thread free,none object poll,,,,331477.0,ns,6664
multi thread free,none object poll,,,,341405.0,ns,6860
multi thread free,none object poll,,,,321674.0,ns,7056
multi thread free,none object poll,,,,385834.0,ns,7252
multi thread free,none object poll,,,,568393.0,ns,7448
multi thread free,none object poll,,,,371027.0,ns,7644
multi thread free,none object poll,,,,439627.0,ns,7840
multi thread free,none object poll,,,,623728.0,ns,8036
multi thread free,none object poll,,,,804369.0,ns,8232
multi thread free,none object poll,,,,809238.0,ns,8428
multi thread free,none object poll,,,,861871.0,ns,8624
multi thread free,none object poll,,,,606711.0,ns,8820
multi thread free,none object poll,,,,644274.0,ns,9016
multi thread free,none object poll,,,,692268.0,ns,9212
multi thread free,none object poll,,,,700861.0,ns,9408
multi thread free,none object poll,,,,780814.0,ns,9604
multi thread free,none object poll,,,,888969.0,ns,9800
multi thread free,none object poll,,,,902729.0,ns,9996
multi thread free,none object poll,,,,773523.0,ns,10192
multi thread free,none object poll,,,,844206.0,ns,10388
multi thread free,none object poll,,,,1064323.0,ns,10584
multi thread free,none object poll,,,,1039950.0,ns,10780
multi thread free,none object poll,,,,1097849.0,ns,10976
multi thread free,none object poll,,,,1160663.0,ns,11172
multi thread free,none object poll,,,,1162063.0,ns,11368
multi thread free,none object poll,,,,1017303.0,ns,11564
multi thread free,none object poll,,,,1042546.0,ns,11760
multi thread free,none object poll,,,,1258960.0,ns,11956
multi thread free,none object poll,,,,1309426.0,ns,12152
multi thread free,none object poll,,,,1601626.0,ns,12348
multi thread free,none object poll,,,,1679009.0,ns,12544
multi thread free,none object poll,,,,1688413.0,ns,12740
multi thread free,none object poll,,,,1535245.0,ns,12936
multi thread free,none object poll,,,,1666541.0,ns,13132
multi thread free,none object poll,,,,1540912.0,ns,13328
multi thread free,none object poll,,,,1753874.0,ns,13524
multi thread free,none object poll,,,,1752314.0,ns,13720
multi thread free,none object poll,,,,1690271.0,ns,13916
multi thread free,none object poll,,,,1736462.0,ns,14112
multi thread free,none object poll,,,,1805126.0,ns,14308
multi thread free,none object poll,,,,1833405.0,ns,14504
multi thread free,none object poll,,,,1582013.0,ns,14700
multi thread free,none object poll,,,,1879049.0,ns,14896
multi thread free,none object poll,,,,1938978.0,ns,15092
multi thread free,none object poll,,,,1932364.0,ns,15288
multi thread free,none object poll,,,,1951499.0,ns,15484
multi thread free,none object poll,,,,2015290.0,ns,15680
multi thread free,none object poll,,,,2010199.0,ns,15876
multi thread free,none object poll,,,,2071020.0,ns,16072
multi thread free,none object poll,,,,2038153.0,ns,16268
multi thread free,none object poll,,,,2065369.0,ns,16464
multi thread free,none object poll,,,,2178516.0,ns,16660
multi thread free,none object poll,,,,2045747.0,ns,16856
multi thread free,none object poll,,,,2238751.0,ns,17052
multi thread free,none object poll,,,,2288840.0,ns,17248
multi thread free,none object poll,,,,2296289.0,ns,17444
multi thread free,none object poll,,,,2179825.0,ns,17640
multi thread free,none object poll,,,,2309202.0,ns,17836
multi thread free,none object poll,,,,2391704.0,ns,18032
multi thread free,none object poll,,,,2397652.0,ns,18228
multi thread free,none object poll,,,,2274403.0,ns,18424
multi thread free,none object poll,,,,2400077.0,ns,18620
multi thread free,none object poll,,,,2356400.0,ns,18816
multi thread free,none object poll,,,,2415238.0,ns,19012
multi thread free,none object poll,,,,2829033.0,ns,19208
multi thread free,none object poll,,,,2849164.0,ns,19404
multi thread free,none object poll,,,,3017954.0,ns,19600
