group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,spin_lock object poll,,,,14105.0,ns,82
multi thread free,spin_lock object poll,,,,14474.0,ns,164
multi thread free,spin_lock object poll,,,,19032.0,ns,246
multi thread free,spin_lock object poll,,,,24048.0,ns,328
multi thread free,spin_lock object poll,,,,21833.0,ns,410
multi thread free,spin_lock object poll,,,,23180.0,ns,492
multi thread free,spin_lock object poll,,,,33644.0,ns,574
multi thread free,spin_lock object poll,,,,47585.0,ns,656
multi thread free,spin_lock object poll,,,,34014.0,ns,738
multi thread free,spin_lock object poll,,,,38143.0,ns,820
multi thread free,spin_lock object poll,,,,43129.0,ns,902
multi thread free,spin_lock object poll,,,,45099.0,ns,984
multi thread free,spin_lock object poll,,,,58050.0,ns,1066
multi thread free,spin_lock object poll,,,,67451.0,ns,1148
multi thread free,spin_lock object poll,,,,64132.0,ns,1230
multi thread free,spin_lock object poll,,,,66440.0,ns,1312
multi thread free,spin_lock object poll,,,,79534.0,ns,1394
multi thread free,spin_lock object poll,,,,79254.0,ns,1476
multi thread free,spin_lock object poll,,,,73394.0,ns,1558
multi thread free,spin_lock object poll,,,,75249.0,ns,1640
multi thread free,spin_lock object poll,,,,89390.0,ns,1722
multi thread free,spin_lock object poll,,,,94967.0,ns,1804
multi thread free,spin_lock object poll,,,,90693.0,ns,1886
multi thread free,spin_lock object poll,,,,93926.0,ns,1968
multi thread free,spin_lock object poll,,,,104162.0,ns,2050
multi thread free,spin_lock object poll,,,,106053.0,ns,2132
multi thread free,spin_lock object poll,,,,98962.0,ns,2214
multi thread free,spin_lock object poll,,,,105795.0,ns,2296
multi thread free,spin_lock object poll,,,,116671.0,ns,2378
multi thread free,spin_lock object poll,,,,114859.0,ns,2460
multi thread free,spin_lock object poll,,,,118038.0,ns,2542
multi thread free,spin_lock object poll,,,,128870.0,ns,2624
multi thread free,spin_lock object poll,,,,160194.0,ns,2706
multi thread free,spin_lock object poll,,,,132470.0,ns,2788
multi thread free,spin_lock object poll,,,,140489.0,ns,2870
multi thread free,spin_lock object poll,,,,144731.0,ns,2952
multi thread free,spin_lock object poll,,,,138387.0,ns,3034
multi thread free,spin_lock object poll,,,,159200.0,ns,3116
multi thread free,spin_lock object poll,,,,150169.0,ns,3198
multi thread free,spin_lock object poll,,,,146442.0,ns,3280
multi thread free,spin_lock object poll,,,,154153.0,ns,3362
multi thread free,spin_lock object poll,,,,156922.0,ns,3444
multi thread free,spin_lock object poll,,,,156160.0,ns,3526
multi thread free,spin_lock object poll,,,,171971.0,ns,3608
multi thread free,spin_lock object poll,,,,174984.0,ns,3690
multi thread free,spin_lock object poll,,,,174530.0,ns,3772
multi thread free,spin_lock object poll,,,,183695.0,ns,3854
multi thread free,spin_lock object poll,,,,174705.0,ns,3936
multi thread free,spin_lock object poll,,,,197763.0,ns,4018
multi thread free,spin_lock object poll,,,,185633.0,ns,4100
multi thread free,spin_lock object poll,,,,194914.0,ns,4182
multi thread free,spin_lock object poll,,,,205082.0,ns,4264
multi thread free,spin_lock object poll,,,,157742.0,ns,4346
multi thread free,spin_lock object poll,,,,248003.0,ns,4428
multi thread free,spin_lock object poll,,,,219270.0,ns,4510
multi thread free,spin_lock object poll,,,,216669.0,ns,4592
multi thread free,spin_lock object poll,,,,227742.0,ns,4674
multi thread free,spin_lock object poll,,,,251500.0,ns,4756
multi thread free,spin_lock object poll,,,,217399.0,ns,4838
multi thread free,spin_lock object poll,,,,241986.0,ns,4920
multi thread free,spin_lock object poll,,,,273327.0,ns,5002
multi thread free,spin_lock object poll,,,,243404.0,ns,5084
multi thread free,spin_lock object poll,,,,230349.0,ns,5166
multi thread free,spin_lock object poll,,,,237836.0,ns,5248
multi thread free,spin_lock object poll,,,,238947.0,ns,5330
multi thread free,spin_lock object poll,,,,250334.0,ns,5412
multi thread free,spin_lock object poll,,,,261008.0,ns,5494
multi thread free,spin_lock object poll,,,,270619.0,ns,5576
multi thread free,spin_lock object poll,,,,267676.0,ns,5658
multi thread free,spin_lock object poll,,,,265386.0,ns,5740
multi thread free,spin_lock object poll,,,,271337.0,ns,5822
multi thread free,spin_lock object poll,,,,282939.0,ns,5904
multi thread free,spin_lock object poll,,,,274245.0,ns,5986
multi thread free,spin_lock object poll,,,,279293.0,ns,6068
multi thread free,spin_lock object poll,,,,287091.0,ns,6150
multi thread free,spin_lock object poll,,,,281707.0,ns,6232
multi thread free,spin_lock object poll,,,,279445.0,ns,6314
multi thread free,spin_lock object poll,,,,289284.0,ns,6396
multi thread free,spin_lock object poll,,,,315274.0,ns,6478
multi thread free,spin_lock object poll,,,,319327.0,ns,6560
multi thread free,spin_lock object poll,,,,227810.0,ns,6642
multi thread free,spin_lock object poll,,,,312013.0,ns,6724
multi thread free,spin_lock object poll,,,,309580.0,ns,6806
multi thread free,spin_lock object poll,,,,318935.0,ns,6888
multi thread free,spin_lock object poll,,,,308655.0,ns,6970
multi thread free,spin_lock object poll,,,,334071.0,ns,7052
multi thread free,spin_lock object poll,,,,320868.0,ns,7134
multi thread free,spin_lock object poll,,,,333744.0,ns,7216
multi thread free,spin_lock object poll,,,,331874.0,ns,7298
multi thread free,spin_lock object poll,,,,340346.0,ns,7380
multi thread free,spin_lock object poll,,,,332248.0,ns,7462
