group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi thread free,spin_lock object poll,,,,24523.0,ns,81
multi thread free,spin_lock object poll,,,,22613.0,ns,162
multi thread free,spin_lock object poll,,,,10412.0,ns,243
multi thread free,spin_lock object poll,,,,23102.0,ns,324
multi thread free,spin_lock object poll,,,,16782.0,ns,405
multi thread free,spin_lock object poll,,,,23631.0,ns,486
multi thread free,spin_lock object poll,,,,26959.0,ns,567
multi thread free,spin_lock object poll,,,,42537.0,ns,648
multi thread free,spin_lock object poll,,,,34467.0,ns,729
multi thread free,spin_lock object poll,,,,36623.0,ns,810
multi thread free,spin_lock object poll,,,,54570.0,ns,891
multi thread free,spin_lock object poll,,,,48312.0,ns,972
multi thread free,spin_lock object poll,,,,49734.0,ns,1053
multi thread free,spin_lock object poll,,,,53608.0,ns,1134
multi thread free,spin_lock object poll,,,,57684.0,ns,1215
multi thread free,spin_lock object poll,,,,62661.0,ns,1296
multi thread free,spin_lock object poll,,,,67169.0,ns,1377
multi thread free,spin_lock object poll,,,,64008.0,ns,1458
multi thread free,spin_lock object poll,,,,73984.0,ns,1539
multi thread free,spin_lock object poll,,,,77698.0,ns,1620
multi thread free,spin_lock object poll,,,,77100.0,ns,1701
multi thread free,spin_lock object poll,,,,77470.0,ns,1782
multi thread free,spin_lock object poll,,,,84312.0,ns,1863
multi thread free,spin_lock object poll,,,,87598.0,ns,1944
multi thread free,spin_lock object poll,,,,89688.0,ns,2025
multi thread free,spin_lock object poll,,,,95162.0,ns,2106
multi thread free,spin_lock object poll,,,,97709.0,ns,2187
multi thread free,spin_lock object poll,,,,103058.0,ns,2268
multi thread free,spin_lock object poll,,,,105549.0,ns,2349
multi thread free,spin_lock object poll,,,,105550.0,ns,2430
multi thread free,spin_lock object poll,,,,112782.0,ns,2511
multi thread free,spin_lock object poll,,,,110098.0,ns,2592
multi thread free,spin_lock object poll,,,,119433.0,ns,2673
multi thread free,spin_lock object poll,,,,120793.0,ns,2754
multi thread free,spin_lock object poll,,,,129898.0,ns,2835
multi thread free,spin_lock object poll,,,,130380.0,ns,2916
multi thread free,spin_lock object poll,,,,136479.0,ns,2997
multi thread free,spin_lock object poll,,,,142050.0,ns,3078
multi thread free,spin_lock object poll,,,,137384.0,ns,3159
multi thread free,spin_lock object poll,,,,152883.0,ns,3240
multi thread free,spin_lock object poll,,,,156297.0,ns,3321
multi thread free,spin_lock object poll,,,,153123.0,ns,3402
multi thread free,spin_lock object poll,,,,157030.0,ns,3483
multi thread free,spin_lock object poll,,,,151537.0,ns,3564
multi thread free,spin_lock object poll,,,,166992.0,ns,3645
multi thread free,spin_lock object poll,,,,171470.0,ns,3726
multi thread free,spin_lock object poll,,,,182074.0,ns,3807
multi thread free,spin_lock object poll,,,,172837.0,ns,3888
multi thread free,spin_lock object poll,,,,181942.0,ns,3969
multi thread free,spin_lock object poll,,,,235685.0,ns,4050
multi thread free,spin_lock object poll,,,,188700.0,ns,4131
multi thread free,spin_lock object poll,,,,190796.0,ns,4212
multi thread free,spin_lock object poll,,,,191926.0,ns,4293
multi thread free,spin_lock object poll,,,,204539.0,ns,4374
multi thread free,spin_lock object poll,,,,206183.0,ns,4455
multi thread free,spin_lock object poll,,,,210096.0,ns,4536
multi thread free,spin_lock object poll,,,,207711.0,ns,4617
multi thread free,spin_lock object poll,,,,215977.0,ns,4698
multi thread free,spin_lock object poll,,,,218231.0,ns,4779
multi thread free,spin_lock object poll,,,,224319.0,ns,4860
multi thread free,spin_lock object poll,,,,231629.0,ns,4941
multi thread free,spin_lock object poll,,,,236340.0,ns,5022
multi thread free,spin_lock object poll,,,,234209.0,ns,5103
multi thread free,spin_lock object poll,,,,230240.0,ns,5184
multi thread free,spin_lock object poll,,,,237755.0,ns,5265
multi thread free,spin_lock object poll,,,,245161.0,ns,5346
multi thread free,spin_lock object poll,,,,242382.0,ns,5427
multi thread free,spin_lock object poll,,,,239958.0,ns,5508
multi thread free,spin_lock object poll,,,,253249.0,ns,5589
multi thread free,spin_lock object poll,,,,261999.0,ns,5670
multi thread free,spin_lock object poll,,,,258645.0,ns,5751
multi thread free,spin_lock object poll,,,,267330.0,ns,5832
multi thread free,spin_lock object poll,,,,266887.0,ns,5913
multi thread free,spin_lock object poll,,,,274221.0,ns,5994
multi thread free,spin_lock object poll,,,,281520.0,ns,6075
multi thread free,spin_lock object poll,,,,289094.0,ns,6156
multi thread free,spin_lock object poll,,,,283347.0,ns,6237
multi thread free,spin_lock object poll,,,,339732.0,ns,6318
multi thread free,spin_lock object poll,,,,290406.0,ns,6399
multi thread free,spin_lock object poll,,,,289874.0,ns,6480
multi thread free,spin_lock object poll,,,,288671.0,ns,6561
multi thread free,spin_lock object poll,,,,298212.0,ns,6642
multi thread free,spin_lock object poll,,,,316942.0,ns,6723
multi thread free,spin_lock object poll,,,,316410.0,ns,6804
multi thread free,spin_lock object poll,,,,314902.0,ns,6885
multi thread free,spin_lock object poll,,,,315433.0,ns,6966
multi thread free,spin_lock object poll,,,,320339.0,ns,7047
multi thread free,spin_lock object poll,,,,330007.0,ns,7128
multi thread free,spin_lock object poll,,,,328297.0,ns,7209
multi thread free,spin_lock object poll,,,,325691.0,ns,7290
multi thread free,spin_lock object poll,,,,335600.0,ns,7371
multi thread free,spin_lock object poll,,,,337369.0,ns,7452
multi thread free,spin_lock object poll,,,,333905.0,ns,7533
multi thread free,spin_lock object poll,,,,351839.0,ns,7614
multi thread free,spin_lock object poll,,,,356407.0,ns,7695
multi thread free,spin_lock object poll,,,,359074.0,ns,7776
multi thread free,spin_lock object poll,,,,352278.0,ns,7857
multi thread free,spin_lock object poll,,,,357899.0,ns,7938
multi thread free,spin_lock object poll,,,,372077.0,ns,8019
multi thread free,spin_lock object poll,,,,501256.0,ns,8100
